
nm	Data
306.0	2664
306.2	2554
306.4	2511
306.6	2513
306.8	2560
307.0	2573
307.2	2498
307.4	2424
307.6	2339
307.8	2263
308.0	2286
308.2	2249
308.4	2224
308.6	2163
308.8	2091
309.0	2060
309.2	2044
309.4	1975
309.6	1944
309.8	1905
310.0	1853
310.2	1810
310.4	1762
310.6	1733
310.8	1694
311.0	1725
311.2	1687
311.4	1685
311.6	1677
311.8	1633
312.0	1589
312.2	1557
312.4	1475
312.6	1464
312.8	1433
313.0	1409
313.2	1406
313.4	1374
313.6	1367
313.8	1379
314.0	1368
314.2	1399
314.4	1339
314.6	1300
314.8	1288
315.0	1245
315.2	1221
315.4	1252
315.6	1198
315.8	1204
316.0	1209
316.2	1169
316.4	1139
316.6	1145
316.8	1117
317.0	1123
317.2	1109
317.4	1103
317.6	1069
317.8	1062
318.0	1055
318.2	1058
318.4	1059
318.6	1109
318.8	1106
319.0	1106
319.2	1050
319.4	989.4
319.6	973.7
319.8	983.4
320.0	986.4
320.2	968.9
320.4	925.1
320.6	904.9
320.8	897.5
321.0	889.6
321.2	893.2
321.4	852.6
321.6	829.4
321.8	818.4
322.0	828.7
322.2	830.3
322.4	820.6
322.6	809.2
322.8	814.6
323.0	823.4
323.2	844.2
323.4	817.0
323.6	793.4
323.8	770.5
324.0	764.5
324.2	727.2
324.4	710.3
324.6	698.3
324.8	677.2
325.0	669.4
325.2	674.2
325.4	649.0
325.6	672.1
325.8	701.6
326.0	692.1
326.2	668.7
326.4	647.9
326.6	649.6
326.8	674.3
327.0	680.8
327.2	681.9
327.4	628.1
327.6	599.1
327.8	588.5
328.0	605.1
328.2	614.0
328.4	626.6
328.6	608.8
328.8	605.7
329.0	574.0
329.2	587.9
329.4	607.4
329.6	608.5
329.8	602.8
330.0	596.4
330.2	580.7
330.4	589.0
330.6	593.1
330.8	587.5
331.0	562.5
331.2	552.9
331.4	546.0
331.6	537.2
331.8	550.5
332.0	556.2
332.2	537.8
332.4	545.5
332.6	530.5
332.8	507.6
333.0	511.6
333.2	524.9
333.4	536.4
333.6	557.6
333.8	540.3
334.0	518.3
334.2	502.4
334.4	488.8
334.6	501.0
334.8	511.8
335.0	511.2
335.2	506.2
335.4	511.9
335.6	492.5
335.8	505.8
336.0	518.3
336.2	517.0
336.4	516.5
336.6	519.1
336.8	499.6
337.0	480.8
337.2	475.8
337.4	470.1
337.6	477.2
337.8	475.8
338.0	465.7
338.2	455.4
338.4	457.5
338.6	465.7
338.8	473.1
339.0	482.4
