
nm	Data
540.0	1640
540.2	1647
540.4	1656
540.6	1665
540.8	1677
541.0	1683
541.2	1687
541.4	1693
541.6	1698
541.8	1703
542.0	1713
542.2	1721
542.4	1724
542.6	1733
542.8	1740
543.0	1746
543.2	1749
543.4	1756
543.6	1765
543.8	1777
544.0	1787
544.2	1795
544.4	1796
544.6	1799
544.8	1808
545.0	1813
545.2	1817
545.4	1823
545.6	1829
545.8	1834
546.0	1844
546.2	1853
546.4	1858
546.6	1863
546.8	1869
547.0	1872
547.2	1879
547.4	1882
547.6	1888
547.8	1893
548.0	1901
548.2	1908
548.4	1916
548.6	1926
548.8	1938
549.0	1942
549.2	1940
549.4	1939
549.6	1946
549.8	1960
550.0	1971
550.2	1977
550.4	1981
550.6	1983
550.8	1993
551.0	1997
551.2	2007
551.4	2012
551.6	2016
551.8	2022
552.0	2031
552.2	2042
552.4	2058
552.6	2065
552.8	2072
553.0	2077
553.2	2075
553.4	2077
553.6	2083
553.8	2088
554.0	2098
554.2	2110
554.4	2118
554.6	2119
554.8	2125
555.0	2130
555.2	2137
555.4	2151
555.6	2158
555.8	2165
556.0	2171
556.2	2176
556.4	2177
556.6	2179
556.8	2180
557.0	2190
557.2	2203
557.4	2217
557.6	2224
557.8	2234
558.0	2244
558.2	2254
558.4	2263
558.6	2271
558.8	2278
559.0	2282
559.2	2288
559.4	2289
559.6	2294
559.8	2308
560.0	2323
560.2	2336
560.4	2349
560.6	2350
560.8	2356
561.0	2362
561.2	2361
561.4	2366
561.6	2377
561.8	2396
562.0	2413
562.2	2428
562.4	2439
562.6	2442
562.8	2451
563.0	2460
563.2	2464
563.4	2471
563.6	2481
563.8	2490
564.0	2502
564.2	2510
564.4	2519
564.6	2522
564.8	2531
565.0	2549
565.2	2565
565.4	2570
565.6	2577
565.8	2580
566.0	2587
566.2	2601
566.4	2618
566.6	2625
566.8	2642
567.0	2658
567.2	2667
567.4	2681
567.6	2688
567.8	2695
568.0	2703
568.2	2720
568.4	2733
568.6	2751
568.8	2759
569.0	2773
569.2	2781
569.4	2794
569.6	2796
569.8	2809
570.0	2820
570.2	2836
570.4	2848
570.6	2862
570.8	2865
571.0	2881
571.2	2895
571.4	2915
571.6	2928
571.8	2942
572.0	2948
572.2	2959
572.4	2968
572.6	2980
572.8	2992
573.0	3006
573.2	3018
573.4	3033
573.6	3040
573.8	3046
574.0	3055
574.2	3066
574.4	3079
574.6	3100
574.8	3114
575.0	3124
575.2	3135
575.4	3147
575.6	3164
575.8	3186
576.0	3197
576.2	3210
576.4	3222
576.6	3241
576.8	3251
577.0	3266
577.2	3272
577.4	3287
577.6	3298
577.8	3319
578.0	3330
578.2	3351
578.4	3365
578.6	3382
578.8	3392
579.0	3399
579.2	3410
579.4	3425
579.6	3439
579.8	3460
580.0	3474
580.2	3474
580.4	3487
580.6	3499
580.8	3512
581.0	3534
581.2	3548
581.4	3558
581.6	3574
581.8	3584
582.0	3599
582.2	3617
582.4	3632
582.6	3645
582.8	3660
583.0	3663
583.2	3670
583.4	3686
583.6	3705
583.8	3717
584.0	3735
584.2	3744
584.4	3759
584.6	3780
584.8	3799
585.0	3817
585.2	3828
585.4	3838
585.6	3846
585.8	3856
586.0	3870
586.2	3890
586.4	3906
586.6	3922
586.8	3932
587.0	3946
587.2	3960
587.4	3974
587.6	3983
587.8	3992
588.0	4006
588.2	4015
588.4	4029
588.6	4046
588.8	4055
589.0	4074
589.2	4094
589.4	4109
589.6	4120
589.8	4131
590.0	4135
590.2	4153
590.4	4166
590.6	4174
590.8	4182
591.0	4192
591.2	4204
591.4	4226
591.6	4244
591.8	4255
592.0	4275
592.2	4283
592.4	4297
592.6	4307
592.8	4318
