
nm	Data
500.0	238.0
500.2	238.7
500.4	239.8
500.6	242.0
500.8	247.1
501.0	253.4
501.2	259.4
501.4	263.8
501.6	261.9
501.8	261.0
502.0	263.1
502.2	265.8
502.4	273.6
502.6	278.7
502.8	281.8
503.0	283.0
503.2	286.7
503.4	292.4
503.6	296.4
503.8	300.0
504.0	305.0
504.2	307.5
504.4	311.8
504.6	317.8
504.8	322.2
505.0	329.4
505.2	334.6
505.4	339.7
505.6	343.2
505.8	346.3
506.0	349.8
506.2	353.3
506.4	358.3
506.6	363.1
506.8	367.8
507.0	372.8
507.2	375.9
507.4	381.0
507.6	388.8
507.8	394.1
508.0	396.8
508.2	404.0
508.4	411.0
508.6	416.0
508.8	421.1
509.0	420.8
509.2	421.2
509.4	426.9
509.6	435.4
509.8	441.0
510.0	446.0
510.2	447.8
510.4	458.0
510.6	466.8
510.8	474.7
511.0	482.9
511.2	484.5
511.4	485.2
511.6	491.0
511.8	494.8
512.0	500.4
512.2	511.4
512.4	518.1
512.6	526.2
512.8	533.4
513.0	535.3
513.2	534.9
513.4	538.9
513.6	541.7
513.8	555.4
514.0	567.5
514.2	576.2
514.4	576.6
514.6	577.9
514.8	577.0
515.0	585.2
515.2	596.0
515.4	606.5
515.6	615.0
515.8	622.4
516.0	628.9
516.2	637.9
516.4	649.6
516.6	651.7
516.8	659.4
517.0	662.1
517.2	668.9
517.4	678.6
517.6	686.5
517.8	689.9
518.0	698.1
518.2	702.3
518.4	710.0
518.6	715.6
518.8	723.9
519.0	734.5
519.2	744.4
519.4	750.5
519.6	756.0
519.8	755.5
520.0	765.5
520.2	776.0
520.4	786.0
520.6	792.3
520.8	795.8
521.0	796.8
521.2	805.4
521.4	812.3
521.6	825.3
521.8	834.6
522.0	845.8
522.2	849.8
522.4	852.8
522.6	854.3
522.8	860.6
523.0	867.2
523.2	880.4
523.4	893.1
523.6	897.6
523.8	902.4
524.0	904.6
524.2	911.4
524.4	917.6
524.6	928.4
524.8	931.2
525.0	938.4
525.2	943.6
525.4	952.6
525.6	958.2
525.8	967.7
526.0	978.9
526.2	989.7
526.4	993.1
526.6	997.1
526.8	1003
527.0	1012
527.2	1020
527.4	1031
527.6	1037
527.8	1041
528.0	1047
528.2	1051
528.4	1057
528.6	1070
528.8	1078
529.0	1081
529.2	1087
529.4	1095
529.6	1100
529.8	1110
530.0	1120
530.2	1125
530.4	1133
530.6	1143
530.8	1146
531.0	1153
531.2	1163
531.4	1166
531.6	1177
531.8	1183
532.0	1189
532.2	1196
532.4	1201
532.6	1207
532.8	1217
533.0	1222
533.2	1232
533.4	1241
533.6	1240
533.8	1250
534.0	1256
534.2	1260
534.4	1267
534.6	1274
534.8	1281
535.0	1298
535.2	1309
535.4	1311
535.6	1316
535.8	1316
536.0	1325
536.2	1335
536.4	1348
536.6	1355
536.8	1362
537.0	1364
537.2	1370
537.4	1376
537.6	1386
537.8	1388
538.0	1392
538.2	1400
538.4	1404
538.6	1414
538.8	1423
539.0	1433
539.2	1439
539.4	1455
539.6	1457
539.8	1465
540.0	1463
540.2	1465
540.4	1466
540.6	1479
540.8	1490
541.0	1504
541.2	1505
541.4	1512
541.6	1516
541.8	1523
542.0	1534
542.2	1544
542.4	1551
542.6	1561
542.8	1561
543.0	1564
543.2	1570
543.4	1577
543.6	1585
543.8	1591
544.0	1596
544.2	1605
544.4	1611
544.6	1614
544.8	1619
545.0	1619
545.2	1627
545.4	1639
545.6	1642
545.8	1647
546.0	1650
546.2	1661
546.4	1670
546.6	1677
546.8	1686
547.0	1692
547.2	1697
547.4	1705
547.6	1700
547.8	1699
548.0	1703
548.2	1709
548.4	1726
548.6	1738
548.8	1741
549.0	1741
549.2	1739
549.4	1743
549.6	1751
549.8	1762
550.0	1769
550.2	1780
550.4	1792
550.6	1808
550.8	1807
551.0	1810
551.2	1806
551.4	1806
551.6	1812
551.8	1828
552.0	1829
552.2	1839
552.4	1847
552.6	1851
552.8	1861
553.0	1867
553.2	1864
553.4	1870
553.6	1881
553.8	1892
554.0	1902
554.2	1899
554.4	1894
554.6	1895
554.8	1902
555.0	1916
555.2	1927
555.4	1932
555.6	1926
555.8	1928
556.0	1938
556.2	1948
556.4	1962
556.6	1978
556.8	1981
557.0	1987
557.2	1989
557.4	1987
557.6	1989
557.8	1997
558.0	2001
558.2	2002
558.4	2006
558.6	2012
558.8	2024
559.0	2033
559.2	2034
559.4	2038
559.6	2041
559.8	2050
560.0	2063
560.2	2070
560.4	2071
560.6	2079
560.8	2081
561.0	2086
561.2	2089
561.4	2095
561.6	2102
561.8	2107
562.0	2113
562.2	2110
562.4	2114
562.6	2117
562.8	2123
563.0	2125
563.2	2137
563.4	2144
563.6	2157
563.8	2163
564.0	2163
564.2	2171
564.4	2181
564.6	2192
564.8	2199
565.0	2205
565.2	2204
565.4	2207
565.6	2206
565.8	2216
566.0	2224
566.2	2236
566.4	2236
566.6	2233
566.8	2233
567.0	2235
567.2	2239
567.4	2252
567.6	2256
567.8	2265
568.0	2278
568.2	2277
568.4	2276
568.6	2277
568.8	2278
569.0	2286
569.2	2298
569.4	2314
569.6	2325
569.8	2330
570.0	2333
570.2	2334
570.4	2338
570.6	2347
570.8	2358
571.0	2365
571.2	2358
571.4	2360
571.6	2368
571.8	2374
572.0	2377
572.2	2380
572.4	2384
572.6	2396
572.8	2410
573.0	2412
573.2	2413
573.4	2413
573.6	2422
573.8	2430
574.0	2435
574.2	2443
574.4	2457
574.6	2462
574.8	2461
575.0	2465
575.2	2471
575.4	2477
575.6	2484
575.8	2486
576.0	2490
576.2	2497
576.4	2509
576.6	2512
576.8	2518
577.0	2520
577.2	2521
577.4	2525
577.6	2533
577.8	2540
578.0	2548
578.2	2549
578.4	2557
578.6	2576
578.8	2585
579.0	2591
579.2	2600
579.4	2593
579.6	2599
579.8	2603
580.0	2604
580.2	2608
580.4	2617
580.6	2622
580.8	2628
581.0	2632
581.2	2643
581.4	2661
581.6	2670
581.8	2683
582.0	2681
582.2	2684
582.4	2683
582.6	2692
582.8	2697
583.0	2703
583.2	2709
583.4	2723
583.6	2725
583.8	2731
584.0	2747
584.2	2747
584.4	2758
584.6	2760
584.8	2760
585.0	2762
585.2	2768
585.4	2764
585.6	2775
585.8	2782
586.0	2793
586.2	2805
586.4	2811
586.6	2818
586.8	2835
587.0	2850
587.2	2856
587.4	2854
587.6	2850
587.8	2843
588.0	2851
588.2	2861
588.4	2870
588.6	2877
588.8	2883
589.0	2893
589.2	2909
589.4	2914
589.6	2912
589.8	2914
590.0	2917
590.2	2927
590.4	2939
590.6	2943
590.8	2943
591.0	2958
591.2	2967
591.4	2971
591.6	2979
591.8	2979
592.0	2982
592.2	2999
592.4	3006
592.6	3015
592.8	3030
593.0	3035
593.2	3041
593.4	3051
593.6	3048
593.8	3056
594.0	3065
594.2	3077
594.4	3078
594.6	3082
594.8	3081
595.0	3091
595.2	3095
595.4	3108
595.6	3118
595.8	3125
596.0	3127
596.2	3136
596.4	3133
596.6	3144
596.8	3151
597.0	3155
597.2	3159
597.4	3165
597.6	3171
597.8	3180
598.0	3190
598.2	3196
598.4	3196
598.6	3199
598.8	3202
599.0	3200
599.2	3211
599.4	3204
599.6	3208
599.8	3209
600.0	3218
600.2	3232
600.4	3246
600.6	3251
600.8	3258
601.0	3257
601.2	3271
601.4	3274
601.6	3276
601.8	3269
602.0	3261
602.2	3267
602.4	3284
602.6	3295
602.8	3303
603.0	3308
603.2	3316
603.4	3315
603.6	3318
603.8	3317
604.0	3313
604.2	3318
604.4	3334
604.6	3337
604.8	3360
605.0	3358
605.2	3362
605.4	3361
605.6	3363
605.8	3362
606.0	3372
606.2	3367
606.4	3375
606.6	3382
606.8	3380
607.0	3389
607.2	3391
607.4	3403
607.6	3411
607.8	3416
608.0	3412
608.2	3406
608.4	3407
608.6	3426
608.8	3426
609.0	3434
609.2	3443
609.4	3440
609.6	3447
609.8	3447
610.0	3428
610.2	3421
610.4	3428
610.6	3436
610.8	3438
611.0	3445
611.2	3445
611.4	3448
611.6	3454
611.8	3454
612.0	3441
612.2	3445
612.4	3452
612.6	3463
612.8	3471
613.0	3473
613.2	3465
613.4	3464
613.6	3467
613.8	3471
614.0	3466
614.2	3465
614.4	3464
614.6	3462
614.8	3466
615.0	3466
615.2	3456
615.4	3451
615.6	3455
615.8	3451
616.0	3459
616.2	3461
616.4	3460
616.6	3458
616.8	3456
617.0	3448
617.2	3446
617.4	3443
617.6	3444
617.8	3463
618.0	3468
618.2	3479
618.4	3476
618.6	3473
618.8	3453
619.0	3451
619.2	3448
619.4	3450
619.6	3435
619.8	3426
620.0	3420
620.2	3429
620.4	3454
620.6	3459
620.8	3449
621.0	3429
621.2	3414
621.4	3414
621.6	3421
621.8	3414
622.0	3417
622.2	3408
622.4	3405
622.6	3409
622.8	3412
623.0	3407
623.2	3403
623.4	3405
623.6	3410
623.8	3410
624.0	3404
624.2	3391
624.4	3377
624.6	3379
624.8	3373
625.0	3374
625.2	3374
625.4	3365
625.6	3357
625.8	3353
626.0	3345
626.2	3341
626.4	3340
626.6	3343
626.8	3342
627.0	3344
627.2	3332
627.4	3321
627.6	3307
627.8	3307
628.0	3304
628.2	3298
628.4	3284
628.6	3277
628.8	3270
629.0	3267
629.2	3259
629.4	3251
629.6	3254
629.8	3251
630.0	3247
630.2	3231
630.4	3222
630.6	3220
630.8	3220
631.0	3227
631.2	3233
631.4	3223
631.6	3214
631.8	3203
632.0	3183
632.2	3183
632.4	3190
632.6	3186
632.8	3185
633.0	3180
633.2	3165
633.4	3149
633.6	3134
633.8	3123
634.0	3117
634.2	3120
634.4	3111
634.6	3087
634.8	3069
635.0	3056
635.2	3055
635.4	3064
635.6	3077
635.8	3081
636.0	3068
636.2	3053
636.4	3033
636.6	3017
636.8	3019
637.0	3016
637.2	3001
637.4	3000
637.6	2981
637.8	2970
638.0	2968
638.2	2958
638.4	2948
638.6	2944
638.8	2937
639.0	2919
639.2	2910
639.4	2907
639.6	2906
639.8	2905
640.0	2907
640.2	2893
640.4	2875
640.6	2866
640.8	2854
641.0	2843
641.2	2838
641.4	2828
641.6	2824
641.8	2821
642.0	2813
642.2	2804
642.4	2792
642.6	2781
642.8	2768
643.0	2754
643.2	2745
643.4	2744
643.6	2745
643.8	2743
644.0	2728
644.2	2719
644.4	2706
644.6	2700
644.8	2699
645.0	2699
645.2	2692
645.4	2690
645.6	2676
645.8	2656
646.0	2642
646.2	2633
646.4	2626
646.6	2617
646.8	2607
647.0	2591
647.2	2580
647.4	2567
647.6	2567
647.8	2554
648.0	2545
648.2	2536
648.4	2525
648.6	2516
648.8	2518
649.0	2513
649.2	2507
649.4	2491
649.6	2471
649.8	2452
650.0	2446
650.2	2448
650.4	2449
650.6	2444
650.8	2442
651.0	2431
651.2	2419
651.4	2400
651.6	2394
651.8	2383
652.0	2375
652.2	2362
652.4	2351
652.6	2336
652.8	2331
653.0	2323
653.2	2314
653.4	2304
