
nm	Data
540.0	1392
540.2	1387
540.4	1390
540.6	1396
540.8	1400
541.0	1402
541.2	1403
541.4	1406
541.6	1417
541.8	1424
542.0	1430
542.2	1433
542.4	1433
542.6	1438
542.8	1448
543.0	1456
543.2	1464
543.4	1471
543.6	1473
543.8	1469
544.0	1469
544.2	1470
544.4	1473
544.6	1478
544.8	1483
545.0	1488
545.2	1496
545.4	1504
545.6	1512
545.8	1514
546.0	1516
546.2	1521
546.4	1527
546.6	1533
546.8	1534
547.0	1533
547.2	1532
547.4	1533
547.6	1535
547.8	1540
548.0	1543
548.2	1543
548.4	1551
548.6	1557
548.8	1564
549.0	1579
549.2	1586
549.4	1589
549.6	1590
549.8	1589
550.0	1583
550.2	1591
550.4	1598
550.6	1603
550.8	1609
551.0	1614
551.2	1615
551.4	1621
551.6	1623
551.8	1621
552.0	1630
552.2	1642
552.4	1646
552.6	1651
552.8	1656
553.0	1659
553.2	1660
553.4	1664
553.6	1662
553.8	1668
554.0	1678
554.2	1692
554.4	1700
554.6	1698
554.8	1698
555.0	1699
555.2	1707
555.4	1720
555.6	1725
555.8	1722
556.0	1726
556.2	1733
556.4	1743
556.6	1755
556.8	1754
557.0	1753
557.2	1756
557.4	1765
557.6	1777
557.8	1787
558.0	1794
558.2	1800
558.4	1806
558.6	1808
558.8	1812
559.0	1813
559.2	1818
559.4	1830
559.6	1843
559.8	1851
560.0	1857
560.2	1862
560.4	1865
560.6	1872
560.8	1876
561.0	1881
561.2	1887
561.4	1895
561.6	1901
561.8	1911
562.0	1919
562.2	1928
562.4	1937
562.6	1946
562.8	1954
563.0	1967
563.2	1983
563.4	1991
563.6	2000
563.8	2012
564.0	2021
564.2	2022
564.4	2028
564.6	2026
564.8	2035
565.0	2051
565.2	2066
565.4	2072
565.6	2077
565.8	2077
566.0	2084
566.2	2102
566.4	2120
566.6	2134
566.8	2141
567.0	2144
567.2	2150
567.4	2156
567.6	2164
567.8	2172
568.0	2183
568.2	2197
568.4	2212
568.6	2216
568.8	2228
569.0	2235
569.2	2246
569.4	2268
569.6	2292
569.8	2304
570.0	2318
570.2	2319
570.4	2315
570.6	2316
570.8	2324
571.0	2335
571.2	2353
571.4	2376
571.6	2394
571.8	2406
572.0	2407
572.2	2406
572.4	2411
572.6	2426
572.8	2441
573.0	2464
573.2	2478
573.4	2490
573.6	2504
573.8	2518
574.0	2525
574.2	2537
574.4	2545
574.6	2561
574.8	2579
575.0	2597
575.2	2613
575.4	2620
575.6	2624
575.8	2630
576.0	2639
576.2	2654
576.4	2676
576.6	2687
576.8	2702
577.0	2708
577.2	2713
577.4	2734
577.6	2748
577.8	2756
578.0	2771
578.2	2780
578.4	2786
578.6	2804
578.8	2812
579.0	2828
579.2	2843
579.4	2860
579.6	2866
579.8	2865
580.0	2875
580.2	2891
580.4	2905
580.6	2929
580.8	2948
581.0	2958
581.2	2975
581.4	2983
581.6	2989
581.8	3002
582.0	3018
582.2	3033
582.4	3044
582.6	3052
582.8	3066
583.0	3077
583.2	3092
583.4	3107
583.6	3117
583.8	3127
584.0	3139
584.2	3147
584.4	3161
584.6	3175
584.8	3188
585.0	3199
585.2	3215
585.4	3227
585.6	3239
585.8	3246
586.0	3257
586.2	3266
586.4	3290
586.6	3303
586.8	3316
587.0	3326
587.2	3335
587.4	3341
587.6	3354
587.8	3361
588.0	3369
588.2	3392
588.4	3405
588.6	3422
588.8	3430
589.0	3433
589.2	3434
589.4	3453
589.6	3475
589.8	3497
590.0	3517
590.2	3529
590.4	3538
590.6	3545
590.8	3553
591.0	3572
591.2	3580
591.4	3589
591.6	3597
591.8	3611
592.0	3624
592.2	3658
592.4	3661
592.6	3665
592.8	3676
593.0	3690
593.2	3691
593.4	3701
593.6	3704
593.8	3712
594.0	3741
594.2	3764
594.4	3772
594.6	3779
594.8	3787
595.0	3792
595.2	3809
595.4	3825
595.6	3838
595.8	3843
596.0	3852
596.2	3862
596.4	3876
596.6	3893
596.8	3913
597.0	3925
597.2	3938
597.4	3946
597.6	3954
597.8	3963
598.0	3979
598.2	3997
598.4	4006
598.6	4016
598.8	4036
599.0	4042
599.2	4050
599.4	4061
599.6	4066
599.8	4086
600.0	4097
600.2	4103
600.4	4122
600.6	4136
600.8	4156
601.0	4181
601.2	4181
601.4	4184
601.6	4195
601.8	4209
602.0	4231
602.2	4253
602.4	4259
602.6	4259
602.8	4257
603.0	4262
603.2	4269
603.4	4284
603.6	4300
603.8	4315
604.0	4336
604.2	4358
604.4	4373
604.6	4388
604.8	4400
605.0	4412
605.2	4429
605.4	4446
605.6	4461
605.8	4482
606.0	4490
606.2	4501
606.4	4505
606.6	4507
606.8	4515
607.0	4547
607.2	4569
607.4	4593
607.6	4605
607.8	4611
608.0	4611
608.2	4625
608.4	4638
608.6	4665
608.8	4689
609.0	4698
609.2	4710
609.4	4712
609.6	4720
609.8	4734
610.0	4760
610.2	4776
610.4	4792
610.6	4793
610.8	4805
611.0	4821
611.2	4844
611.4	4866
611.6	4881
611.8	4890
612.0	4909
612.2	4933
612.4	4939
612.6	4960
612.8	4982
613.0	4999
613.2	5011
613.4	5021
613.6	5021
613.8	5038
614.0	5052
614.2	5064
614.4	5079
614.6	5098
614.8	5113
