
nm	Data
370.0	17.64
370.2	17.61
370.4	17.65
370.6	17.74
370.8	18.38
371.0	17.46
371.2	16.59
371.4	15.57
371.6	17.18
371.8	17.51
372.0	18.54
372.2	17.50
372.4	16.11
372.6	14.58
372.8	15.06
373.0	15.87
373.2	15.76
373.4	16.24
373.6	17.38
373.8	17.13
374.0	17.73
374.2	18.64
374.4	18.11
374.6	17.96
374.8	18.90
375.0	18.51
375.2	18.50
375.4	18.51
375.6	18.21
375.8	17.40
376.0	17.34
376.2	17.16
376.4	16.92
376.6	16.52
376.8	16.38
377.0	16.88
377.2	17.19
377.4	17.44
377.6	17.59
377.8	16.79
378.0	15.63
378.2	14.84
378.4	15.45
378.6	16.96
378.8	18.73
379.0	19.91
379.2	19.75
379.4	18.72
379.6	18.50
379.8	18.08
380.0	17.90
380.2	18.65
380.4	18.70
380.6	19.14
380.8	18.80
381.0	17.63
381.2	17.45
381.4	18.16
381.6	18.33
381.8	18.84
382.0	19.09
382.2	17.80
382.4	18.43
382.6	18.23
382.8	18.17
383.0	18.71
383.2	20.15
383.4	19.72
383.6	20.21
383.8	19.64
384.0	19.28
384.2	20.42
384.4	20.48
384.6	20.29
384.8	19.25
385.0	19.69
385.2	20.17
385.4	21.99
385.6	22.19
385.8	22.61
386.0	21.72
386.2	21.03
386.4	19.56
386.6	21.01
386.8	21.29
387.0	23.64
387.2	25.03
387.4	25.02
387.6	23.88
387.8	24.54
388.0	22.30
388.2	22.81
388.4	22.93
388.6	23.07
388.8	23.62
389.0	24.76
389.2	25.24
389.4	26.09
389.6	24.98
389.8	24.93
390.0	25.65
390.2	27.10
390.4	28.64
390.6	29.31
390.8	28.06
391.0	28.54
391.2	28.84
391.4	29.64
391.6	30.06
391.8	30.65
392.0	29.68
392.2	30.36
392.4	30.60
392.6	31.27
392.8	31.78
393.0	32.59
393.2	31.55
393.4	32.31
393.6	31.11
393.8	30.00
394.0	31.14
394.2	35.00
394.4	37.12
394.6	40.45
394.8	38.48
395.0	38.84
395.2	40.34
395.4	42.41
395.6	43.41
395.8	43.50
396.0	41.69
396.2	44.01
396.4	45.80
396.6	48.08
396.8	50.43
397.0	50.08
397.2	51.15
397.4	51.88
397.6	52.80
397.8	55.59
398.0	60.23
398.2	63.97
398.4	64.84
398.6	65.26
398.8	64.62
399.0	66.34
399.2	70.62
399.4	73.58
399.6	76.15
399.8	79.17
400.0	79.55
400.2	82.87
400.4	88.12
400.6	90.66
400.8	94.84
401.0	99.83
401.2	100.4
401.4	102.7
401.6	108.1
401.8	112.1
402.0	117.2
402.2	125.4
402.4	129.2
402.6	132.8
402.8	138.7
403.0	144.5
403.2	147.2
403.4	154.4
403.6	158.7
403.8	163.5
404.0	171.9
404.2	179.3
404.4	183.9
404.6	192.8
404.8	200.0
405.0	208.0
405.2	212.3
405.4	220.5
405.6	229.6
405.8	241.6
406.0	250.1
406.2	260.9
406.4	266.2
