
nm	Data
240.0	290.7
240.2	310.9
240.4	319.3
240.6	318.8
240.8	311.6
241.0	303.9
241.2	304.1
241.4	302.3
241.6	305.4
241.8	305.9
242.0	314.0
242.2	321.7
242.4	335.9
242.6	331.9
242.8	330.6
243.0	318.2
243.2	315.7
243.4	314.2
243.6	321.8
243.8	324.0
244.0	332.6
244.2	326.7
244.4	325.7
244.6	330.3
244.8	334.2
245.0	334.8
245.2	335.9
245.4	332.8
245.6	333.2
245.8	336.5
246.0	336.0
246.2	342.1
246.4	352.8
246.6	363.8
246.8	373.7
247.0	369.9
247.2	365.7
247.4	368.6
247.6	374.8
247.8	384.3
248.0	390.9
248.2	390.6
248.4	393.2
248.6	399.6
248.8	408.7
249.0	429.3
249.2	446.6
249.4	458.7
249.6	474.4
249.8	483.8
250.0	493.0
250.2	516.0
250.4	543.4
250.6	560.9
250.8	584.2
251.0	604.6
251.2	631.1
251.4	665.4
251.6	706.0
251.8	735.1
252.0	760.8
252.2	783.4
252.4	810.6
252.6	844.7
252.8	890.0
253.0	935.4
253.2	984.7
253.4	1034
253.6	1080
253.8	1146
254.0	1209
254.2	1266
254.4	1320
254.6	1366
254.8	1399
255.0	1454
255.2	1518
255.4	1583
255.6	1655
255.8	1713
256.0	1772
256.2	1843
256.4	1926
256.6	2011
256.8	2086
257.0	2148
257.2	2215
257.4	2288
257.6	2356
257.8	2445
258.0	2557
258.2	2665
258.4	2781
258.6	2877
258.8	2940
259.0	3044
259.2	3134
259.4	3258
259.6	3384
259.8	3480
260.0	3572
260.2	3645
260.4	3733
260.6	3861
260.8	3995
261.0	4096
261.2	4209
261.4	4251
261.6	4355
261.8	4398
262.0	4529
262.2	4654
262.4	4800
262.6	4959
262.8	5056
263.0	5059
263.2	5113
263.4	5180
263.6	5254
263.8	5425
264.0	5532
264.2	5627
264.4	5715
264.6	5794
264.8	5871
265.0	5969
265.2	6085
265.4	6163
265.6	6231
265.8	6301
266.0	6372
266.2	6481
266.4	6635
266.6	6754
266.8	6843
267.0	6902
267.2	6925
267.4	6948
267.6	6976
267.8	7015
268.0	7066
268.2	7167
268.4	7265
268.6	7372
268.8	7512
269.0	7608
269.2	7705
269.4	7701
269.6	7731
269.8	7811
270.0	7932
270.2	8016
270.4	8119
270.6	8085
270.8	8168
271.0	8188
271.2	8200
271.4	8171
271.6	8195
271.8	8216
272.0	8292
272.2	8311
272.4	8403
272.6	8439
272.8	8472
273.0	8503
273.2	8506
273.4	8582
273.6	8654
273.8	8713
274.0	8746
274.2	8743
274.4	8722
274.6	8764
274.8	8746
275.0	8781
275.2	8824
275.4	8821
275.6	8862
275.8	8905
276.0	8930
276.2	8958
276.4	8979
276.6	8949
276.8	8964
277.0	8971
277.2	9004
277.4	9021
277.6	9042
277.8	9018
278.0	9055
278.2	9085
278.4	9151
278.6	9150
278.8	9148
279.0	9118
279.2	9115
279.4	9102
279.6	9125
279.8	9151
280.0	9177
280.2	9207
280.4	9198
280.6	9162
280.8	9126
281.0	9140
281.2	9147
281.4	9166
281.6	9176
281.8	9118
282.0	9042
282.2	9022
282.4	9033
282.6	9084
282.8	9159
283.0	9181
283.2	9164
283.4	9145
283.6	9111
283.8	9091
284.0	9099
284.2	9132
284.4	9140
284.6	9140
284.8	9109
285.0	9075
285.2	9070
285.4	9094
285.6	9091
285.8	9093
286.0	9092
286.2	9095
286.4	9100
286.6	9086
286.8	9077
287.0	9090
287.2	9069
287.4	9062
287.6	9037
287.8	9004
288.0	8981
288.2	9005
288.4	8983
288.6	8984
288.8	8951
289.0	8906
289.2	8896
289.4	8947
289.6	8975
289.8	8969
290.0	8914
290.2	8847
290.4	8848
290.6	8865
290.8	8893
291.0	8894
291.2	8904
291.4	8879
291.6	8838
291.8	8775
292.0	8739
292.2	8708
292.4	8739
292.6	8743
292.8	8734
293.0	8722
293.2	8695
293.4	8673
293.6	8627
293.8	8561
294.0	8521
294.2	8505
294.4	8469
294.6	8466
294.8	8426
295.0	8400
295.2	8414
295.4	8424
295.6	8385
295.8	8339
296.0	8308
296.2	8256
296.4	8233
296.6	8199
296.8	8166
297.0	8131
297.2	8125
297.4	8078
297.6	8046
297.8	8002
298.0	7951
298.2	7895
298.4	7840
298.6	7772
298.8	7736
299.0	7701
299.2	7677
299.4	7647
299.6	7597
299.8	7542
300.0	7473
300.2	7407
300.4	7373
300.6	7336
300.8	7286
301.0	7247
301.2	7177
301.4	7125
301.6	7092
301.8	7040
302.0	6983
302.2	6934
302.4	6872
302.6	6833
302.8	6798
303.0	6728
303.2	6663
303.4	6598
303.6	6517
303.8	6461
304.0	6409
