
nm	Data
420.0	69.15
420.2	70.28
420.4	70.87
420.6	71.12
420.8	71.25
421.0	71.38
421.2	71.96
421.4	72.55
421.6	73.22
421.8	73.80
422.0	74.44
422.2	75.08
422.4	75.28
422.6	75.63
422.8	75.52
423.0	75.78
423.2	76.25
423.4	76.90
423.6	77.03
423.8	77.50
424.0	77.83
424.2	78.82
424.4	79.32
424.6	79.90
424.8	80.11
425.0	80.27
425.2	80.58
425.4	81.18
425.6	81.47
425.8	81.81
426.0	82.23
426.2	82.91
426.4	83.65
426.6	83.98
426.8	84.18
427.0	84.32
427.2	84.69
427.4	85.23
427.6	85.85
427.8	86.27
428.0	86.69
428.2	87.21
428.4	88.12
428.6	88.71
428.8	89.22
429.0	89.69
429.2	89.68
429.4	89.95
429.6	90.67
429.8	91.40
430.0	92.70
430.2	93.71
430.4	93.93
430.6	93.92
430.8	94.21
431.0	94.25
431.2	95.20
431.4	96.08
431.6	96.57
431.8	96.70
432.0	97.79
432.2	98.42
432.4	99.61
432.6	100.6
432.8	101.2
433.0	101.4
433.2	101.7
433.4	102.2
433.6	102.7
433.8	103.4
434.0	103.8
434.2	104.4
434.4	104.9
434.6	105.9
434.8	106.9
435.0	108.2
435.2	109.0
435.4	110.1
435.6	110.5
435.8	111.2
436.0	112.2
436.2	113.0
436.4	114.3
436.6	115.8
436.8	116.7
437.0	117.0
437.2	117.8
437.4	118.5
437.6	119.5
437.8	120.7
438.0	122.0
438.2	122.8
438.4	124.1
438.6	125.3
438.8	126.6
439.0	128.0
439.2	129.3
439.4	131.0
439.6	132.0
439.8	133.0
440.0	134.5
440.2	135.9
440.4	137.1
440.6	138.3
440.8	138.9
441.0	140.6
441.2	142.7
441.4	144.8
441.6	146.8
441.8	148.4
442.0	149.7
442.2	152.1
442.4	154.0
442.6	155.6
442.8	157.3
443.0	158.7
443.2	160.0
443.4	161.8
443.6	163.7
443.8	165.6
444.0	167.9
444.2	169.8
444.4	172.0
444.6	173.7
444.8	176.0
445.0	178.4
445.2	181.3
445.4	183.9
445.6	186.6
445.8	188.4
446.0	190.4
446.2	192.8
446.4	195.6
446.6	198.3
446.8	200.5
447.0	202.8
447.2	205.1
447.4	208.1
447.6	210.7
447.8	213.4
448.0	216.1
448.2	219.2
448.4	222.6
448.6	225.8
448.8	228.2
449.0	231.6
449.2	235.2
