
nm	Data
260.0	141.9
260.2	140.9
260.4	141.7
260.6	143.1
260.8	142.9
261.0	142.6
261.2	143.4
261.4	141.6
261.6	141.3
261.8	141.1
262.0	140.6
262.2	141.6
262.4	142.6
262.6	142.1
262.8	141.2
263.0	139.9
263.2	138.7
263.4	139.6
263.6	140.1
263.8	142.8
264.0	143.5
264.2	144.0
264.4	141.8
264.6	139.9
264.8	138.2
265.0	137.9
265.2	136.7
265.4	137.8
265.6	138.2
265.8	138.6
266.0	140.3
266.2	139.6
266.4	138.5
266.6	137.6
266.8	135.7
267.0	134.6
267.2	136.4
267.4	138.1
267.6	139.4
267.8	139.7
268.0	139.2
268.2	137.6
268.4	138.3
268.6	138.5
268.8	136.9
269.0	136.3
269.2	134.9
269.4	133.6
269.6	134.7
269.8	134.1
270.0	133.9
270.2	134.5
270.4	134.9
270.6	134.3
270.8	135.0
271.0	134.0
271.2	133.0
271.4	133.2
271.6	133.2
271.8	132.4
272.0	132.5
272.2	132.7
272.4	131.0
272.6	131.1
272.8	129.6
273.0	128.9
273.2	129.7
273.4	131.1
273.6	131.6
273.8	133.3
274.0	133.9
274.2	132.8
274.4	133.0
274.6	133.4
274.8	134.1
275.0	136.4
275.2	139.5
275.4	141.2
275.6	144.1
275.8	147.0
276.0	148.5
276.2	153.1
276.4	157.9
276.6	163.2
276.8	168.8
277.0	172.4
277.2	176.7
277.4	183.0
277.6	190.4
277.8	199.2
278.0	209.1
278.2	217.6
278.4	227.7
278.6	238.0
278.8	250.6
279.0	262.8
279.2	278.2
279.4	294.0
279.6	309.5
279.8	325.5
280.0	340.7
280.2	357.8
280.4	374.8
280.6	391.1
280.8	409.7
281.0	428.2
281.2	448.7
281.4	468.9
281.6	487.0
281.8	505.3
282.0	529.2
282.2	555.0
282.4	583.6
282.6	610.3
282.8	634.2
283.0	657.1
283.2	681.3
283.4	704.1
283.6	728.5
283.8	756.9
284.0	784.7
284.2	811.4
284.4	839.4
284.6	864.4
284.8	890.6
285.0	918.2
285.2	947.0
285.4	974.4
285.6	1001
285.8	1030
286.0	1062
286.2	1087
286.4	1109
286.6	1131
286.8	1152
287.0	1181
287.2	1212
287.4	1236
287.6	1260
287.8	1282
288.0	1301
288.2	1326
288.4	1348
288.6	1372
288.8	1396
289.0	1421
289.2	1441
289.4	1459
289.6	1479
289.8	1496
290.0	1512
290.2	1531
290.4	1550
290.6	1568
290.8	1584
291.0	1599
291.2	1616
291.4	1629
291.6	1647
291.8	1663
292.0	1673
292.2	1684
292.4	1693
292.6	1702
292.8	1715
293.0	1728
293.2	1739
293.4	1749
293.6	1754
293.8	1761
294.0	1768
294.2	1779
294.4	1787
294.6	1798
294.8	1809
295.0	1817
295.2	1823
295.4	1827
295.6	1828
295.8	1828
296.0	1831
296.2	1832
296.4	1834
296.6	1840
296.8	1843
297.0	1849
297.2	1855
297.4	1857
297.6	1855
297.8	1855
298.0	1854
298.2	1854
298.4	1849
298.6	1846
298.8	1839
299.0	1837
299.2	1839
299.4	1840
299.6	1834
299.8	1830
300.0	1823
300.2	1819
300.4	1813
300.6	1808
300.8	1803
301.0	1801
301.2	1798
301.4	1795
301.6	1787
301.8	1780
302.0	1770
302.2	1762
302.4	1753
302.6	1749
302.8	1743
303.0	1738
303.2	1724
303.4	1712
303.6	1703
303.8	1696
304.0	1688
304.2	1680
304.4	1668
304.6	1662
304.8	1652
305.0	1641
305.2	1627
305.4	1614
305.6	1604
305.8	1598
306.0	1592
306.2	1583
306.4	1574
306.6	1562
306.8	1550
307.0	1538
307.2	1528
307.4	1517
307.6	1511
307.8	1500
308.0	1491
308.2	1482
308.4	1475
308.6	1469
308.8	1458
309.0	1447
309.2	1436
309.4	1427
309.6	1423
309.8	1420
310.0	1410
310.2	1403
310.4	1395
310.6	1390
310.8	1386
311.0	1382
311.2	1378
311.4	1372
311.6	1369
311.8	1363
312.0	1356
312.2	1352
312.4	1352
312.6	1353
312.8	1353
313.0	1348
313.2	1341
313.4	1334
313.6	1332
313.8	1334
314.0	1335
314.2	1337
314.4	1336
314.6	1335
314.8	1336
315.0	1336
315.2	1335
315.4	1334
315.6	1335
315.8	1338
316.0	1339
316.2	1337
316.4	1339
316.6	1341
316.8	1344
317.0	1351
317.2	1355
317.4	1355
317.6	1360
317.8	1362
318.0	1362
318.2	1367
318.4	1370
318.6	1373
318.8	1381
319.0	1386
319.2	1391
319.4	1393
319.6	1397
319.8	1403
320.0	1413
320.2	1424
320.4	1432
320.6	1437
320.8	1445
321.0	1450
321.2	1456
321.4	1462
321.6	1464
321.8	1472
322.0	1480
322.2	1488
322.4	1496
322.6	1506
322.8	1510
323.0	1517
323.2	1524
323.4	1534
323.6	1547
323.8	1556
324.0	1562
324.2	1572
324.4	1583
324.6	1597
324.8	1611
325.0	1621
325.2	1631
325.4	1639
325.6	1649
325.8	1657
326.0	1669
326.2	1683
326.4	1694
326.6	1705
326.8	1715
327.0	1726
327.2	1741
327.4	1757
327.6	1770
327.8	1781
328.0	1789
328.2	1802
328.4	1816
328.6	1833
328.8	1848
329.0	1862
329.2	1876
329.4	1892
329.6	1908
329.8	1923
330.0	1941
330.2	1957
330.4	1971
330.6	1988
330.8	2006
331.0	2025
331.2	2043
331.4	2060
331.6	2076
331.8	2092
332.0	2108
332.2	2123
332.4	2141
332.6	2160
332.8	2178
333.0	2199
333.2	2220
333.4	2244
333.6	2267
333.8	2289
334.0	2311
334.2	2332
334.4	2353
334.6	2375
334.8	2395
335.0	2418
335.2	2446
335.4	2468
335.6	2492
335.8	2512
336.0	2535
336.2	2556
336.4	2579
336.6	2599
336.8	2627
337.0	2654
337.2	2682
337.4	2706
337.6	2733
337.8	2757
338.0	2788
338.2	2823
338.4	2857
338.6	2884
338.8	2909
339.0	2931
339.2	2959
339.4	2990
339.6	3024
339.8	3051
340.0	3079
340.2	3109
340.4	3140
340.6	3168
340.8	3198
341.0	3224
341.2	3262
341.4	3301
341.6	3339
341.8	3373
342.0	3403
342.2	3435
342.4	3471
342.6	3506
342.8	3539
343.0	3574
343.2	3612
343.4	3649
343.6	3687
343.8	3724
344.0	3763
344.2	3801
344.4	3841
344.6	3878
344.8	3919
345.0	3963
345.2	4004
345.4	4036
345.6	4079
345.8	4123
346.0	4168
346.2	4211
346.4	4246
346.6	4281
346.8	4326
347.0	4366
347.2	4417
347.4	4460
347.6	4502
347.8	4548
348.0	4586
348.2	4633
348.4	4686
348.6	4734
348.8	4782
349.0	4830
349.2	4882
349.4	4933
349.6	4981
349.8	5018
350.0	5054
350.2	5095
350.4	5149
350.6	5199
350.8	5262
351.0	5312
351.2	5362
351.4	5407
351.6	5452
351.8	5497
352.0	5549
352.2	5600
352.4	5658
352.6	5709
352.8	5748
353.0	5790
353.2	5838
353.4	5889
353.6	5954
353.8	6011
354.0	6061
354.2	6115
354.4	6170
354.6	6221
354.8	6273
355.0	6310
355.2	6364
355.4	6417
355.6	6484
355.8	6540
356.0	6599
356.2	6645
356.4	6706
356.6	6761
356.8	6824
357.0	6870
357.2	6925
357.4	6961
357.6	7004
357.8	7054
358.0	7103
358.2	7151
358.4	7212
358.6	7263
358.8	7328
359.0	7391
359.2	7444
359.4	7485
359.6	7533
359.8	7577
360.0	7621
360.2	7679
360.4	7727
360.6	7776
360.8	7829
361.0	7868
361.2	7909
361.4	7955
361.6	8009
361.8	8061
362.0	8111
362.2	8157
362.4	8196
362.6	8230
362.8	8279
363.0	8321
363.2	8371
363.4	8416
363.6	8452
363.8	8492
364.0	8530
364.2	8577
364.4	8624
364.6	8663
364.8	8705
365.0	8741
365.2	8775
365.4	8813
365.6	8849
365.8	8884
366.0	8914
366.2	8941
366.4	8977
366.6	9009
366.8	9051
367.0	9081
367.2	9110
367.4	9126
367.6	9153
367.8	9171
368.0	9200
368.2	9219
368.4	9250
368.6	9280
368.8	9315
369.0	9335
369.2	9355
369.4	9367
369.6	9386
369.8	9409
370.0	9425
370.2	9448
370.4	9476
370.6	9500
370.8	9518
371.0	9522
371.2	9528
371.4	9549
371.6	9571
371.8	9588
372.0	9601
372.2	9612
372.4	9621
372.6	9633
372.8	9643
373.0	9641
373.2	9647
373.4	9655
373.6	9664
373.8	9681
374.0	9695
374.2	9703
374.4	9710
374.6	9710
374.8	9717
375.0	9720
375.2	9721
375.4	9729
375.6	9732
375.8	9737
376.0	9737
376.2	9745
376.4	9753
376.6	9763
376.8	9772
377.0	9778
377.2	9779
377.4	9787
377.6	9794
377.8	9800
378.0	9801
378.2	9792
378.4	9785
378.6	9777
378.8	9777
379.0	9777
379.2	9784
379.4	9791
379.6	9790
379.8	9788
380.0	9780
380.2	9768
380.4	9768
380.6	9767
380.8	9767
381.0	9765
381.2	9767
381.4	9762
381.6	9752
381.8	9738
382.0	9724
382.2	9712
382.4	9711
382.6	9701
382.8	9689
383.0	9675
383.2	9660
383.4	9653
383.6	9641
383.8	9624
384.0	9610
384.2	9596
384.4	9584
384.6	9571
384.8	9557
385.0	9537
385.2	9519
385.4	9503
385.6	9484
385.8	9467
386.0	9448
386.2	9420
386.4	9387
386.6	9357
386.8	9328
387.0	9301
387.2	9273
387.4	9246
387.6	9211
387.8	9179
388.0	9146
388.2	9114
388.4	9087
388.6	9064
388.8	9033
389.0	9001
389.2	8969
389.4	8939
389.6	8901
389.8	8868
390.0	8829
390.2	8794
390.4	8768
390.6	8733
390.8	8697
391.0	8664
391.2	8634
391.4	8603
391.6	8572
391.8	8534
392.0	8497
392.2	8462
392.4	8432
392.6	8397
392.8	8364
393.0	8329
393.2	8300
393.4	8272
393.6	8241
393.8	8207
394.0	8170
394.2	8135
394.4	8104
394.6	8077
394.8	8048
395.0	8014
395.2	7981
395.4	7954
395.6	7920
395.8	7898
396.0	7872
396.2	7843
396.4	7823
396.6	7800
396.8	7779
397.0	7762
397.2	7742
397.4	7718
397.6	7693
397.8	7666
398.0	7643
398.2	7618
398.4	7603
398.6	7585
398.8	7566
399.0	7550
399.2	7535
399.4	7517
399.6	7505
399.8	7493
400.0	7472
400.2	7452
400.4	7441
400.6	7427
400.8	7417
401.0	7406
401.2	7389
401.4	7374
401.6	7358
401.8	7345
402.0	7338
402.2	7331
402.4	7327
402.6	7321
402.8	7316
403.0	7310
403.2	7309
403.4	7312
403.6	7310
403.8	7316
404.0	7320
404.2	7313
404.4	7307
404.6	7304
404.8	7301
405.0	7308
