
nm	Data
540.0	1849
540.2	1807
540.4	1806
540.6	1828
540.8	1836
541.0	1855
541.2	1858
541.4	1838
541.6	1831
541.8	1854
542.0	1818
542.2	1813
542.4	1829
542.6	1845
542.8	1876
543.0	1917
543.2	1911
543.4	1915
543.6	1916
543.8	1906
544.0	1892
544.2	1891
544.4	1906
544.6	1921
544.8	1946
545.0	1980
545.2	1981
545.4	1990
545.6	1977
545.8	1974
546.0	1994
546.2	2015
546.4	2020
546.6	2030
546.8	2029
547.0	2018
547.2	2022
547.4	2004
547.6	1996
547.8	2011
548.0	2027
548.2	2040
548.4	2061
548.6	2060
548.8	2072
549.0	2076
549.2	2079
549.4	2102
549.6	2105
549.8	2128
550.0	2144
550.2	2133
550.4	2136
550.6	2141
550.8	2150
551.0	2172
551.2	2167
551.4	2166
551.6	2177
551.8	2180
552.0	2196
552.2	2200
552.4	2195
552.6	2195
552.8	2196
553.0	2185
553.2	2194
553.4	2197
553.6	2204
553.8	2203
554.0	2219
554.2	2233
554.4	2250
554.6	2248
554.8	2261
555.0	2271
555.2	2297
555.4	2310
555.6	2307
555.8	2307
556.0	2317
556.2	2314
556.4	2331
556.6	2348
556.8	2371
557.0	2371
557.2	2366
557.4	2348
557.6	2350
557.8	2379
558.0	2407
558.2	2408
558.4	2424
558.6	2435
558.8	2462
559.0	2473
559.2	2473
559.4	2458
559.6	2435
559.8	2430
560.0	2435
560.2	2445
560.4	2491
560.6	2511
560.8	2523
561.0	2552
561.2	2544
561.4	2569
561.6	2586
561.8	2593
562.0	2596
562.2	2623
562.4	2626
562.6	2622
562.8	2617
563.0	2625
563.2	2631
563.4	2642
563.6	2650
563.8	2681
564.0	2713
564.2	2725
564.4	2744
564.6	2712
564.8	2707
565.0	2706
565.2	2705
565.4	2699
565.6	2733
565.8	2757
566.0	2794
566.2	2784
566.4	2791
566.6	2783
566.8	2791
567.0	2828
567.2	2860
567.4	2884
567.6	2913
567.8	2903
568.0	2881
568.2	2903
568.4	2915
568.6	2915
568.8	2919
569.0	2908
569.2	2929
569.4	2951
569.6	2977
569.8	2976
570.0	2957
570.2	2964
570.4	2988
570.6	2979
570.8	3011
571.0	3034
571.2	3012
571.4	3038
571.6	3062
571.8	3087
572.0	3113
572.2	3120
572.4	3098
572.6	3098
572.8	3104
573.0	3144
573.2	3151
573.4	3161
573.6	3165
573.8	3173
574.0	3182
574.2	3224
574.4	3255
574.6	3292
574.8	3275
575.0	3241
575.2	3217
575.4	3232
575.6	3272
575.8	3320
576.0	3328
576.2	3334
576.4	3352
576.6	3365
576.8	3376
577.0	3397
577.2	3393
577.4	3405
577.6	3408
577.8	3392
578.0	3378
578.2	3395
578.4	3417
578.6	3423
578.8	3426
579.0	3435
579.2	3424
579.4	3432
579.6	3459
579.8	3462
580.0	3490
580.2	3513
580.4	3536
580.6	3536
580.8	3567
581.0	3572
581.2	3598
581.4	3580
581.6	3562
581.8	3559
582.0	3603
582.2	3613
582.4	3653
582.6	3643
582.8	3633
583.0	3656
583.2	3658
583.4	3668
583.6	3673
583.8	3686
584.0	3694
584.2	3706
584.4	3699
584.6	3742
584.8	3758
585.0	3784
585.2	3779
585.4	3749
585.6	3731
585.8	3755
586.0	3778
586.2	3825
586.4	3858
586.6	3846
586.8	3859
587.0	3847
587.2	3851
587.4	3865
587.6	3857
587.8	3865
588.0	3898
588.2	3907
588.4	3902
588.6	3898
588.8	3876
589.0	3882
589.2	3910
589.4	3920
589.6	3884
589.8	3882
590.0	3864
590.2	3853
590.4	3888
590.6	3937
590.8	3948
591.0	3973
591.2	3994
591.4	3997
591.6	4007
591.8	4003
592.0	3990
592.2	4000
592.4	4021
592.6	4036
592.8	4047
593.0	4041
593.2	4058
593.4	4055
593.6	4079
593.8	4093
594.0	4083
594.2	4073
594.4	4088
594.6	4076
594.8	4119
595.0	4156
595.2	4140
595.4	4109
595.6	4136
595.8	4158
596.0	4181
596.2	4202
596.4	4177
596.6	4124
596.8	4154
597.0	4197
597.2	4231
597.4	4266
597.6	4287
597.8	4259
598.0	4271
598.2	4265
598.4	4251
598.6	4254
598.8	4270
