
nm	Data
330.0	458.9
330.2	442.1
330.4	447.2
330.6	463.9
330.8	483.3
331.0	481.5
331.2	469.7
331.4	469.8
331.6	460.1
331.8	455.8
332.0	468.0
332.2	474.3
332.4	475.0
332.6	480.8
332.8	462.8
333.0	450.7
333.2	446.7
333.4	446.7
333.6	463.0
333.8	464.9
334.0	443.5
334.2	442.8
334.4	435.5
334.6	451.1
334.8	457.8
335.0	458.0
335.2	426.3
335.4	417.1
335.6	410.8
335.8	427.2
336.0	435.0
336.2	450.5
336.4	446.2
336.6	447.2
336.8	449.1
337.0	448.2
337.2	447.1
337.4	452.2
337.6	443.9
337.8	442.5
338.0	435.1
338.2	437.3
338.4	444.2
338.6	447.7
338.8	457.6
339.0	460.8
339.2	460.6
339.4	465.8
339.6	470.0
339.8	460.2
340.0	472.1
340.2	485.1
340.4	493.1
340.6	503.8
340.8	501.2
341.0	490.2
341.2	476.4
341.4	493.2
341.6	487.2
341.8	482.6
342.0	487.0
342.2	472.6
342.4	453.0
342.6	458.8
342.8	462.0
343.0	459.2
343.2	476.1
343.4	485.1
343.6	489.7
343.8	496.3
344.0	491.2
344.2	488.7
344.4	493.9
344.6	507.2
344.8	511.1
345.0	520.8
345.2	506.3
345.4	503.6
345.6	509.4
345.8	497.6
346.0	491.0
346.2	475.4
346.4	474.5
346.6	486.2
346.8	510.4
347.0	510.9
347.2	522.0
347.4	514.3
347.6	518.5
347.8	522.8
348.0	548.9
348.2	559.9
348.4	586.0
348.6	591.8
348.8	578.2
349.0	549.0
349.2	540.9
349.4	541.9
349.6	555.9
349.8	542.7
350.0	556.8
350.2	567.4
350.4	571.5
350.6	572.0
350.8	558.3
351.0	532.6
351.2	554.6
351.4	581.9
351.6	574.9
351.8	569.5
352.0	555.2
352.2	544.2
352.4	550.3
352.6	567.9
352.8	590.4
353.0	626.4
353.2	648.5
353.4	643.8
353.6	635.4
353.8	631.1
354.0	623.2
354.2	634.1
354.4	636.9
354.6	642.6
354.8	667.5
355.0	681.2
355.2	665.6
355.4	666.1
355.6	642.9
355.8	621.5
356.0	636.0
356.2	631.8
356.4	644.1
