
nm	Data
310.0	943.7
310.2	932.6
310.4	929.0
310.6	928.3
310.8	917.9
311.0	915.7
311.2	893.6
311.4	916.3
311.6	898.2
311.8	907.2
312.0	900.4
312.2	892.2
312.4	883.0
312.6	890.3
312.8	887.1
313.0	855.0
313.2	807.4
313.4	773.3
313.6	764.6
313.8	788.0
314.0	790.7
314.2	790.3
314.4	768.8
314.6	749.9
314.8	758.8
315.0	778.6
315.2	753.8
315.4	732.3
315.6	724.7
315.8	719.9
316.0	708.9
316.2	696.8
316.4	679.7
316.6	613.9
316.8	637.2
317.0	650.3
317.2	654.0
317.4	655.7
317.6	653.6
317.8	626.5
318.0	642.7
318.2	634.3
318.4	599.7
318.6	599.5
318.8	603.2
319.0	619.8
319.2	607.9
319.4	602.3
319.6	587.9
319.8	583.4
320.0	594.0
320.2	595.1
320.4	585.3
320.6	578.6
320.8	584.6
321.0	563.4
321.2	553.4
321.4	533.4
321.6	541.8
321.8	547.0
322.0	547.6
322.2	538.4
322.4	522.4
322.6	505.7
322.8	511.9
323.0	523.8
323.2	519.3
323.4	521.1
323.6	531.2
323.8	542.2
324.0	550.3
324.2	546.8
324.4	530.7
324.6	518.7
324.8	523.7
325.0	531.2
325.2	512.3
325.4	502.2
325.6	488.7
325.8	491.4
326.0	490.9
326.2	488.6
326.4	472.7
326.6	474.1
326.8	476.8
327.0	491.1
327.2	483.9
327.4	478.2
327.6	467.9
327.8	460.5
328.0	457.5
328.2	460.8
328.4	454.3
328.6	476.2
328.8	470.5
329.0	473.7
329.2	468.0
329.4	467.1
329.6	476.0
329.8	502.3
330.0	501.3
330.2	495.6
330.4	468.7
330.6	457.0
330.8	455.9
331.0	470.2
331.2	484.6
331.4	479.1
331.6	462.7
331.8	445.2
332.0	445.1
332.2	464.3
332.4	476.2
332.6	474.6
332.8	469.7
333.0	452.4
333.2	446.2
333.4	448.2
333.6	451.7
333.8	463.4
334.0	474.1
334.2	473.0
334.4	456.5
334.6	442.5
334.8	443.1
335.0	446.4
335.2	453.8
335.4	466.0
335.6	464.3
335.8	447.6
336.0	453.0
336.2	447.9
336.4	435.3
336.6	442.0
336.8	448.0
337.0	438.8
337.2	460.0
337.4	463.4
337.6	445.1
337.8	435.6
338.0	443.0
338.2	429.6
338.4	434.2
338.6	448.6
338.8	449.0
339.0	443.8
339.2	453.7
339.4	446.8
339.6	439.8
339.8	456.4
340.0	446.9
340.2	440.5
340.4	444.9
340.6	462.6
340.8	482.3
341.0	511.7
341.2	515.2
341.4	518.8
341.6	502.6
341.8	500.1
342.0	493.4
342.2	497.8
342.4	492.6
342.6	498.9
342.8	489.8
343.0	489.0
343.2	474.3
343.4	462.4
343.6	452.6
343.8	448.7
344.0	467.5
344.2	502.7
344.4	514.6
344.6	515.1
344.8	493.8
345.0	483.2
345.2	489.0
345.4	509.0
345.6	510.8
345.8	511.5
346.0	491.7
346.2	486.4
346.4	488.3
346.6	495.2
346.8	490.8
347.0	493.4
347.2	488.1
347.4	495.5
347.6	507.9
347.8	523.2
348.0	524.5
348.2	523.5
348.4	515.8
348.6	529.3
348.8	518.9
349.0	514.5
349.2	510.6
349.4	528.8
349.6	548.6
349.8	569.6
350.0	566.8
350.2	562.8
350.4	546.1
350.6	546.0
350.8	554.9
351.0	566.4
351.2	578.9
351.4	599.3
351.6	586.5
351.8	576.8
352.0	583.3
352.2	576.2
352.4	570.1
352.6	579.4
352.8	590.2
353.0	604.7
353.2	619.6
353.4	612.0
353.6	602.6
353.8	610.9
354.0	626.4
354.2	622.0
354.4	619.6
354.6	618.2
