
nm	Data
370.0	3.436
370.2	4.840
370.4	9.235
370.6	13.87
370.8	13.28
371.0	10.82
371.2	8.413
371.4	8.529
371.6	8.738
371.8	10.68
372.0	6.258
372.2	3.459
372.4	1.859
372.6	3.891
372.8	5.653
373.0	10.90
373.2	9.972
373.4	9.133
373.6	10.41
373.8	7.826
374.0	6.785
374.2	11.32
374.4	8.170
374.6	8.275
374.8	9.793
375.0	7.249
375.2	6.885
375.4	7.068
375.6	6.345
375.8	6.157
376.0	8.877
376.2	7.191
376.4	6.136
376.6	5.397
376.8	6.191
377.0	4.964
377.2	5.977
377.4	7.850
377.6	8.659
377.8	8.767
378.0	7.420
378.2	3.872
378.4	3.693
378.6	8.486
378.8	9.163
379.0	8.368
379.2	8.099
379.4	4.310
379.6	3.743
379.8	3.917
380.0	2.006
380.2	2.996
380.4	5.700
380.6	6.232
380.8	7.999
381.0	8.907
381.2	10.43
381.4	13.66
381.6	14.65
381.8	13.91
382.0	11.23
382.2	10.84
382.4	9.909
382.6	8.099
382.8	8.832
383.0	10.99
383.2	11.13
383.4	14.54
383.6	17.24
383.8	16.25
384.0	13.47
384.2	9.831
384.4	5.951
384.6	3.042
384.8	10.11
385.0	15.00
385.2	14.78
385.4	15.45
385.6	11.75
385.8	7.658
386.0	7.537
386.2	8.591
386.4	8.306
386.6	7.719
386.8	7.794
387.0	8.706
387.2	9.645
387.4	12.06
387.6	11.80
387.8	8.601
388.0	11.91
388.2	14.12
388.4	19.21
388.6	22.38
388.8	19.38
389.0	17.32
389.2	15.36
389.4	10.33
389.6	9.526
389.8	11.47
390.0	10.81
390.2	10.65
390.4	12.63
390.6	10.49
390.8	10.46
391.0	11.54
391.2	10.08
391.4	10.42
391.6	14.32
391.8	17.89
392.0	20.08
392.2	19.50
392.4	16.44
392.6	16.10
392.8	15.35
393.0	17.81
393.2	21.08
393.4	19.76
393.6	18.55
393.8	15.65
394.0	15.01
394.2	12.33
394.4	13.85
394.6	12.65
394.8	15.93
395.0	16.14
395.2	20.05
395.4	18.69
395.6	16.98
395.8	14.81
396.0	21.47
396.2	22.30
396.4	27.08
396.6	28.90
396.8	25.67
397.0	22.35
397.2	22.86
397.4	20.96
397.6	19.57
397.8	21.15
398.0	23.07
398.2	22.17
398.4	23.07
398.6	21.50
398.8	19.73
399.0	22.25
399.2	24.06
399.4	27.85
399.6	31.22
399.8	31.68
400.0	34.45
400.2	34.86
400.4	31.86
400.6	34.99
400.8	30.58
401.0	33.09
401.2	34.74
401.4	38.55
401.6	42.95
401.8	47.57
402.0	43.44
402.2	39.80
402.4	33.53
402.6	35.33
402.8	41.29
403.0	44.14
