Sample:	'20211010A(EM)
File name:	G-CDs 480.FDS
Run date:	'11:44:06, 05/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	480.0 nm
EM  Start WL:	500.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	500.0	535.6	536.4	1419	536.4	1409
2	536.4	537.6	800.0	1420	800.0	2.114

Data points
nm	Data
500.0	449.2
500.2	451.2
500.4	457.9
500.6	466.9
500.8	475.5
501.0	482.0
501.2	486.5
501.4	493.6
501.6	499.5
501.8	504.0
502.0	510.0
502.2	516.7
502.4	524.6
502.6	534.9
502.8	541.0
503.0	545.2
503.2	551.4
503.4	558.0
503.6	565.4
503.8	573.5
504.0	580.3
504.2	586.8
504.4	594.5
504.6	600.6
504.8	607.9
505.0	616.3
505.2	624.6
505.4	632.2
505.6	638.8
505.8	644.3
506.0	650.6
506.2	659.2
506.4	668.4
506.6	676.7
506.8	684.0
507.0	691.2
507.2	696.8
507.4	703.8
507.6	712.1
507.8	719.8
508.0	726.8
508.2	733.2
508.4	739.4
508.6	746.8
508.8	755.1
509.0	764.2
509.2	772.7
509.4	779.2
509.6	788.5
509.8	793.7
510.0	800.4
510.2	808.6
510.4	816.2
510.6	822.1
510.8	830.1
511.0	837.1
511.2	845.3
511.4	853.9
511.6	861.2
511.8	866.4
512.0	872.3
512.2	881.5
512.4	890.7
512.6	898.9
512.8	905.7
513.0	910.5
513.2	917.1
513.4	924.9
513.6	936.2
513.8	944.5
514.0	951.7
514.2	955.9
514.4	961.9
514.6	969.7
514.8	978.9
515.0	985.8
515.2	995.6
515.4	1002
515.6	1010
515.8	1017
516.0	1022
516.2	1027
516.4	1035
516.6	1044
516.8	1051
517.0	1057
517.2	1062
517.4	1072
517.6	1078
517.8	1088
518.0	1095
518.2	1099
518.4	1106
518.6	1115
518.8	1122
519.0	1131
519.2	1137
519.4	1141
519.6	1146
519.8	1153
520.0	1158
520.2	1164
520.4	1166
520.6	1172
520.8	1178
521.0	1187
521.2	1195
521.4	1201
521.6	1205
521.8	1213
522.0	1219
522.2	1224
522.4	1226
522.6	1229
522.8	1232
523.0	1239
523.2	1243
523.4	1250
523.6	1254
523.8	1261
524.0	1269
524.2	1277
524.4	1281
524.6	1284
524.8	1289
525.0	1292
525.2	1295
525.4	1298
525.6	1303
525.8	1305
526.0	1314
526.2	1320
526.4	1323
526.6	1327
526.8	1331
527.0	1331
527.2	1336
527.4	1342
527.6	1343
527.8	1347
528.0	1350
528.2	1352
528.4	1358
528.6	1360
528.8	1362
529.0	1364
529.2	1365
529.4	1369
529.6	1374
529.8	1374
530.0	1377
530.2	1382
530.4	1383
530.6	1385
530.8	1385
531.0	1383
531.2	1388
531.4	1394
531.6	1397
531.8	1402
532.0	1401
532.2	1395
532.4	1394
532.6	1397
532.8	1403
533.0	1413
533.2	1416
533.4	1413
533.6	1410
533.8	1412
534.0	1413
534.2	1415
534.4	1415
534.6	1415
534.8	1413
535.0	1416
535.2	1415
535.4	1417
535.6	1419
535.8	1418
536.0	1414
536.2	1411
536.4	1409
536.6	1412
536.8	1416
537.0	1417
537.2	1419
537.4	1420
537.6	1420
537.8	1419
538.0	1418
538.2	1417
538.4	1416
538.6	1416
538.8	1415
539.0	1413
539.2	1413
539.4	1412
539.6	1412
539.8	1413
540.0	1413
540.2	1411
540.4	1409
540.6	1405
540.8	1403
541.0	1402
541.2	1401
541.4	1401
541.6	1401
541.8	1398
542.0	1399
542.2	1401
542.4	1400
542.6	1397
542.8	1396
543.0	1390
543.2	1388
543.4	1389
543.6	1389
543.8	1389
544.0	1387
544.2	1382
544.4	1379
544.6	1376
544.8	1374
545.0	1372
545.2	1370
545.4	1370
545.6	1369
545.8	1366
546.0	1363
546.2	1359
546.4	1357
546.6	1356
546.8	1354
547.0	1353
547.2	1353
547.4	1351
547.6	1347
547.8	1341
548.0	1336
548.2	1333
548.4	1335
548.6	1333
548.8	1330
549.0	1327
549.2	1323
549.4	1320
549.6	1318
549.8	1315
550.0	1312
550.2	1311
550.4	1307
550.6	1308
550.8	1304
551.0	1302
551.2	1301
551.4	1300
551.6	1295
551.8	1292
552.0	1288
552.2	1284
552.4	1279
552.6	1277
552.8	1274
553.0	1273
553.2	1273
553.4	1272
553.6	1267
553.8	1263
554.0	1258
554.2	1254
554.4	1252
554.6	1252
554.8	1250
555.0	1248
555.2	1244
555.4	1243
555.6	1239
555.8	1234
556.0	1229
556.2	1225
556.4	1221
556.6	1220
556.8	1219
557.0	1215
557.2	1215
557.4	1212
557.6	1206
557.8	1200
558.0	1197
558.2	1194
558.4	1194
558.6	1189
558.8	1184
559.0	1181
559.2	1178
559.4	1175
559.6	1173
559.8	1167
560.0	1164
560.2	1160
560.4	1157
560.6	1156
560.8	1155
561.0	1154
561.2	1151
561.4	1145
561.6	1138
561.8	1131
562.0	1128
562.2	1128
562.4	1127
562.6	1125
562.8	1124
563.0	1121
563.2	1115
563.4	1112
563.6	1108
563.8	1103
564.0	1102
564.2	1100
564.4	1096
564.6	1096
564.8	1095
565.0	1092
565.2	1086
565.4	1082
565.6	1079
565.8	1075
566.0	1074
566.2	1071
566.4	1064
566.6	1064
566.8	1060
567.0	1056
567.2	1055
567.4	1052
567.6	1049
567.8	1048
568.0	1046
568.2	1042
568.4	1041
568.6	1037
568.8	1033
569.0	1030
569.2	1029
569.4	1027
569.6	1024
569.8	1020
570.0	1014
570.2	1011
570.4	1011
570.6	1012
570.8	1009
571.0	1007
571.2	1002
571.4	997.4
571.6	995.5
571.8	993.0
572.0	992.0
572.2	991.3
572.4	988.0
572.6	984.7
572.8	981.8
573.0	976.5
573.2	975.2
573.4	971.8
573.6	970.7
573.8	968.4
574.0	965.9
574.2	962.4
574.4	962.0
574.6	960.8
574.8	959.2
575.0	956.4
575.2	954.9
575.4	951.9
575.6	951.1
575.8	949.0
576.0	947.8
576.2	946.9
576.4	945.2
576.6	942.4
576.8	940.5
577.0	937.7
577.2	934.3
577.4	931.8
577.6	930.1
577.8	930.3
578.0	929.8
578.2	928.3
578.4	924.0
578.6	920.4
578.8	919.0
579.0	917.6
579.2	915.5
579.4	916.3
579.6	917.8
579.8	916.1
580.0	915.7
580.2	913.8
580.4	912.4
580.6	910.5
580.8	909.9
581.0	907.2
581.2	906.0
581.4	902.7
581.6	900.4
581.8	898.2
582.0	898.8
582.2	900.8
582.4	902.4
582.6	899.1
582.8	893.7
583.0	891.4
583.2	890.9
583.4	889.6
583.6	890.0
583.8	886.0
584.0	883.9
584.2	884.3
584.4	883.6
584.6	884.8
584.8	884.1
585.0	880.6
585.2	880.6
585.4	880.7
585.6	878.2
585.8	879.7
586.0	878.2
586.2	875.0
586.4	874.1
586.6	872.8
586.8	868.5
587.0	869.0
587.2	871.3
587.4	871.0
587.6	872.2
587.8	869.3
588.0	863.1
588.2	858.4
588.4	859.2
588.6	858.5
588.8	861.0
589.0	862.1
589.2	860.3
589.4	855.4
589.6	853.2
589.8	851.2
590.0	851.4
590.2	851.6
590.4	850.1
590.6	847.9
590.8	847.2
591.0	847.8
591.2	845.1
591.4	844.2
591.6	842.0
591.8	840.0
592.0	839.6
592.2	838.5
592.4	835.1
592.6	836.5
592.8	836.1
593.0	835.1
593.2	834.3
593.4	830.9
593.6	828.6
593.8	826.8
594.0	823.7
594.2	822.7
594.4	820.7
594.6	818.0
594.8	815.9
595.0	813.9
595.2	813.9
595.4	814.5
595.6	811.5
595.8	808.4
596.0	804.1
596.2	801.8
596.4	800.3
596.6	797.9
596.8	794.5
597.0	788.5
597.2	786.6
597.4	782.8
597.6	779.0
597.8	777.1
598.0	775.9
598.2	773.7
598.4	774.6
598.6	773.2
598.8	770.0
599.0	765.7
599.2	760.4
599.4	755.7
599.6	750.3
599.8	749.6
600.0	748.1
600.2	745.8
600.4	744.0
600.6	742.1
600.8	740.4
601.0	740.2
601.2	737.8
601.4	733.7
601.6	727.8
601.8	723.7
602.0	721.2
602.2	718.1
602.4	714.8
602.6	710.2
602.8	704.7
603.0	702.9
603.2	703.5
603.4	700.1
603.6	697.0
603.8	692.5
604.0	686.4
604.2	682.6
604.4	681.0
604.6	677.0
