Sample:	'20211010A(EX)
File name:	G-CDs EX.FDS
Run date:	'12:23:35, 05/20/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Excitation
Data mode:	Fluorescence
EM WL:	535.0 nm
EX  Start WL:	270.0 nm
EX  End WL:	500.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	10.0 nm
PMT Voltage:	470 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	270.0	270.2	290.6	132.7	290.6	29.90
2	290.6	291.2	294.2	31.33	294.2	26.40
3	294.2	296.4	297.4	28.06	297.4	25.58
4	297.4	300.6	301.6	28.69	301.6	27.37
5	301.6	377.2	377.8	6626	377.8	6605
6	377.8	379.8	500.0	6630	500.0	732.1

Data points
nm	Data
270.0	131.3
270.2	132.7
270.4	129.8
270.6	124.7
270.8	119.9
271.0	116.8
271.2	112.3
271.4	112.4
271.6	110.8
271.8	107.1
272.0	103.1
272.2	99.56
272.4	98.53
272.6	98.41
272.8	98.42
273.0	98.43
273.2	94.95
273.4	90.95
273.6	90.36
273.8	87.84
274.0	84.59
274.2	83.52
274.4	80.01
274.6	75.87
274.8	74.45
275.0	73.63
275.2	73.57
275.4	72.68
275.6	72.53
275.8	70.71
276.0	69.89
276.2	69.07
276.4	70.45
276.6	68.97
276.8	67.41
277.0	63.99
277.2	62.04
277.4	57.83
277.6	57.58
277.8	57.17
278.0	57.39
278.2	56.95
278.4	57.52
278.6	56.12
278.8	54.88
279.0	53.95
279.2	53.96
279.4	52.34
279.6	51.20
279.8	49.93
280.0	47.43
280.2	47.13
280.4	47.13
280.6	47.65
280.8	48.33
281.0	48.94
281.2	49.15
281.4	48.14
281.6	46.31
281.8	43.74
282.0	42.52
282.2	42.75
282.4	43.50
282.6	43.50
282.8	44.58
283.0	44.01
283.2	43.29
283.4	41.99
283.6	41.05
283.8	39.76
284.0	39.17
284.2	40.54
284.4	40.76
284.6	41.88
284.8	42.33
285.0	40.84
285.2	38.24
285.4	37.05
285.6	37.37
285.8	39.20
286.0	40.05
286.2	39.97
286.4	38.60
286.6	36.37
286.8	35.84
287.0	35.73
287.2	34.59
287.4	34.92
287.6	34.91
287.8	33.71
288.0	33.40
288.2	32.84
288.4	32.29
288.6	31.99
288.8	32.38
289.0	31.57
