Sample:	'20211010A(EM)
File name:	R-CDs-490.FDS
Run date:	'16:45:19, 05/19/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	490.0 nm
EM  Start WL:	510.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	5.0 nm
EM Slit:	10.0 nm
PMT Voltage:	500 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	510.0	542.0	543.6	3975	543.6	3959
2	543.6	544.4	757.6	3976	757.6	16.80
3	757.6	758.2	900.0	18.13	900.0	1.061

Data points
nm	Data
510.0	1895
510.2	1910
510.4	1929
510.6	1950
510.8	1973
511.0	1994
511.2	2016
511.4	2040
511.6	2053
511.8	2073
512.0	2091
512.2	2106
512.4	2127
512.6	2147
512.8	2161
513.0	2177
513.2	2191
513.4	2212
513.6	2234
513.8	2256
514.0	2276
514.2	2294
514.4	2313
514.6	2336
514.8	2356
515.0	2376
515.2	2395
515.4	2412
515.6	2428
515.8	2446
516.0	2469
516.2	2490
516.4	2511
516.6	2529
516.8	2542
517.0	2563
517.2	2581
517.4	2602
517.6	2623
517.8	2640
518.0	2659
518.2	2683
518.4	2700
518.6	2717
518.8	2735
519.0	2752
519.2	2774
519.4	2793
519.6	2809
519.8	2820
520.0	2836
520.2	2854
520.4	2878
520.6	2896
520.8	2916
521.0	2934
521.2	2950
521.4	2966
521.6	2986
521.8	3005
522.0	3025
522.2	3044
522.4	3062
522.6	3085
522.8	3104
523.0	3118
523.2	3130
523.4	3145
523.6	3162
523.8	3182
524.0	3191
524.2	3199
524.4	3212
524.6	3234
524.8	3255
525.0	3278
525.2	3293
525.4	3303
525.6	3317
525.8	3330
526.0	3342
526.2	3359
526.4	3377
526.6	3392
526.8	3409
527.0	3421
527.2	3434
527.4	3445
527.6	3456
527.8	3464
528.0	3474
528.2	3482
528.4	3499
528.6	3519
528.8	3534
529.0	3550
529.2	3564
529.4	3572
529.6	3583
529.8	3597
530.0	3607
530.2	3614
530.4	3626
530.6	3642
530.8	3652
531.0	3669
531.2	3676
531.4	3677
531.6	3686
531.8	3701
532.0	3715
532.2	3728
532.4	3731
532.6	3736
532.8	3746
533.0	3758
533.2	3772
533.4	3779
533.6	3785
533.8	3796
534.0	3808
534.2	3817
534.4	3826
534.6	3830
534.8	3838
535.0	3847
535.2	3853
535.4	3858
535.6	3864
535.8	3864
536.0	3872
536.2	3876
536.4	3883
536.6	3883
536.8	3888
537.0	3893
537.2	3901
537.4	3906
537.6	3918
537.8	3924
538.0	3926
538.2	3936
538.4	3937
538.6	3941
538.8	3948
539.0	3948
539.2	3946
539.4	3949
539.6	3948
539.8	3952
540.0	3953
540.2	3954
540.4	3957
540.6	3965
540.8	3972
541.0	3976
541.2	3971
541.4	3970
541.6	3969
541.8	3972
542.0	3975
542.2	3974
542.4	3970
542.6	3970
542.8	3971
543.0	3970
543.2	3967
543.4	3961
543.6	3959
543.8	3961
544.0	3969
544.2	3975
544.4	3976
544.6	3975
544.8	3968
545.0	3961
545.2	3960
545.4	3955
545.6	3953
545.8	3950
546.0	3945
546.2	3939
546.4	3939
546.6	3936
546.8	3937
547.0	3932
547.2	3928
547.4	3926
547.6	3930
547.8	3932
548.0	3935
548.2	3931
548.4	3924
548.6	3918
548.8	3918
549.0	3915
549.2	3910
549.4	3900
549.6	3889
549.8	3884
550.0	3878
550.2	3876
550.4	3878
550.6	3874
550.8	3862
551.0	3859
551.2	3852
551.4	3851
551.6	3854
551.8	3851
552.0	3841
552.2	3836
552.4	3827
552.6	3831
552.8	3831
553.0	3828
553.2	3823
553.4	3815
553.6	3799
553.8	3797
554.0	3792
554.2	3785
554.4	3778
554.6	3773
554.8	3767
555.0	3765
555.2	3760
555.4	3747
555.6	3735
555.8	3735
556.0	3732
556.2	3733
556.4	3729
556.6	3722
556.8	3712
557.0	3709
557.2	3701
557.4	3695
557.6	3686
557.8	3684
558.0	3680
558.2	3682
558.4	3677
558.6	3671
558.8	3667
559.0	3660
559.2	3657
559.4	3653
559.6	3647
559.8	3640
560.0	3641
560.2	3640
560.4	3633
560.6	3626
560.8	3620
561.0	3614
561.2	3611
561.4	3615
561.6	3607
561.8	3601
562.0	3596
562.2	3593
562.4	3588
562.6	3586
562.8	3579
563.0	3575
563.2	3571
563.4	3570
563.6	3567
563.8	3562
564.0	3553
564.2	3549
564.4	3544
564.6	3545
564.8	3544
565.0	3543
565.2	3537
565.4	3535
565.6	3532
565.8	3531
566.0	3527
566.2	3528
566.4	3528
566.6	3526
566.8	3519
567.0	3511
567.2	3498
567.4	3495
567.6	3494
567.8	3495
568.0	3494
568.2	3485
568.4	3481
568.6	3476
568.8	3472
569.0	3467
569.2	3462
569.4	3460
569.6	3467
569.8	3467
570.0	3473
570.2	3468
570.4	3460
570.6	3461
570.8	3457
571.0	3454
571.2	3456
571.4	3451
571.6	3441
571.8	3437
572.0	3425
572.2	3421
572.4	3421
572.6	3421
572.8	3419
573.0	3421
573.2	3414
573.4	3412
573.6	3410
573.8	3406
574.0	3401
574.2	3395
574.4	3388
574.6	3384
574.8	3381
575.0	3378
575.2	3371
575.4	3370
575.6	3365
575.8	3367
576.0	3369
576.2	3371
576.4	3369
576.6	3366
576.8	3358
577.0	3354
577.2	3348
577.4	3342
577.6	3337
577.8	3334
578.0	3328
578.2	3323
578.4	3317
578.6	3314
578.8	3313
579.0	3311
579.2	3301
579.4	3295
579.6	3289
579.8	3285
580.0	3279
580.2	3269
580.4	3261
580.6	3260
580.8	3257
581.0	3259
581.2	3253
581.4	3251
581.6	3244
581.8	3240
582.0	3234
582.2	3223
582.4	3215
582.6	3217
582.8	3212
583.0	3211
583.2	3207
583.4	3200
583.6	3193
583.8	3186
584.0	3178
584.2	3172
584.4	3169
584.6	3169
584.8	3163
585.0	3156
585.2	3145
585.4	3137
585.6	3131
585.8	3120
586.0	3111
586.2	3108
586.4	3100
586.6	3098
586.8	3096
587.0	3091
587.2	3083
587.4	3083
587.6	3074
587.8	3064
588.0	3055
588.2	3052
588.4	3041
588.6	3037
588.8	3024
589.0	3015
589.2	3006
589.4	3004
589.6	2998
589.8	2993
590.0	2981
590.2	2970
590.4	2960
590.6	2956
590.8	2951
591.0	2944
591.2	2937
591.4	2926
591.6	2917
591.8	2907
592.0	2895
592.2	2885
592.4	2880
592.6	2875
592.8	2870
593.0	2862
593.2	2852
593.4	2843
593.6	2834
593.8	2828
594.0	2817
594.2	2807
594.4	2793
594.6	2783
594.8	2774
595.0	2767
595.2	2759
595.4	2756
595.6	2752
595.8	2744
596.0	2735
596.2	2724
596.4	2712
596.6	2703
596.8	2690
597.0	2677
597.2	2668
597.4	2662
597.6	2658
597.8	2651
