Sample:	'20211010A(EM)
File name:	B-CDs 1 100.FDS
Run date:	'09:36:39, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	720.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	330 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	437.6	438.2	9265	438.2	9216
2	438.2	439.6	720.0	9267	720.0	4.376

Data points
nm	Data
370.0	59.30
370.2	60.54
370.4	61.92
370.6	63.47
370.8	65.37
371.0	66.97
371.2	68.61
371.4	70.58
371.6	72.44
371.8	74.02
372.0	76.04
372.2	77.87
372.4	79.59
372.6	81.69
372.8	83.66
373.0	85.95
373.2	88.34
373.4	90.47
373.6	92.52
373.8	94.80
374.0	97.27
374.2	99.94
374.4	102.4
374.6	105.0
374.8	107.8
375.0	110.6
375.2	113.8
375.4	116.7
375.6	119.6
375.8	123.1
376.0	126.5
376.2	130.1
376.4	133.7
376.6	136.9
376.8	140.3
377.0	144.5
377.2	148.7
377.4	152.8
377.6	156.8
377.8	160.7
378.0	164.8
378.2	169.4
378.4	173.7
378.6	177.8
378.8	182.2
379.0	187.2
379.2	192.2
379.4	197.9
379.6	203.4
379.8	209.1
380.0	214.8
380.2	220.6
380.4	226.2
380.6	232.2
380.8	238.1
381.0	244.5
381.2	251.3
381.4	258.0
381.6	265.0
381.8	272.2
382.0	279.0
382.2	286.4
382.4	294.2
382.6	302.0
382.8	310.9
383.0	319.8
383.2	328.8
383.4	337.3
383.6	346.3
383.8	355.1
384.0	364.0
384.2	374.0
384.4	384.4
384.6	394.4
384.8	405.7
385.0	417.1
385.2	427.7
385.4	439.5
385.6	451.4
385.8	463.6
386.0	476.3
386.2	489.2
386.4	501.3
386.6	515.2
386.8	528.6
387.0	542.0
387.2	556.6
387.4	570.5
387.6	583.9
387.8	600.1
388.0	615.8
388.2	631.3
388.4	648.1
388.6	663.7
388.8	679.4
389.0	697.2
389.2	715.2
389.4	733.0
389.6	751.7
389.8	771.1
390.0	790.9
390.2	812.1
390.4	831.2
390.6	850.5
390.8	871.9
391.0	893.9
391.2	916.4
391.4	939.8
391.6	960.1
391.8	981.9
392.0	1004
392.2	1027
392.4	1052
392.6	1078
392.8	1103
393.0	1130
393.2	1154
393.4	1181
393.6	1208
393.8	1236
394.0	1264
394.2	1293
394.4	1323
394.6	1353
394.8	1384
395.0	1415
395.2	1445
395.4	1477
395.6	1509
395.8	1544
396.0	1578
396.2	1612
396.4	1644
396.6	1679
396.8	1713
397.0	1748
397.2	1784
397.4	1821
397.6	1856
397.8	1893
398.0	1930
398.2	1970
398.4	2008
398.6	2050
398.8	2090
399.0	2131
399.2	2171
399.4	2215
399.6	2256
399.8	2302
400.0	2347
400.2	2392
400.4	2434
400.6	2479
400.8	2525
401.0	2572
401.2	2619
401.4	2666
401.6	2711
401.8	2759
402.0	2809
402.2	2858
402.4	2904
402.6	2949
402.8	2991
403.0	3040
403.2	3091
403.4	3141
403.6	3186
403.8	3237
404.0	3285
404.2	3339
404.4	3388
404.6	3436
404.8	3484
405.0	3536
405.2	3591
405.4	3644
405.6	3698
405.8	3750
406.0	3804
406.2	3853
406.4	3907
406.6	3961
406.8	4015
407.0	4064
407.2	4111
407.4	4154
407.6	4204
407.8	4260
408.0	4317
408.2	4367
408.4	4417
408.6	4472
408.8	4525
409.0	4576
409.2	4631
409.4	4685
409.6	4741
409.8	4802
410.0	4855
410.2	4907
410.4	4963
410.6	5007
410.8	5058
411.0	5112
411.2	5163
411.4	5220
411.6	5275
411.8	5318
412.0	5377
412.2	5433
412.4	5482
412.6	5523
412.8	5565
413.0	5622
413.2	5680
413.4	5736
413.6	5787
413.8	5830
414.0	5872
414.2	5928
414.4	5981
414.6	6031
414.8	6084
415.0	6134
415.2	6175
415.4	6226
415.6	6275
415.8	6322
416.0	6372
416.2	6423
416.4	6464
416.6	6522
416.8	6557
417.0	6591
417.2	6632
417.4	6689
417.6	6739
417.8	6788
418.0	6818
418.2	6858
418.4	6905
418.6	6947
418.8	6995
419.0	7050
419.2	7090
419.4	7144
419.6	7183
419.8	7221
420.0	7264
420.2	7309
420.4	7335
420.6	7372
420.8	7409
421.0	7453
421.2	7498
421.4	7526
421.6	7552
421.8	7602
422.0	7640
422.2	7682
422.4	7720
422.6	7765
422.8	7803
423.0	7849
423.2	7859
423.4	7883
423.6	7912
423.8	7960
424.0	7988
424.2	8018
424.4	8030
424.6	8062
424.8	8103
425.0	8141
