Sample:	'20211010A(EM)
File name:	B-CDs 2.FDS
Run date:	'09:38:49, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	720.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	300 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	445.8	446.8	1735	446.8	1732
2	446.8	447.6	449.2	1736	449.2	1733
3	449.2	450.6	720.0	1736	720.0	1.170

Data points
nm	Data
370.0	4.162
370.2	4.334
370.4	4.447
370.6	4.529
370.8	4.631
371.0	4.750
371.2	4.824
371.4	5.004
371.6	5.142
371.8	5.285
372.0	5.422
372.2	5.540
372.4	5.679
372.6	5.849
372.8	5.980
373.0	6.098
373.2	6.162
373.4	6.267
373.6	6.434
373.8	6.617
374.0	6.841
374.2	7.066
374.4	7.220
374.6	7.424
374.8	7.650
375.0	7.848
375.2	8.090
375.4	8.318
375.6	8.494
375.8	8.737
376.0	8.883
376.2	9.052
376.4	9.280
376.6	9.534
376.8	9.827
377.0	10.14
377.2	10.32
377.4	10.53
377.6	10.80
377.8	11.17
378.0	11.59
378.2	11.89
378.4	12.17
378.6	12.45
378.8	12.77
379.0	13.21
379.2	13.60
379.4	13.93
379.6	14.30
379.8	14.72
380.0	15.10
380.2	15.57
380.4	16.06
380.6	16.48
380.8	16.95
381.0	17.46
381.2	17.81
381.4	18.29
381.6	18.78
381.8	19.26
382.0	19.90
382.2	20.55
382.4	21.02
382.6	21.55
382.8	22.04
383.0	22.65
383.2	23.30
383.4	24.02
383.6	24.67
383.8	25.41
384.0	26.19
384.2	26.99
384.4	27.71
384.6	28.51
384.8	29.32
385.0	30.10
385.2	31.00
385.4	31.84
385.6	32.69
385.8	33.61
386.0	34.48
386.2	35.29
386.4	36.47
386.6	37.59
386.8	38.72
387.0	39.85
387.2	40.73
387.4	41.81
387.6	43.02
387.8	44.32
388.0	45.65
388.2	46.88
388.4	47.95
388.6	49.16
388.8	50.30
389.0	51.74
389.2	53.16
389.4	54.59
389.6	56.13
389.8	57.65
390.0	59.28
390.2	60.95
390.4	62.67
390.6	64.10
390.8	65.86
391.0	67.67
391.2	69.45
391.4	71.29
391.6	73.21
391.8	74.76
392.0	76.76
392.2	78.85
392.4	81.00
392.6	83.19
392.8	85.41
393.0	87.42
393.2	89.64
393.4	91.92
393.6	94.10
393.8	96.61
394.0	99.17
394.2	101.8
394.4	104.4
394.6	107.0
394.8	109.4
395.0	112.0
395.2	114.7
395.4	117.7
395.6	120.9
395.8	124.3
396.0	127.6
396.2	131.0
396.4	133.8
396.6	136.5
396.8	139.5
397.0	142.8
397.2	146.3
397.4	150.2
397.6	153.9
397.8	157.5
398.0	161.1
398.2	164.7
398.4	168.0
398.6	171.9
398.8	175.8
399.0	180.2
399.2	184.7
399.4	189.2
399.6	193.6
399.8	198.3
400.0	202.5
400.2	207.5
400.4	212.3
400.6	217.4
400.8	222.2
401.0	227.0
401.2	231.5
401.4	236.7
401.6	241.8
401.8	247.3
402.0	252.7
402.2	258.2
402.4	263.3
402.6	268.8
402.8	274.0
403.0	279.1
403.2	284.5
403.4	290.3
403.6	296.3
403.8	302.6
404.0	308.7
404.2	314.6
404.4	321.1
404.6	327.4
404.8	333.9
405.0	341.1
405.2	348.0
405.4	355.1
405.6	361.9
405.8	368.3
406.0	375.0
406.2	381.9
406.4	388.3
406.6	396.1
406.8	403.3
407.0	410.9
407.2	417.8
407.4	424.4
407.6	430.8
407.8	438.7
408.0	446.4
408.2	454.8
408.4	462.7
408.6	470.2
408.8	477.6
409.0	486.1
409.2	494.2
409.4	502.9
409.6	511.5
409.8	519.3
410.0	527.4
410.2	536.9
410.4	545.4
410.6	554.0
410.8	562.0
411.0	570.1
411.2	578.6
411.4	588.1
411.6	597.2
411.8	606.3
412.0	615.0
412.2	624.2
412.4	632.4
412.6	640.8
412.8	649.1
413.0	657.9
413.2	667.5
413.4	677.7
413.6	687.5
413.8	696.8
414.0	705.6
414.2	714.7
414.4	723.8
414.6	733.6
414.8	743.2
415.0	753.0
415.2	763.0
415.4	773.0
415.6	782.3
415.8	792.3
416.0	801.2
416.2	811.2
416.4	821.6
416.6	832.0
416.8	842.4
417.0	852.3
417.2	861.3
417.4	870.5
417.6	879.3
417.8	888.1
418.0	896.5
418.2	905.7
418.4	914.2
418.6	923.5
418.8	932.8
419.0	942.7
419.2	952.8
419.4	964.9
419.6	975.7
419.8	986.2
420.0	996.3
420.2	1007
420.4	1016
420.6	1025
420.8	1034
421.0	1042
421.2	1051
421.4	1061
421.6	1070
421.8	1080
422.0	1089
422.2	1098
422.4	1107
422.6	1116
422.8	1124
423.0	1134
423.2	1144
423.4	1154
423.6	1164
423.8	1173
424.0	1182
424.2	1191
424.4	1201
424.6	1210
424.8	1219
425.0	1228
425.2	1236
425.4	1244
425.6	1252
425.8	1261
426.0	1271
426.2	1281
426.4	1290
426.6	1299
426.8	1306
427.0	1314
427.2	1323
427.4	1331
427.6	1338
427.8	1346
428.0	1353
428.2	1361
428.4	1369
428.6	1377
428.8	1386
429.0	1395
429.2	1402
429.4	1409
429.6	1415
429.8	1422
430.0	1428
430.2	1436
430.4	1442
430.6	1451
430.8	1458
431.0	1467
431.2	1475
431.4	1483
431.6	1489
431.8	1495
432.0	1499
432.2	1505
432.4	1511
432.6	1518
432.8	1522
433.0	1529
433.2	1534
433.4	1540
433.6	1547
433.8	1553
434.0	1557
434.2	1561
434.4	1566
434.6	1572
434.8	1578
435.0	1585
435.2	1590
435.4	1595
435.6	1600
435.8	1603
436.0	1606
436.2	1612
436.4	1618
436.6	1623
436.8	1628
437.0	1632
437.2	1637
437.4	1641
437.6	1645
437.8	1647
438.0	1651
438.2	1657
438.4	1660
438.6	1663
438.8	1666
439.0	1668
439.2	1670
439.4	1672
439.6	1673
439.8	1677
440.0	1680
440.2	1684
440.4	1688
440.6	1692
440.8	1694
441.0	1698
441.2	1699
441.4	1701
