Sample:	'20211010A(EM)
File name:	B-CDs 6 600uM.FDS
Run date:	'15:18:56, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	440 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	449.2	450.0	8738	450.0	8708
2	450.0	451.0	453.0	8756	453.0	8694
3	453.0	453.8	676.0	8725	676.0	21.06
4	676.0	676.6	680.0	22.19	680.0	18.72

Data points
nm	Data
370.0	13.30
370.2	13.30
370.4	13.72
370.6	14.30
370.8	14.64
371.0	14.53
371.2	14.70
371.4	15.06
371.6	15.67
371.8	15.90
372.0	16.13
372.2	16.19
372.4	16.71
372.6	16.97
372.8	17.29
373.0	17.46
373.2	17.91
373.4	18.02
373.6	18.46
373.8	18.71
374.0	19.24
374.2	19.75
374.4	20.40
374.6	20.83
374.8	21.64
375.0	22.26
375.2	22.98
375.4	23.29
375.6	23.83
375.8	24.52
376.0	25.53
376.2	26.02
376.4	26.30
376.6	26.76
376.8	27.16
377.0	27.78
377.2	28.96
377.4	30.38
377.6	31.28
377.8	32.17
378.0	32.86
378.2	33.60
378.4	34.25
378.6	35.12
378.8	35.79
379.0	36.98
379.2	38.65
379.4	40.48
379.6	41.47
379.8	42.22
380.0	42.97
380.2	44.72
380.4	46.57
380.6	48.41
380.8	49.81
381.0	50.78
381.2	52.19
381.4	54.30
381.6	56.24
381.8	57.83
382.0	59.18
382.2	59.72
382.4	61.26
382.6	63.42
382.8	65.83
383.0	67.86
383.2	69.99
383.4	72.00
383.6	74.56
383.8	77.51
384.0	79.74
384.2	81.98
384.4	84.56
384.6	87.40
384.8	90.47
385.0	93.98
385.2	96.88
385.4	101.0
385.6	104.4
385.8	107.6
386.0	110.9
386.2	114.6
386.4	118.6
386.6	123.9
386.8	127.7
387.0	130.9
387.2	134.0
387.4	137.3
387.6	142.2
387.8	147.8
388.0	153.1
388.2	158.3
388.4	163.9
388.6	168.7
388.8	173.8
389.0	179.3
389.2	185.3
389.4	191.0
389.6	198.0
389.8	204.2
390.0	209.7
390.2	216.9
390.4	225.3
390.6	234.0
390.8	243.1
391.0	251.1
391.2	257.8
391.4	266.0
391.6	273.8
391.8	281.1
392.0	290.0
392.2	299.7
392.4	309.6
392.6	320.1
392.8	329.5
393.0	337.9
393.2	348.1
393.4	359.8
393.6	370.9
393.8	382.7
394.0	393.8
394.2	407.6
394.4	420.1
394.6	433.3
394.8	446.8
395.0	459.5
395.2	471.8
395.4	487.9
395.6	501.6
395.8	515.8
396.0	532.3
396.2	547.0
396.4	562.1
396.6	579.3
396.8	595.8
397.0	613.2
397.2	630.5
397.4	648.4
397.6	666.7
