Sample:	'20211010A(EM)
File name:	B-CDs 7 700.FDS
Run date:	'15:22:09, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	440 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	452.6	453.6	4929	453.6	4910
2	453.6	457.2	680.0	4945	680.0	13.24

Data points
nm	Data
370.0	6.420
370.2	6.862
370.4	6.970
370.6	6.891
370.8	6.756
371.0	6.807
371.2	7.018
371.4	7.002
371.6	7.278
371.8	7.344
372.0	7.314
372.2	7.293
372.4	7.541
372.6	7.784
372.8	8.232
373.0	8.281
373.2	8.237
373.4	8.294
373.6	8.490
373.8	8.515
374.0	9.024
374.2	9.476
374.4	9.862
374.6	10.03
374.8	10.06
375.0	10.07
375.2	10.03
375.4	10.20
375.6	10.30
375.8	10.46
376.0	10.99
376.2	11.37
376.4	11.51
376.6	11.74
376.8	11.84
377.0	12.10
377.2	12.66
377.4	12.79
377.6	13.08
377.8	13.53
378.0	13.96
378.2	14.51
378.4	14.83
378.6	15.05
378.8	15.36
379.0	15.79
379.2	16.24
379.4	16.88
379.6	16.96
379.8	17.38
380.0	17.81
380.2	18.16
380.4	18.71
380.6	19.79
380.8	20.11
381.0	20.73
381.2	21.32
381.4	21.57
381.6	22.06
381.8	23.13
382.0	23.40
382.2	24.24
382.4	25.42
382.6	25.65
382.8	26.11
383.0	27.37
383.2	28.15
383.4	29.42
383.6	30.71
383.8	31.10
384.0	31.76
384.2	33.16
384.4	34.31
384.6	34.96
384.8	36.14
385.0	37.14
385.2	38.77
385.4	40.47
385.6	42.19
385.8	43.61
386.0	45.35
386.2	46.54
386.4	47.91
386.6	49.09
386.8	50.48
387.0	52.24
387.2	54.30
387.4	56.24
387.6	57.97
387.8	59.89
388.0	61.59
388.2	63.60
388.4	65.80
388.6	67.98
388.8	70.16
389.0	72.47
389.2	75.39
389.4	79.11
389.6	81.78
389.8	84.62
390.0	87.24
390.2	89.39
390.4	92.43
390.6	96.00
390.8	98.82
391.0	102.7
391.2	106.2
391.4	109.1
391.6	112.1
391.8	115.3
392.0	119.1
392.2	123.8
392.4	127.6
392.6	131.2
392.8	135.6
393.0	139.5
393.2	145.0
393.4	149.1
393.6	153.3
393.8	158.1
394.0	163.0
394.2	167.7
394.4	174.7
394.6	179.5
394.8	185.8
395.0	191.4
395.2	196.7
395.4	203.5
395.6	211.9
395.8	218.3
396.0	224.9
396.2	231.4
396.4	237.5
396.6	245.2
396.8	252.6
397.0	260.1
397.2	267.6
397.4	276.7
397.6	284.8
397.8	293.6
398.0	301.5
398.2	310.6
398.4	319.4
398.6	329.2
398.8	338.4
399.0	346.5
399.2	356.1
399.4	366.1
399.6	375.6
399.8	386.6
400.0	397.0
400.2	407.7
400.4	419.7
400.6	432.8
400.8	445.2
401.0	457.9
401.2	470.3
401.4	483.6
401.6	496.0
401.8	508.8
402.0	521.0
402.2	533.4
402.4	547.9
402.6	562.4
402.8	575.6
403.0	588.9
403.2	602.0
403.4	616.5
403.6	633.0
403.8	649.3
404.0	664.5
404.2	682.2
404.4	698.3
404.6	715.2
404.8	730.8
405.0	747.2
405.2	763.8
405.4	781.7
405.6	798.5
405.8	816.1
406.0	833.2
406.2	852.7
406.4	872.2
406.6	890.0
406.8	910.1
407.0	928.1
407.2	946.5
407.4	967.5
407.6	984.7
407.8	1003
408.0	1025
408.2	1044
408.4	1066
408.6	1089
408.8	1107
409.0	1128
409.2	1150
409.4	1172
409.6	1194
409.8	1217
410.0	1237
410.2	1260
410.4	1284
410.6	1309
410.8	1331
411.0	1354
411.2	1375
411.4	1401
411.6	1427
411.8	1454
412.0	1477
412.2	1498
412.4	1521
412.6	1546
412.8	1566
413.0	1589
413.2	1613
413.4	1637
413.6	1664
413.8	1693
414.0	1716
414.2	1746
414.4	1770
414.6	1800
414.8	1830
415.0	1858
415.2	1882
415.4	1909
415.6	1925
415.8	1949
416.0	1978
416.2	2008
416.4	2035
416.6	2063
416.8	2081
417.0	2106
417.2	2131
417.4	2158
417.6	2187
417.8	2215
418.0	2239
418.2	2272
418.4	2296
418.6	2324
418.8	2350
419.0	2376
419.2	2399
419.4	2427
419.6	2452
419.8	2484
420.0	2513
420.2	2542
420.4	2571
420.6	2596
420.8	2621
421.0	2644
421.2	2668
421.4	2689
421.6	2714
421.8	2742
422.0	2770
422.2	2796
422.4	2820
422.6	2841
422.8	2862
423.0	2885
423.2	2907
423.4	2934
423.6	2962
423.8	2989
424.0	3019
424.2	3046
424.4	3070
424.6	3096
424.8	3114
425.0	3136
425.2	3164
425.4	3192
425.6	3218
425.8	3242
426.0	3260
426.2	3277
426.4	3303
426.6	3331
426.8	3356
427.0	3381
427.2	3408
427.4	3425
427.6	3446
427.8	3470
428.0	3492
428.2	3512
428.4	3536
428.6	3556
428.8	3567
429.0	3590
429.2	3617
429.4	3641
429.6	3669
429.8	3697
430.0	3718
430.2	3738
430.4	3764
430.6	3791
430.8	3805
431.0	3824
431.2	3844
431.4	3862
431.6	3882
431.8	3905
432.0	3916
432.2	3933
432.4	3950
432.6	3967
432.8	3979
433.0	3995
433.2	4019
433.4	4043
433.6	4062
433.8	4078
434.0	4093
434.2	4108
434.4	4122
434.6	4132
434.8	4143
435.0	4163
435.2	4190
435.4	4220
435.6	4240
435.8	4251
436.0	4262
436.2	4273
436.4	4278
436.6	4295
436.8	4306
437.0	4317
437.2	4337
437.4	4359
437.6	4376
437.8	4387
438.0	4396
438.2	4404
438.4	4421
438.6	4434
438.8	4442
439.0	4445
439.2	4464
439.4	4480
439.6	4499
439.8	4519
440.0	4522
440.2	4534
440.4	4549
440.6	4557
440.8	4566
441.0	4579
441.2	4582
441.4	4593
441.6	4595
441.8	4605
442.0	4616
442.2	4625
442.4	4636
442.6	4645
442.8	4643
443.0	4656
443.2	4677
443.4	4691
