Sample:	'20211010A(EM)
File name:	B-CDs 9 900 1.FDS
Run date:	'15:34:15, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	380 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	453.6	680.0	2239	680.0	5.889

Data points
nm	Data
370.0	3.037
370.2	3.322
370.4	3.400
370.6	3.365
370.8	3.407
371.0	3.335
371.2	3.354
371.4	3.449
371.6	3.419
371.8	3.505
372.0	3.680
372.2	3.718
372.4	3.760
372.6	3.726
372.8	3.693
373.0	3.744
373.2	3.884
373.4	3.955
373.6	4.148
373.8	4.257
374.0	4.446
374.2	4.577
374.4	4.716
374.6	4.733
374.8	4.830
375.0	4.858
375.2	4.955
375.4	5.087
375.6	5.203
375.8	5.226
376.0	5.251
376.2	5.407
376.4	5.662
376.6	5.895
376.8	6.035
377.0	6.007
377.2	6.076
377.4	6.241
377.6	6.413
377.8	6.615
378.0	6.764
378.2	6.905
378.4	7.153
378.6	7.377
378.8	7.597
379.0	7.906
379.2	8.054
379.4	8.164
379.6	8.394
379.8	8.680
380.0	8.985
380.2	9.252
380.4	9.404
380.6	9.621
380.8	9.894
381.0	10.23
381.2	10.65
381.4	10.95
381.6	11.31
381.8	11.73
382.0	11.97
382.2	12.19
382.4	12.39
382.6	12.69
382.8	13.26
383.0	13.80
383.2	14.32
383.4	14.89
383.6	15.36
383.8	16.08
384.0	16.60
384.2	16.94
384.4	17.37
384.6	17.90
384.8	18.72
385.0	19.68
385.2	20.25
385.4	20.98
385.6	21.45
385.8	21.96
386.0	22.78
386.2	23.45
386.4	24.22
386.6	24.91
386.8	25.77
387.0	26.83
387.2	28.00
387.4	28.98
387.6	29.85
387.8	30.65
388.0	32.00
388.2	33.07
388.4	34.00
388.6	35.03
388.8	35.84
389.0	37.06
389.2	38.72
389.4	40.04
389.6	41.29
389.8	42.76
390.0	44.30
390.2	46.12
390.4	47.76
390.6	49.34
390.8	50.82
391.0	52.20
391.2	54.15
391.4	55.73
391.6	57.38
391.8	59.55
392.0	61.36
392.2	63.17
392.4	65.69
392.6	67.49
392.8	70.00
393.0	72.41
393.2	74.77
393.4	76.93
393.6	79.51
393.8	81.58
394.0	84.46
394.2	87.00
394.4	89.56
394.6	92.08
394.8	94.78
395.0	97.35
395.2	100.9
395.4	104.7
395.6	108.3
395.8	112.0
396.0	115.7
396.2	118.5
396.4	121.2
396.6	125.1
396.8	128.4
397.0	132.3
397.2	136.5
397.4	140.6
397.6	144.9
397.8	149.4
398.0	152.6
398.2	156.9
398.4	161.6
398.6	166.9
398.8	172.3
399.0	177.2
399.2	181.4
399.4	186.7
399.6	192.4
399.8	197.8
400.0	203.1
400.2	209.3
400.4	214.9
400.6	221.7
400.8	228.3
401.0	234.5
401.2	240.8
401.4	247.1
401.6	252.4
401.8	258.6
402.0	264.9
402.2	272.2
402.4	280.2
402.6	286.9
402.8	293.6
403.0	299.5
403.2	305.4
403.4	312.7
403.6	320.7
403.8	327.6
404.0	335.8
404.2	344.0
404.4	351.8
404.6	359.7
404.8	367.7
405.0	375.3
405.2	384.6
405.4	394.3
405.6	402.8
405.8	411.6
406.0	420.0
406.2	428.9
406.4	439.1
406.6	449.7
406.8	459.2
407.0	469.4
407.2	477.6
407.4	485.0
407.6	492.6
407.8	502.2
408.0	511.4
408.2	522.0
408.4	532.7
408.6	543.3
408.8	554.0
409.0	564.8
409.2	575.0
409.4	585.4
409.6	595.7
409.8	607.4
410.0	619.8
410.2	630.2
410.4	640.9
410.6	651.8
410.8	661.8
411.0	673.5
411.2	685.2
411.4	696.5
411.6	707.6
411.8	720.5
412.0	732.5
412.2	744.3
412.4	754.9
412.6	765.5
412.8	775.7
413.0	787.9
413.2	799.8
413.4	811.6
413.6	823.2
413.8	833.9
414.0	846.4
414.2	860.2
414.4	871.9
414.6	884.0
414.8	896.0
415.0	906.5
415.2	918.8
415.4	932.0
415.6	943.6
415.8	957.4
416.0	970.6
416.2	982.2
416.4	994.4
416.6	1006
416.8	1017
417.0	1031
417.2	1044
417.4	1056
417.6	1068
417.8	1079
418.0	1088
418.2	1099
418.4	1111
418.6	1124
418.8	1139
419.0	1153
419.2	1166
419.4	1179
419.6	1189
419.8	1202
420.0	1214
420.2	1227
420.4	1241
420.6	1252
420.8	1262
421.0	1273
421.2	1284
421.4	1297
421.6	1310
421.8	1322
422.0	1334
422.2	1346
422.4	1356
422.6	1368
422.8	1376
423.0	1387
423.2	1398
423.4	1411
423.6	1423
423.8	1435
424.0	1445
424.2	1455
424.4	1465
424.6	1478
424.8	1488
425.0	1498
425.2	1509
425.4	1521
425.6	1532
425.8	1547
426.0	1556
426.2	1566
426.4	1575
426.6	1585
426.8	1596
427.0	1607
427.2	1617
427.4	1627
427.6	1637
427.8	1646
428.0	1659
428.2	1668
428.4	1678
428.6	1688
428.8	1698
429.0	1707
429.2	1716
429.4	1724
429.6	1731
429.8	1741
430.0	1750
430.2	1763
430.4	1773
430.6	1782
430.8	1792
431.0	1801
431.2	1809
431.4	1816
431.6	1823
431.8	1831
432.0	1840
432.2	1851
432.4	1861
432.6	1867
432.8	1873
433.0	1879
433.2	1886
433.4	1896
433.6	1905
433.8	1912
434.0	1919
434.2	1926
434.4	1935
434.6	1944
434.8	1953
435.0	1959
435.2	1965
435.4	1970
435.6	1977
435.8	1986
436.0	1993
436.2	1997
436.4	2001
436.6	2005
436.8	2012
437.0	2019
437.2	2025
437.4	2031
437.6	2038
437.8	2044
438.0	2049
438.2	2050
438.4	2054
438.6	2059
438.8	2066
439.0	2074
439.2	2080
439.4	2084
439.6	2088
439.8	2094
440.0	2100
440.2	2105
440.4	2112
440.6	2116
440.8	2118
441.0	2123
441.2	2128
441.4	2133
441.6	2138
441.8	2141
442.0	2142
442.2	2145
442.4	2151
442.6	2155
442.8	2158
443.0	2161
443.2	2160
443.4	2162
443.6	2166
443.8	2173
444.0	2177
444.2	2181
444.4	2185
444.6	2190
444.8	2194
445.0	2196
445.2	2194
445.4	2198
445.6	2202
445.8	2205
446.0	2206
446.2	2205
446.4	2203
446.6	2206
446.8	2211
447.0	2213
447.2	2215
447.4	2215
447.6	2216
447.8	2218
448.0	2221
448.2	2221
448.4	2223
448.6	2224
448.8	2226
449.0	2228
449.2	2231
449.4	2229
449.6	2230
449.8	2230
450.0	2228
450.2	2228
450.4	2228
450.6	2227
450.8	2231
451.0	2232
451.2	2234
451.4	2237
451.6	2237
451.8	2237
452.0	2236
452.2	2234
452.4	2234
452.6	2235
452.8	2238
453.0	2238
453.2	2236
453.4	2237
453.6	2239
453.8	2238
454.0	2238
454.2	2236
454.4	2235
454.6	2234
454.8	2234
455.0	2233
455.2	2232
455.4	2232
455.6	2234
455.8	2234
456.0	2235
456.2	2233
456.4	2229
456.6	2228
456.8	2230
457.0	2232
457.2	2231
457.4	2227
457.6	2224
457.8	2223
458.0	2223
458.2	2222
458.4	2218
458.6	2217
458.8	2215
459.0	2215
459.2	2214
459.4	2212
459.6	2211
459.8	2211
460.0	2207
460.2	2204
460.4	2202
460.6	2204
460.8	2204
461.0	2203
461.2	2199
461.4	2193
461.6	2187
461.8	2186
462.0	2179
462.2	2176
462.4	2175
462.6	2177
462.8	2177
463.0	2177
463.2	2173
463.4	2168
463.6	2164
463.8	2165
464.0	2165
464.2	2163
464.4	2161
464.6	2157
464.8	2151
465.0	2151
465.2	2149
465.4	2147
465.6	2143
465.8	2137
466.0	2131
466.2	2129
466.4	2124
466.6	2122
466.8	2118
467.0	2115
467.2	2112
467.4	2113
467.6	2110
467.8	2105
468.0	2099
468.2	2092
468.4	2083
468.6	2081
468.8	2077
469.0	2075
469.2	2074
469.4	2071
469.6	2067
469.8	2064
470.0	2059
470.2	2054
470.4	2050
470.6	2043
470.8	2039
471.0	2038
471.2	2035
471.4	2032
471.6	2027
471.8	2020
472.0	2016
472.2	2017
472.4	2014
472.6	2010
472.8	2002
473.0	1995
473.2	1991
473.4	1987
473.6	1983
473.8	1978
474.0	1973
474.2	1970
474.4	1968
474.6	1962
474.8	1955
475.0	1948
475.2	1942
475.4	1939
475.6	1937
475.8	1933
476.0	1929
476.2	1923
476.4	1918
476.6	1914
476.8	1909
477.0	1905
477.2	1900
477.4	1896
477.6	1893
477.8	1888
478.0	1883
478.2	1878
478.4	1873
478.6	1869
478.8	1866
479.0	1860
479.2	1856
479.4	1853
479.6	1849
479.8	1845
480.0	1841
480.2	1835
480.4	1829
480.6	1822
480.8	1816
481.0	1812
481.2	1807
481.4	1803
481.6	1800
481.8	1795
482.0	1789
482.2	1785
482.4	1780
482.6	1776
482.8	1772
483.0	1763
483.2	1757
483.4	1750
483.6	1746
483.8	1742
484.0	1740
484.2	1733
484.4	1732
484.6	1728
484.8	1723
485.0	1718
485.2	1712
485.4	1707
485.6	1702
485.8	1697
486.0	1690
486.2	1685
486.4	1683
486.6	1682
486.8	1678
487.0	1673
487.2	1665
487.4	1657
487.6	1653
487.8	1647
488.0	1643
488.2	1640
488.4	1633
488.6	1626
488.8	1621
489.0	1614
489.2	1609
489.4	1606
489.6	1601
489.8	1596
490.0	1592
490.2	1588
490.4	1585
490.6	1580
490.8	1574
491.0	1567
491.2	1562
491.4	1558
491.6	1553
491.8	1546
492.0	1540
492.2	1534
492.4	1528
492.6	1523
492.8	1519
493.0	1514
493.2	1509
493.4	1504
493.6	1497
493.8	1491
494.0	1486
494.2	1480
494.4	1476
494.6	1472
494.8	1466
495.0	1459
495.2	1453
495.4	1446
495.6	1441
495.8	1437
496.0	1432
496.2	1427
496.4	1421
496.6	1416
496.8	1411
497.0	1405
497.2	1399
497.4	1392
497.6	1385
497.8	1378
498.0	1374
498.2	1369
498.4	1363
498.6	1356
498.8	1349
499.0	1344
499.2	1341
499.4	1338
499.6	1333
499.8	1326
500.0	1318
500.2	1316
500.4	1314
500.6	1308
500.8	1301
501.0	1292
501.2	1284
501.4	1279
501.6	1273
501.8	1267
502.0	1260
502.2	1254
502.4	1249
502.6	1246
502.8	1242
503.0	1239
503.2	1234
503.4	1229
503.6	1223
503.8	1219
504.0	1213
504.2	1207
504.4	1200
504.6	1191
504.8	1185
505.0	1181
505.2	1176
505.4	1173
505.6	1167
505.8	1157
506.0	1152
506.2	1146
506.4	1143
506.6	1141
506.8	1135
507.0	1129
507.2	1125
507.4	1119
507.6	1116
507.8	1112
508.0	1106
508.2	1102
508.4	1097
508.6	1090
508.8	1082
509.0	1078
509.2	1073
509.4	1069
509.6	1062
509.8	1057
510.0	1050
510.2	1045
510.4	1040
510.6	1035
510.8	1029
511.0	1024
511.2	1020
511.4	1015
511.6	1011
511.8	1006
512.0	1000
512.2	993.5
512.4	988.4
