Sample:	'20211010A(EM)
File name:	B-CDs 10.FDS
Run date:	'16:28:46, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	420 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	467.0	468.2	1235	468.2	1227
2	468.2	469.0	680.0	1233	680.0	6.529

Data points
nm	Data
370.0	1.515
370.2	1.705
370.4	1.681
370.6	1.555
370.8	1.498
371.0	1.464
371.2	1.667
371.4	1.770
371.6	1.773
371.8	1.781
372.0	1.714
372.2	1.665
372.4	1.722
372.6	1.753
372.8	1.751
373.0	1.736
373.2	1.635
373.4	1.578
373.6	1.501
373.8	1.518
374.0	1.577
374.2	1.707
374.4	1.747
374.6	1.803
374.8	1.839
375.0	1.812
375.2	1.760
375.4	1.835
375.6	1.802
375.8	1.861
376.0	1.884
376.2	1.864
376.4	1.861
376.6	1.829
376.8	1.772
377.0	1.804
377.2	1.806
377.4	1.805
377.6	1.916
377.8	1.980
378.0	1.936
378.2	2.014
378.4	1.998
378.6	1.894
378.8	1.881
379.0	1.957
379.2	1.904
379.4	1.993
379.6	2.111
379.8	2.076
380.0	2.146
380.2	2.105
380.4	2.044
380.6	1.997
380.8	2.058
381.0	2.030
381.2	2.168
381.4	2.132
381.6	2.260
381.8	2.356
382.0	2.327
382.2	2.220
382.4	2.172
382.6	2.169
382.8	2.257
383.0	2.442
383.2	2.412
383.4	2.357
383.6	2.389
383.8	2.450
384.0	2.500
384.2	2.547
384.4	2.509
384.6	2.530
384.8	2.617
385.0	2.650
385.2	2.733
385.4	2.684
385.6	2.719
385.8	2.769
386.0	2.810
386.2	2.900
386.4	3.029
386.6	2.968
386.8	3.089
387.0	3.233
387.2	3.295
387.4	3.371
387.6	3.375
387.8	3.189
388.0	3.369
388.2	3.675
388.4	3.848
388.6	3.903
388.8	3.900
389.0	3.812
389.2	3.903
389.4	4.099
389.6	4.228
389.8	4.296
390.0	4.407
390.2	4.413
390.4	4.405
390.6	4.586
390.8	4.842
391.0	4.948
391.2	5.140
391.4	5.142
391.6	5.097
391.8	5.300
392.0	5.526
392.2	5.560
392.4	5.706
392.6	5.930
392.8	6.201
393.0	6.546
393.2	6.777
393.4	7.137
393.6	7.336
393.8	7.570
394.0	7.855
394.2	7.859
394.4	8.044
394.6	8.519
394.8	8.783
395.0	9.010
395.2	9.362
395.4	9.744
395.6	10.02
395.8	10.43
396.0	10.72
396.2	10.89
396.4	11.06
396.6	11.47
396.8	11.75
397.0	12.41
397.2	12.87
397.4	13.34
397.6	13.79
397.8	14.11
398.0	14.67
398.2	15.44
398.4	15.87
398.6	16.49
398.8	17.21
399.0	17.81
399.2	18.40
399.4	19.51
399.6	20.43
399.8	21.37
400.0	22.24
400.2	22.92
400.4	23.35
400.6	24.24
400.8	25.09
401.0	26.25
401.2	27.23
401.4	28.08
401.6	29.22
401.8	29.97
402.0	30.94
402.2	32.34
402.4	33.39
402.6	34.40
402.8	35.40
403.0	36.14
403.2	37.52
403.4	39.47
403.6	41.42
403.8	43.34
404.0	44.93
404.2	46.05
404.4	47.77
404.6	49.38
404.8	50.45
405.0	52.25
405.2	54.31
405.4	56.55
405.6	58.94
405.8	61.26
406.0	62.62
406.2	64.67
406.4	66.52
406.6	68.98
406.8	70.65
407.0	73.20
407.2	76.09
407.4	78.91
407.6	81.50
407.8	83.98
408.0	86.17
408.2	88.56
408.4	91.42
408.6	93.81
408.8	96.15
409.0	98.84
409.2	102.6
409.4	106.6
409.6	110.8
409.8	114.5
410.0	117.4
410.2	119.9
410.4	123.5
410.6	128.0
410.8	132.4
411.0	136.0
411.2	139.3
411.4	142.5
411.6	146.2
411.8	150.8
412.0	154.9
412.2	158.9
412.4	162.8
412.6	167.4
412.8	171.5
413.0	176.0
413.2	180.0
413.4	184.5
413.6	187.6
413.8	191.8
414.0	195.4
414.2	200.1
414.4	205.7
414.6	211.9
414.8	217.1
415.0	222.8
415.2	227.2
415.4	232.4
415.6	237.8
415.8	243.4
416.0	248.9
416.2	254.8
416.4	260.8
416.6	266.1
416.8	271.0
417.0	276.6
417.2	280.7
417.4	284.9
417.6	290.4
417.8	297.0
418.0	304.2
418.2	312.0
418.4	317.7
418.6	323.0
418.8	328.0
419.0	334.6
419.2	341.6
419.4	348.4
419.6	355.4
419.8	361.6
420.0	367.4
420.2	374.1
420.4	380.1
420.6	386.4
420.8	393.5
421.0	400.2
421.2	407.0
421.4	413.5
421.6	419.0
421.8	423.7
422.0	428.9
422.2	435.6
422.4	443.2
422.6	451.7
422.8	460.9
423.0	466.6
423.2	470.2
423.4	476.2
423.6	482.5
423.8	489.7
424.0	498.5
424.2	504.1
424.4	509.5
424.6	517.3
424.8	524.1
425.0	530.0
425.2	537.1
425.4	541.4
425.6	548.9
425.8	556.3
426.0	564.8
426.2	571.3
426.4	578.2
426.6	584.3
426.8	590.9
427.0	595.7
427.2	603.8
427.4	610.8
427.6	617.7
427.8	624.8
428.0	629.6
428.2	634.1
428.4	640.6
428.6	646.5
428.8	652.7
429.0	660.0
429.2	666.2
429.4	673.6
429.6	680.0
429.8	686.8
430.0	693.3
430.2	698.9
430.4	704.9
430.6	710.6
430.8	714.3
431.0	719.8
431.2	727.6
431.4	735.7
431.6	744.9
431.8	751.9
432.0	757.6
432.2	761.4
432.4	766.4
432.6	771.0
432.8	774.9
433.0	778.9
433.2	786.5
433.4	793.9
433.6	801.8
433.8	806.6
434.0	809.6
434.2	811.6
434.4	816.5
434.6	822.4
434.8	829.4
435.0	834.0
435.2	838.3
435.4	844.8
435.6	851.1
435.8	858.1
436.0	862.0
436.2	866.9
436.4	872.1
436.6	878.4
436.8	882.1
437.0	885.5
437.2	887.7
437.4	891.8
437.6	899.6
437.8	903.8
438.0	908.1
438.2	912.3
438.4	915.8
438.6	919.6
438.8	926.5
439.0	930.9
439.2	935.4
439.4	938.7
439.6	941.6
439.8	947.6
440.0	952.4
440.2	957.0
440.4	961.2
440.6	963.4
440.8	966.8
441.0	972.3
441.2	974.9
441.4	976.7
441.6	981.6
441.8	984.2
442.0	989.0
442.2	993.4
442.4	996.8
442.6	998.3
442.8	1002
443.0	1005
443.2	1007
443.4	1010
443.6	1013
443.8	1016
444.0	1021
444.2	1027
444.4	1031
444.6	1034
444.8	1036
445.0	1039
445.2	1041
445.4	1044
445.6	1047
445.8	1050
446.0	1053
446.2	1057
446.4	1058
446.6	1062
446.8	1063
447.0	1065
447.2	1067
447.4	1071
447.6	1074
447.8	1079
448.0	1081
448.2	1084
448.4	1087
448.6	1090
448.8	1092
449.0	1096
449.2	1098
449.4	1100
449.6	1101
449.8	1101
450.0	1106
450.2	1109
450.4	1115
450.6	1117
450.8	1119
451.0	1120
451.2	1124
451.4	1127
451.6	1129
451.8	1130
452.0	1133
452.2	1134
452.4	1135
452.6	1135
452.8	1133
453.0	1136
453.2	1142
453.4	1146
453.6	1151
453.8	1152
454.0	1151
454.2	1152
454.4	1154
454.6	1158
454.8	1163
455.0	1165
455.2	1167
455.4	1167
455.6	1166
455.8	1171
456.0	1171
456.2	1173
456.4	1177
456.6	1177
456.8	1179
457.0	1180
457.2	1183
457.4	1187
457.6	1190
457.8	1190
458.0	1188
458.2	1189
458.4	1191
458.6	1196
458.8	1199
459.0	1200
459.2	1197
459.4	1196
459.6	1197
459.8	1199
460.0	1202
460.2	1204
460.4	1202
460.6	1207
460.8	1211
461.0	1215
461.2	1218
461.4	1218
461.6	1217
461.8	1218
462.0	1218
462.2	1220
462.4	1220
462.6	1220
462.8	1221
463.0	1221
463.2	1222
463.4	1223
463.6	1222
463.8	1223
464.0	1223
464.2	1223
464.4	1225
464.6	1224
464.8	1225
465.0	1225
465.2	1226
465.4	1225
465.6	1226
465.8	1227
466.0	1228
466.2	1227
466.4	1229
466.6	1229
466.8	1233
467.0	1235
467.2	1235
467.4	1233
467.6	1231
467.8	1230
468.0	1229
468.2	1227
468.4	1228
468.6	1228
468.8	1231
469.0	1233
469.2	1232
469.4	1229
469.6	1229
469.8	1229
470.0	1230
470.2	1231
470.4	1227
470.6	1226
470.8	1229
471.0	1229
471.2	1228
471.4	1229
471.6	1227
471.8	1226
472.0	1229
472.2	1227
472.4	1227
472.6	1225
472.8	1224
473.0	1222
473.2	1222
473.4	1221
473.6	1221
473.8	1220
474.0	1219
474.2	1216
474.4	1216
474.6	1216
474.8	1217
475.0	1217
475.2	1217
475.4	1213
