Sample:	'20211010A(EM)
File name:	B-CDS 1000uM.FDS
Run date:	'10:21:42, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	466.6	680.0	8325	680.0	41.45

Data points
nm	Data
370.0	8.811
370.2	8.547
370.4	8.446
370.6	8.494
370.8	8.698
371.0	9.026
371.2	9.507
371.4	9.510
371.6	9.127
371.8	9.191
372.0	9.173
372.2	9.438
372.4	9.502
372.6	9.295
372.8	9.386
373.0	9.743
373.2	9.904
373.4	9.810
373.6	9.605
373.8	9.500
374.0	9.564
374.2	9.822
374.4	10.03
374.6	9.856
374.8	9.959
375.0	10.25
375.2	10.32
375.4	10.30
375.6	10.55
375.8	10.62
376.0	10.82
376.2	10.89
376.4	10.74
376.6	10.50
376.8	10.71
377.0	11.12
377.2	11.46
377.4	11.31
377.6	11.21
377.8	11.23
378.0	11.30
378.2	11.59
378.4	12.11
378.6	12.10
378.8	12.33
379.0	12.53
379.2	12.54
379.4	12.52
379.6	12.71
379.8	12.77
380.0	13.00
380.2	13.28
380.4	13.40
380.6	13.21
380.8	13.04
381.0	13.30
381.2	13.53
381.4	13.88
381.6	14.04
381.8	14.24
382.0	14.60
382.2	14.94
382.4	15.02
382.6	15.36
382.8	15.83
383.0	16.15
383.2	16.42
383.4	16.29
383.6	16.12
383.8	16.13
384.0	16.89
384.2	17.24
384.4	18.15
384.6	18.55
384.8	18.93
385.0	19.24
385.2	19.47
385.4	19.67
385.6	20.61
385.8	20.83
386.0	21.45
386.2	22.59
386.4	22.79
386.6	23.37
386.8	24.00
387.0	24.33
387.2	25.00
387.4	25.95
387.6	26.74
387.8	27.66
388.0	28.49
388.2	29.25
388.4	29.52
388.6	29.66
388.8	30.41
389.0	31.53
389.2	33.08
389.4	34.64
389.6	35.73
389.8	36.32
390.0	37.36
390.2	38.61
390.4	40.39
390.6	41.82
390.8	42.69
391.0	43.49
391.2	44.34
391.4	45.85
391.6	47.67
391.8	49.35
392.0	51.13
392.2	53.52
392.4	55.69
392.6	58.10
392.8	59.95
393.0	61.75
393.2	63.56
393.4	64.67
393.6	67.49
393.8	70.50
394.0	73.72
394.2	76.86
394.4	79.63
394.6	81.35
394.8	84.64
395.0	87.27
395.2	90.74
395.4	93.95
395.6	97.62
395.8	100.6
396.0	103.9
396.2	107.2
396.4	111.4
396.6	115.7
396.8	120.1
397.0	124.5
397.2	129.5
397.4	133.5
397.6	138.6
397.8	143.5
398.0	148.5
398.2	154.5
398.4	159.6
398.6	164.3
398.8	170.8
399.0	177.2
399.2	184.4
399.4	193.0
399.6	200.1
399.8	207.0
400.0	214.3
400.2	221.1
400.4	229.1
400.6	238.6
400.8	247.3
401.0	256.4
401.2	266.5
401.4	275.7
401.6	285.0
401.8	295.2
402.0	303.9
402.2	313.8
402.4	324.2
402.6	335.0
402.8	346.5
