Sample:	'20211010A(EM)
File name:	B-CDS 7 700uM.FDS
Run date:	'09:42:15, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	480 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	454.6	455.4	7839	455.4	7824
2	455.4	457.4	670.2	7855	670.2	35.12
3	670.2	670.8	680.0	36.40	680.0	26.42

Data points
nm	Data
370.0	10.39
370.2	10.98
370.4	10.99
370.6	10.70
370.8	10.50
371.0	10.52
371.2	10.87
371.4	11.61
371.6	12.04
371.8	12.09
372.0	12.01
372.2	12.02
372.4	12.06
372.6	12.13
372.8	12.56
373.0	12.76
373.2	13.07
373.4	13.86
373.6	14.26
373.8	14.08
374.0	14.30
374.2	14.35
374.4	14.19
374.6	14.43
374.8	15.03
375.0	15.19
375.2	15.88
375.4	16.40
375.6	16.58
375.8	16.73
376.0	17.44
376.2	17.65
376.4	18.52
376.6	18.65
376.8	18.91
377.0	18.90
377.2	19.32
377.4	20.18
377.6	20.62
377.8	20.53
378.0	20.80
378.2	21.03
378.4	21.87
378.6	23.25
378.8	23.58
379.0	23.91
379.2	24.20
379.4	24.64
379.6	25.23
379.8	25.82
380.0	26.43
380.2	26.82
380.4	27.81
380.6	28.95
380.8	30.10
381.0	30.98
381.2	32.00
381.4	32.93
381.6	33.98
381.8	35.27
382.0	36.45
382.2	37.14
382.4	37.23
382.6	38.22
382.8	39.30
383.0	41.51
383.2	43.88
383.4	46.30
383.6	47.40
383.8	48.24
384.0	48.98
384.2	50.19
384.4	51.98
384.6	54.81
384.8	56.93
385.0	59.31
385.2	60.65
385.4	62.58
385.6	64.44
385.8	67.67
386.0	69.30
386.2	72.26
386.4	75.15
386.6	77.60
386.8	79.49
387.0	82.95
387.2	84.96
387.4	87.83
387.6	91.52
387.8	94.07
388.0	95.95
388.2	99.85
388.4	103.8
388.6	108.5
388.8	112.5
389.0	116.7
389.2	120.1
389.4	123.1
389.6	127.4
389.8	132.6
390.0	136.8
390.2	142.6
390.4	148.1
390.6	152.5
390.8	157.8
391.0	163.0
391.2	167.3
391.4	173.0
391.6	179.3
391.8	186.7
392.0	192.9
392.2	200.3
392.4	206.7
392.6	213.8
392.8	220.7
393.0	227.9
393.2	233.6
393.4	242.2
393.6	250.6
393.8	259.7
394.0	268.9
394.2	279.2
394.4	288.1
394.6	296.0
394.8	305.2
395.0	313.5
395.2	323.9
395.4	336.9
395.6	350.5
395.8	361.1
396.0	372.9
396.2	383.1
396.4	394.8
396.6	407.6
396.8	418.8
397.0	433.0
397.2	445.6
397.4	460.6
397.6	476.3
397.8	490.0
398.0	499.9
398.2	515.5
398.4	528.4
398.6	545.2
398.8	561.3
399.0	577.3
399.2	593.0
399.4	610.9
399.6	629.7
399.8	649.6
400.0	669.0
400.2	690.6
400.4	712.4
400.6	735.4
400.8	756.8
401.0	775.1
401.2	790.1
401.4	808.5
401.6	828.2
401.8	852.2
402.0	874.7
402.2	900.7
402.4	928.9
402.6	952.4
402.8	973.9
403.0	995.4
403.2	1014
403.4	1041
403.6	1069
403.8	1094
404.0	1121
404.2	1151
404.4	1176
404.6	1203
