Sample:	'20211010A(EM)
File name:	B-CDS 8 1 800.FDS
Run date:	'10:05:03, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	350 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	444.8	680.0	6764	680.0	8.196

Data points
nm	Data
370.0	13.28
370.2	13.40
370.4	13.71
370.6	14.14
370.8	14.52
371.0	15.01
371.2	15.25
371.4	15.43
371.6	15.85
371.8	16.37
372.0	16.73
372.2	17.35
372.4	17.61
372.6	17.91
372.8	18.50
373.0	18.99
373.2	19.40
373.4	20.06
373.6	20.57
373.8	21.08
374.0	21.66
374.2	22.19
374.4	22.72
374.6	23.27
374.8	23.77
375.0	24.38
375.2	25.21
375.4	26.00
375.6	26.79
375.8	27.55
376.0	28.28
376.2	29.05
376.4	29.90
376.6	30.72
376.8	31.86
377.0	32.86
377.2	33.79
377.4	34.51
377.6	35.24
377.8	36.34
378.0	37.71
378.2	39.29
378.4	40.53
378.6	41.69
378.8	42.84
379.0	44.10
379.2	45.24
379.4	46.95
379.6	48.61
379.8	50.58
380.0	52.48
380.2	54.03
380.4	55.24
380.6	56.46
380.8	58.21
381.0	60.44
381.2	62.64
381.4	65.03
381.6	67.30
381.8	69.14
382.0	71.36
382.2	73.51
382.4	75.68
382.6	78.17
382.8	80.95
383.0	83.69
383.2	86.77
383.4	89.43
383.6	92.29
383.8	95.32
384.0	98.49
384.2	102.0
384.4	105.8
384.6	109.5
384.8	113.4
385.0	117.4
385.2	121.4
385.4	125.2
385.6	129.0
385.8	133.6
386.0	138.3
386.2	143.0
386.4	148.3
386.6	153.1
386.8	157.9
387.0	163.3
387.2	168.8
387.4	173.9
387.6	179.4
387.8	185.4
388.0	191.4
388.2	197.5
388.4	204.3
388.6	210.4
388.8	216.8
389.0	224.0
389.2	231.5
389.4	239.8
389.6	248.3
389.8	256.8
390.0	265.1
390.2	273.8
390.4	282.7
390.6	291.3
390.8	299.9
391.0	309.6
391.2	320.0
391.4	330.4
391.6	341.2
391.8	350.9
392.0	360.6
392.2	371.4
392.4	382.3
392.6	393.0
392.8	405.2
393.0	417.8
393.2	430.7
393.4	443.1
393.6	455.2
393.8	468.0
394.0	481.7
394.2	496.2
394.4	511.6
394.6	526.1
394.8	541.0
395.0	556.8
395.2	572.5
395.4	589.2
395.6	606.7
395.8	624.0
396.0	641.6
396.2	659.5
396.4	676.3
396.6	694.2
396.8	711.1
397.0	730.3
397.2	750.4
397.4	771.6
397.6	792.8
397.8	813.9
398.0	834.0
398.2	855.3
398.4	875.1
398.6	896.3
398.8	917.7
399.0	940.9
399.2	964.3
399.4	988.7
399.6	1012
399.8	1036
400.0	1061
400.2	1088
400.4	1115
400.6	1142
400.8	1168
401.0	1195
401.2	1223
401.4	1252
401.6	1281
401.8	1309
402.0	1338
402.2	1368
402.4	1397
402.6	1426
402.8	1454
403.0	1482
403.2	1513
403.4	1544
403.6	1574
403.8	1604
404.0	1635
404.2	1666
404.4	1699
404.6	1731
404.8	1762
405.0	1797
405.2	1832
405.4	1868
405.6	1903
405.8	1937
406.0	1970
406.2	2005
406.4	2039
406.6	2075
406.8	2112
407.0	2149
407.2	2188
407.4	2226
407.6	2259
407.8	2292
408.0	2326
408.2	2361
408.4	2399
408.6	2436
408.8	2472
409.0	2511
409.2	2551
409.4	2590
409.6	2627
409.8	2665
410.0	2699
410.2	2739
410.4	2779
410.6	2819
