Sample:	'20211010A(EM)
File name:	B-CDS 8 1.FDS
Run date:	'09:59:39, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	400 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	455.2	456.2	3154	456.2	3142
2	456.2	458.4	680.0	3160	680.0	8.713

Data points
nm	Data
370.0	2.956
370.2	2.983
370.4	3.035
370.6	3.095
370.8	3.131
371.0	3.132
371.2	3.195
371.4	3.207
371.6	3.156
371.8	3.237
372.0	3.224
372.2	3.213
372.4	3.260
372.6	3.260
372.8	3.333
373.0	3.440
373.2	3.427
373.4	3.400
373.6	3.424
373.8	3.427
374.0	3.525
374.2	3.634
374.4	3.620
374.6	3.532
374.8	3.591
375.0	3.619
375.2	3.619
375.4	3.681
375.6	3.793
375.8	3.824
376.0	4.036
376.2	4.084
376.4	4.110
376.6	4.099
376.8	4.059
377.0	3.913
377.2	4.020
377.4	4.005
377.6	4.161
377.8	4.386
378.0	4.513
378.2	4.609
378.4	4.735
378.6	4.817
378.8	4.806
379.0	4.874
379.2	4.894
379.4	4.955
379.6	5.058
379.8	5.218
380.0	5.133
380.2	5.166
380.4	5.248
380.6	5.334
380.8	5.544
381.0	5.613
381.2	5.754
381.4	5.774
381.6	5.934
381.8	6.099
382.0	6.218
382.2	6.187
382.4	6.333
382.6	6.265
382.8	6.536
383.0	6.776
383.2	7.031
383.4	7.318
383.6	7.491
383.8	7.519
384.0	7.736
384.2	7.799
384.4	7.942
384.6	8.305
384.8	8.413
385.0	8.491
385.2	8.711
385.4	8.988
385.6	9.294
385.8	9.681
386.0	9.849
386.2	10.04
386.4	10.44
386.6	10.68
386.8	11.14
387.0	11.46
387.2	11.79
387.4	11.99
387.6	12.44
387.8	12.66
388.0	13.18
388.2	13.58
388.4	14.03
388.6	14.38
388.8	14.98
389.0	15.30
389.2	15.73
389.4	16.12
389.6	16.62
389.8	17.29
390.0	18.12
390.2	18.82
390.4	19.35
390.6	19.77
390.8	20.22
391.0	20.71
391.2	21.64
391.4	22.52
