Sample:	'20211010A(EM)
File name:	B-CDS 8.FDS
Run date:	'09:45:29, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	458.2	664.6	7822	664.6	31.94
2	664.6	665.4	680.0	33.25	680.0	19.75

Data points
nm	Data
370.0	7.390
370.2	7.602
370.4	7.674
370.6	7.713
370.8	7.962
371.0	8.217
371.2	8.161
371.4	8.051
371.6	7.594
371.8	7.585
372.0	7.951
372.2	8.159
372.4	8.009
372.6	8.225
372.8	8.002
373.0	8.329
373.2	8.633
373.4	8.905
373.6	8.763
373.8	8.610
374.0	8.504
374.2	8.796
374.4	9.017
374.6	9.335
374.8	9.109
375.0	9.035
375.2	9.202
375.4	9.528
375.6	9.684
375.8	9.703
376.0	9.423
376.2	9.522
376.4	9.517
376.6	9.698
376.8	9.940
377.0	10.23
377.2	10.49
377.4	10.69
377.6	10.62
377.8	10.61
378.0	10.85
378.2	10.99
378.4	11.51
378.6	11.85
378.8	12.30
379.0	12.41
379.2	12.42
379.4	12.15
379.6	12.06
379.8	12.12
380.0	12.46
380.2	12.86
380.4	13.48
380.6	13.81
380.8	13.96
381.0	14.28
381.2	14.77
381.4	15.10
381.6	15.46
381.8	15.70
382.0	15.65
382.2	16.02
382.4	16.85
382.6	17.28
382.8	17.46
383.0	17.55
383.2	17.41
383.4	17.98
383.6	19.24
383.8	20.11
384.0	20.56
384.2	20.65
384.4	20.51
384.6	20.97
384.8	22.05
385.0	22.87
385.2	23.80
385.4	24.28
385.6	24.26
385.8	24.82
386.0	25.49
386.2	26.24
386.4	27.08
386.6	28.05
386.8	28.76
387.0	29.62
387.2	30.48
387.4	30.91
387.6	31.83
387.8	33.10
388.0	33.97
388.2	34.58
388.4	35.59
388.6	36.50
388.8	38.11
389.0	39.41
389.2	40.63
389.4	42.18
389.6	43.85
389.8	45.70
390.0	46.77
390.2	47.61
390.4	48.76
390.6	50.72
390.8	52.40
391.0	54.91
391.2	56.12
391.4	57.82
391.6	59.16
391.8	60.98
392.0	63.13
392.2	65.66
392.4	68.33
392.6	71.09
392.8	73.23
393.0	75.59
393.2	79.04
393.4	81.80
393.6	84.66
393.8	87.23
394.0	89.37
394.2	91.97
394.4	95.41
394.6	99.03
394.8	102.1
395.0	105.4
395.2	108.7
395.4	113.6
395.6	118.7
395.8	124.4
396.0	129.0
396.2	132.5
396.4	136.7
396.6	141.4
396.8	146.3
397.0	151.7
397.2	157.1
397.4	163.0
397.6	169.0
397.8	175.2
398.0	181.0
398.2	186.4
398.4	192.6
398.6	199.5
398.8	207.8
399.0	216.2
399.2	223.3
399.4	231.1
399.6	238.1
399.8	245.9
400.0	254.5
400.2	263.8
400.4	272.9
400.6	283.5
400.8	293.6
401.0	305.1
401.2	314.7
401.4	324.1
401.6	334.4
401.8	345.3
402.0	356.3
402.2	368.8
402.4	381.7
402.6	392.1
402.8	404.8
403.0	418.7
403.2	432.2
403.4	448.3
403.6	465.4
403.8	480.6
404.0	494.6
404.2	509.0
404.4	523.5
404.6	539.6
404.8	554.9
405.0	573.1
405.2	589.5
405.4	609.5
405.6	630.5
405.8	649.6
406.0	668.2
406.2	688.8
406.4	707.9
406.6	729.1
406.8	750.5
407.0	772.2
407.2	794.0
407.4	818.0
407.6	840.5
407.8	862.5
408.0	885.0
408.2	907.9
408.4	928.3
408.6	956.0
408.8	983.8
409.0	1011
409.2	1039
409.4	1064
409.6	1088
409.8	1119
410.0	1150
410.2	1182
410.4	1213
410.6	1242
410.8	1271
411.0	1299
411.2	1329
411.4	1357
411.6	1388
411.8	1423
412.0	1459
412.2	1493
412.4	1527
412.6	1558
412.8	1590
413.0	1625
413.2	1664
413.4	1699
413.6	1734
413.8	1768
414.0	1798
414.2	1836
414.4	1877
414.6	1920
414.8	1962
415.0	2003
415.2	2037
415.4	2077
415.6	2116
415.8	2158
416.0	2197
416.2	2242
416.4	2281
416.6	2328
416.8	2371
417.0	2413
417.2	2455
417.4	2495
417.6	2529
417.8	2570
418.0	2610
418.2	2656
418.4	2702
418.6	2744
418.8	2785
419.0	2830
419.2	2875
419.4	2929
419.6	2972
419.8	3015
420.0	3061
420.2	3112
420.4	3158
420.6	3205
420.8	3243
421.0	3283
421.2	3327
421.4	3376
421.6	3424
421.8	3468
422.0	3512
422.2	3559
422.4	3601
422.6	3645
422.8	3690
423.0	3732
423.2	3775
423.4	3824
423.6	3868
423.8	3917
424.0	3958
424.2	3997
424.4	4039
424.6	4093
424.8	4145
425.0	4195
425.2	4235
425.4	4278
425.6	4319
425.8	4370
426.0	4413
426.2	4456
426.4	4498
426.6	4537
426.8	4575
427.0	4615
427.2	4663
427.4	4710
427.6	4761
427.8	4798
428.0	4831
428.2	4866
428.4	4913
428.6	4950
428.8	4997
429.0	5035
429.2	5074
429.4	5121
429.6	5173
429.8	5212
430.0	5251
430.2	5288
430.4	5324
430.6	5371
430.8	5415
431.0	5454
431.2	5486
431.4	5518
431.6	5559
431.8	5605
432.0	5640
432.2	5672
432.4	5706
432.6	5743
432.8	5792
433.0	5841
433.2	5873
433.4	5896
433.6	5918
433.8	5943
434.0	5982
434.2	6024
434.4	6065
434.6	6099
434.8	6130
435.0	6163
435.2	6193
435.4	6224
435.6	6253
435.8	6277
436.0	6313
436.2	6351
436.4	6380
436.6	6410
436.8	6439
437.0	6462
437.2	6490
437.4	6522
437.6	6545
437.8	6566
438.0	6592
438.2	6618
438.4	6639
438.6	6675
438.8	6704
439.0	6737
439.2	6769
439.4	6791
439.6	6800
439.8	6824
440.0	6840
440.2	6869
440.4	6905
440.6	6933
440.8	6944
441.0	6966
441.2	6978
441.4	6999
441.6	7024
441.8	7049
442.0	7067
442.2	7096
442.4	7115
442.6	7134
442.8	7148
443.0	7156
443.2	7171
443.4	7192
443.6	7216
443.8	7235
444.0	7253
444.2	7272
444.4	7292
444.6	7315
444.8	7339
445.0	7349
445.2	7356
445.4	7369
445.6	7376
445.8	7388
446.0	7399
446.2	7411
446.4	7426
446.6	7442
446.8	7449
447.0	7461
447.2	7474
447.4	7486
447.6	7505
447.8	7514
448.0	7524
448.2	7531
448.4	7541
448.6	7551
448.8	7559
449.0	7567
449.2	7585
449.4	7591
449.6	7605
449.8	7618
450.0	7627
450.2	7645
450.4	7649
450.6	7648
450.8	7647
451.0	7648
451.2	7654
451.4	7668
451.6	7675
451.8	7693
452.0	7708
452.2	7717
452.4	7722
452.6	7720
452.8	7723
453.0	7738
453.2	7752
453.4	7762
453.6	7771
453.8	7769
454.0	7761
454.2	7763
454.4	7765
454.6	7774
454.8	7778
455.0	7779
455.2	7782
455.4	7792
455.6	7792
455.8	7800
456.0	7795
456.2	7799
456.4	7814
456.6	7819
456.8	7819
457.0	7820
457.2	7811
457.4	7813
457.6	7820
457.8	7815
458.0	7816
458.2	7822
458.4	7816
458.6	7814
458.8	7817
459.0	7812
459.2	7815
459.4	7815
459.6	7814
459.8	7812
460.0	7816
460.2	7807
460.4	7809
460.6	7806
460.8	7809
461.0	7802
461.2	7791
461.4	7769
461.6	7763
461.8	7764
462.0	7775
462.2	7781
462.4	7776
462.6	7766
462.8	7756
463.0	7738
463.2	7726
463.4	7718
463.6	7710
463.8	7711
464.0	7705
464.2	7699
464.4	7693
464.6	7684
464.8	7678
465.0	7681
465.2	7669
465.4	7668
465.6	7666
465.8	7650
466.0	7635
466.2	7624
466.4	7610
466.6	7604
466.8	7598
467.0	7591
467.2	7571
467.4	7555
467.6	7542
467.8	7533
468.0	7530
468.2	7527
468.4	7516
468.6	7509
468.8	7497
469.0	7487
469.2	7479
469.4	7461
469.6	7441
469.8	7422
470.0	7403
470.2	7389
470.4	7377
470.6	7368
470.8	7358
471.0	7354
471.2	7345
471.4	7329
471.6	7309
471.8	7295
472.0	7284
472.2	7273
472.4	7253
472.6	7233
472.8	7216
473.0	7207
473.2	7196
473.4	7182
473.6	7163
473.8	7150
474.0	7136
474.2	7121
474.4	7108
474.6	7095
474.8	7083
475.0	7064
475.2	7045
475.4	7025
475.6	7015
475.8	6997
476.0	6982
476.2	6968
476.4	6949
476.6	6930
476.8	6916
477.0	6896
477.2	6874
477.4	6867
477.6	6850
477.8	6829
478.0	6818
478.2	6813
478.4	6794
478.6	6780
478.8	6761
479.0	6734
479.2	6723
479.4	6712
479.6	6689
479.8	6679
480.0	6668
480.2	6651
480.4	6635
480.6	6615
480.8	6587
481.0	6573
481.2	6554
481.4	6546
481.6	6531
481.8	6516
482.0	6489
482.2	6462
482.4	6437
482.6	6423
482.8	6418
483.0	6411
483.2	6400
483.4	6383
483.6	6359
483.8	6335
484.0	6317
484.2	6301
484.4	6289
484.6	6271
484.8	6254
485.0	6235
485.2	6214
485.4	6195
485.6	6175
485.8	6156
486.0	6143
486.2	6125
486.4	6110
486.6	6090
486.8	6067
487.0	6048
487.2	6027
487.4	6011
487.6	6001
487.8	5997
488.0	5986
488.2	5970
488.4	5944
488.6	5912
488.8	5886
489.0	5875
489.2	5865
489.4	5851
489.6	5831
489.8	5800
490.0	5772
490.2	5752
490.4	5728
490.6	5711
490.8	5695
491.0	5675
491.2	5651
491.4	5627
491.6	5598
491.8	5582
492.0	5572
492.2	5561
492.4	5546
492.6	5527
492.8	5506
493.0	5486
493.2	5461
493.4	5437
493.6	5422
493.8	5402
494.0	5386
494.2	5365
494.4	5347
494.6	5320
494.8	5297
495.0	5274
495.2	5254
495.4	5231
495.6	5214
495.8	5186
496.0	5161
496.2	5144
496.4	5127
496.6	5109
496.8	5079
497.0	5057
497.2	5038
497.4	5022
497.6	5011
497.8	5001
498.0	4976
498.2	4951
498.4	4927
498.6	4899
498.8	4880
499.0	4865
499.2	4845
499.4	4827
499.6	4805
499.8	4783
500.0	4764
500.2	4747
500.4	4734
500.6	4719
500.8	4700
501.0	4680
501.2	4657
501.4	4631
501.6	4608
501.8	4578
502.0	4554
502.2	4537
502.4	4524
502.6	4504
502.8	4477
503.0	4455
503.2	4432
503.4	4416
503.6	4404
503.8	4385
504.0	4366
504.2	4341
504.4	4315
504.6	4293
504.8	4275
505.0	4251
505.2	4239
505.4	4221
505.6	4201
505.8	4176
506.0	4158
506.2	4141
506.4	4125
506.6	4109
506.8	4090
507.0	4064
507.2	4046
507.4	4027
507.6	4010
507.8	3988
508.0	3968
508.2	3945
508.4	3928
508.6	3906
508.8	3891
509.0	3870
509.2	3849
509.4	3829
509.6	3811
509.8	3788
510.0	3772
510.2	3756
510.4	3738
510.6	3719
510.8	3698
511.0	3681
511.2	3669
511.4	3652
511.6	3632
511.8	3607
512.0	3586
512.2	3568
512.4	3552
512.6	3535
512.8	3517
513.0	3494
513.2	3483
513.4	3466
513.6	3453
513.8	3436
514.0	3415
514.2	3393
514.4	3376
514.6	3353
514.8	3338
515.0	3320
515.2	3306
515.4	3291
515.6	3275
515.8	3251
516.0	3236
516.2	3216
516.4	3199
516.6	3187
516.8	3176
517.0	3161
517.2	3153
517.4	3136
517.6	3115
517.8	3097
518.0	3081
518.2	3060
518.4	3046
518.6	3025
518.8	3010
519.0	2995
519.2	2985
519.4	2967
519.6	2954
519.8	2936
520.0	2924
520.2	2908
520.4	2890
520.6	2873
520.8	2859
521.0	2846
521.2	2828
521.4	2808
521.6	2790
521.8	2777
522.0	2764
522.2	2754
522.4	2743
522.6	2731
522.8	2717
523.0	2699
523.2	2681
523.4	2664
523.6	2649
523.8	2635
524.0	2625
524.2	2606
524.4	2597
524.6	2586
524.8	2576
525.0	2566
525.2	2559
525.4	2538
525.6	2519
525.8	2503
526.0	2488
526.2	2471
526.4	2460
526.6	2444
526.8	2430
527.0	2423
527.2	2409
527.4	2391
527.6	2375
527.8	2361
528.0	2349
528.2	2343
528.4	2334
528.6	2322
528.8	2305
529.0	2291
529.2	2277
529.4	2267
529.6	2258
529.8	2248
530.0	2234
530.2	2220
530.4	2206
530.6	2195
530.8	2184
531.0	2174
531.2	2160
531.4	2145
531.6	2127
531.8	2114
532.0	2101
532.2	2089
532.4	2081
532.6	2071
532.8	2066
533.0	2058
533.2	2048
533.4	2035
533.6	2019
533.8	2003
534.0	1995
534.2	1983
534.4	1973
534.6	1962
534.8	1950
535.0	1937
535.2	1925
535.4	1913
535.6	1902
535.8	1894
536.0	1886
536.2	1876
536.4	1864
536.6	1851
536.8	1841
537.0	1833
537.2	1818
537.4	1807
537.6	1799
537.8	1788
538.0	1778
538.2	1770
538.4	1760
538.6	1751
538.8	1743
539.0	1730
539.2	1719
539.4	1708
539.6	1702
539.8	1695
540.0	1687
540.2	1675
540.4	1664
540.6	1656
540.8	1652
541.0	1644
541.2	1632
541.4	1619
541.6	1606
541.8	1596
542.0	1589
542.2	1582
542.4	1574
542.6	1564
542.8	1553
543.0	1541
543.2	1532
543.4	1526
543.6	1521
543.8	1512
544.0	1498
544.2	1485
544.4	1475
544.6	1466
544.8	1462
545.0	1459
545.2	1448
545.4	1439
545.6	1426
545.8	1417
546.0	1412
546.2	1405
546.4	1398
546.6	1391
546.8	1380
547.0	1373
547.2	1367
547.4	1357
547.6	1347
547.8	1332
