Sample:	'20211010A(EM)
File name:	B-CDS 2 1.FDS
Run date:	'10:31:24, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	490.0	491.0	774.0	491.0	768.2
2	491.0	494.2	680.0	776.6	680.0	7.700

Data points
nm	Data
370.0	1.034
370.2	1.188
370.4	1.154
370.6	1.036
370.8	0.996
371.0	1.034
371.2	1.046
371.4	1.117
371.6	1.140
371.8	1.080
372.0	1.198
372.2	1.208
372.4	1.213
372.6	1.109
372.8	1.079
373.0	0.990
373.2	0.957
373.4	0.993
373.6	1.024
373.8	1.028
374.0	1.212
374.2	1.207
374.4	1.038
374.6	1.024
374.8	1.029
375.0	1.112
375.2	1.258
375.4	1.229
375.6	1.104
375.8	1.010
376.0	1.017
376.2	1.176
376.4	1.217
376.6	1.234
376.8	1.244
377.0	1.122
377.2	1.059
377.4	1.159
377.6	1.121
377.8	1.108
378.0	1.162
378.2	1.134
378.4	1.092
378.6	1.135
378.8	1.093
379.0	1.064
379.2	1.107
379.4	1.107
379.6	1.110
379.8	1.100
380.0	1.170
380.2	1.133
380.4	1.110
380.6	1.029
380.8	1.102
381.0	1.165
381.2	1.298
381.4	1.313
381.6	1.278
381.8	1.221
382.0	1.238
382.2	1.206
382.4	1.169
382.6	1.141
382.8	1.137
383.0	1.224
383.2	1.327
383.4	1.356
383.6	1.343
383.8	1.242
384.0	1.186
384.2	1.171
384.4	1.252
384.6	1.377
384.8	1.389
385.0	1.402
385.2	1.350
385.4	1.279
385.6	1.289
385.8	1.334
386.0	1.338
386.2	1.338
386.4	1.422
386.6	1.465
386.8	1.464
387.0	1.435
387.2	1.454
387.4	1.335
387.6	1.398
387.8	1.391
388.0	1.380
388.2	1.396
388.4	1.515
388.6	1.463
388.8	1.494
389.0	1.467
389.2	1.450
389.4	1.422
389.6	1.496
389.8	1.500
390.0	1.556
390.2	1.549
390.4	1.611
390.6	1.545
390.8	1.580
391.0	1.592
391.2	1.541
391.4	1.508
391.6	1.591
391.8	1.533
392.0	1.540
392.2	1.538
392.4	1.460
392.6	1.428
392.8	1.528
393.0	1.562
393.2	1.552
393.4	1.628
393.6	1.700
393.8	1.681
394.0	1.767
394.2	1.792
394.4	1.682
394.6	1.682
394.8	1.710
395.0	1.751
395.2	1.803
395.4	1.991
395.6	2.046
395.8	2.003
396.0	1.913
396.2	1.895
396.4	1.853
396.6	1.981
396.8	2.152
397.0	2.249
397.2	2.305
397.4	2.470
397.6	2.507
397.8	2.454
398.0	2.442
398.2	2.458
398.4	2.351
398.6	2.433
398.8	2.480
399.0	2.455
399.2	2.604
399.4	2.642
399.6	2.579
399.8	2.570
400.0	2.554
400.2	2.527
400.4	2.695
400.6	2.767
400.8	2.959
401.0	2.967
401.2	2.920
401.4	2.907
401.6	2.986
401.8	3.104
402.0	3.244
402.2	3.079
402.4	3.061
402.6	3.116
402.8	3.319
403.0	3.499
403.2	3.755
403.4	3.892
403.6	3.957
403.8	4.060
404.0	3.955
404.2	3.752
404.4	3.785
404.6	3.791
404.8	3.848
405.0	4.153
405.2	4.427
405.4	4.487
405.6	4.731
405.8	4.728
406.0	4.809
406.2	5.010
406.4	5.398
406.6	5.698
406.8	5.948
407.0	6.219
407.2	6.163
407.4	6.086
407.6	6.179
407.8	6.667
