Sample:	'20211010A(EM)
File name:	B-CDS  3 300uM.FDS
Run date:	'10:42:05, 06/08/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	350.0 nm
EM  Start WL:	370.0 nm
EM  End WL:	680.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	370.0	474.2	475.6	2107	475.6	2100
2	475.6	479.2	480.6	2128	480.6	2112
3	480.6	481.6	482.4	2130	482.4	2112
4	482.4	484.2	680.0	2118	680.0	14.58

Data points
nm	Data
370.0	3.174
370.2	3.195
370.4	3.089
370.6	2.943
370.8	2.922
371.0	2.934
371.2	2.921
371.4	2.991
371.6	2.856
371.8	2.904
372.0	3.004
372.2	3.034
372.4	3.037
372.6	2.907
372.8	2.846
373.0	2.973
373.2	3.074
373.4	3.192
373.6	3.163
373.8	3.063
374.0	3.036
374.2	3.014
374.4	3.085
374.6	3.237
374.8	3.238
375.0	3.347
375.2	3.434
375.4	3.438
375.6	3.414
375.8	3.372
376.0	3.264
376.2	3.290
376.4	3.385
376.6	3.405
376.8	3.332
377.0	3.303
377.2	3.409
377.4	3.336
377.6	3.349
377.8	3.229
378.0	3.150
378.2	3.275
378.4	3.536
378.6	3.505
378.8	3.532
379.0	3.389
379.2	3.273
379.4	3.379
379.6	3.404
379.8	3.460
380.0	3.686
380.2	3.629
380.4	3.478
380.6	3.398
380.8	3.219
381.0	3.395
381.2	3.679
381.4	3.785
381.6	3.686
381.8	3.781
382.0	3.853
382.2	3.855
382.4	3.919
382.6	4.007
382.8	3.926
383.0	4.118
383.2	4.246
383.4	4.051
383.6	4.106
383.8	4.031
384.0	4.005
384.2	4.136
384.4	4.243
384.6	4.165
384.8	4.348
385.0	4.378
385.2	4.513
385.4	4.620
385.6	4.539
385.8	4.661
386.0	4.898
386.2	5.055
386.4	5.161
386.6	5.141
386.8	4.970
387.0	5.100
387.2	5.367
387.4	5.556
387.6	5.583
387.8	5.662
388.0	5.686
388.2	5.716
388.4	5.864
388.6	5.892
388.8	5.732
389.0	6.031
389.2	6.235
389.4	6.490
389.6	6.651
389.8	6.614
390.0	6.572
390.2	6.850
390.4	6.960
390.6	7.198
390.8	7.228
391.0	7.296
391.2	7.458
391.4	7.634
391.6	8.022
391.8	8.489
392.0	8.837
392.2	9.101
392.4	9.278
392.6	9.467
392.8	10.03
393.0	10.52
393.2	10.67
393.4	10.62
393.6	10.65
393.8	11.11
394.0	11.84
394.2	12.32
394.4	12.52
394.6	12.48
394.8	12.64
395.0	13.16
395.2	13.55
395.4	13.79
395.6	14.39
395.8	14.91
396.0	15.66
396.2	16.43
396.4	16.94
396.6	17.33
396.8	17.76
397.0	17.82
397.2	18.12
397.4	18.79
397.6	19.65
397.8	20.85
398.0	21.44
398.2	22.09
398.4	22.36
398.6	23.05
398.8	23.82
399.0	24.90
399.2	25.68
399.4	26.78
399.6	27.63
399.8	28.65
400.0	29.39
400.2	30.32
400.4	31.58
400.6	32.70
400.8	33.57
401.0	34.30
401.2	35.73
401.4	37.29
401.6	38.59
401.8	39.94
402.0	41.02
402.2	42.32
402.4	43.98
402.6	46.27
402.8	47.69
403.0	49.34
403.2	51.10
403.4	52.78
403.6	54.13
403.8	55.84
404.0	57.32
404.2	59.17
404.4	60.78
404.6	61.94
404.8	64.03
405.0	65.81
405.2	68.69
405.4	72.73
405.6	76.09
405.8	78.03
406.0	79.56
406.2	81.70
406.4	83.82
406.6	86.45
406.8	89.63
407.0	92.28
407.2	94.49
407.4	98.46
407.6	101.1
407.8	103.7
408.0	106.6
408.2	109.9
408.4	113.0
408.6	117.9
408.8	121.9
409.0	125.4
409.2	128.7
409.4	132.2
409.6	135.6
409.8	140.3
410.0	144.6
410.2	148.3
410.4	152.4
410.6	156.1
410.8	161.0
411.0	165.0
411.2	169.5
411.4	173.8
411.6	177.6
411.8	182.3
412.0	187.2
412.2	191.2
412.4	196.2
412.6	202.2
412.8	208.1
413.0	215.8
413.2	221.0
413.4	226.0
413.6	230.2
413.8	235.9
414.0	241.3
414.2	247.6
414.4	252.6
414.6	259.1
414.8	264.6
415.0	271.4
415.2	276.7
415.4	282.2
415.6	286.9
415.8	294.4
416.0	302.1
416.2	310.1
416.4	317.7
416.6	325.0
416.8	329.6
417.0	336.1
417.2	341.1
417.4	347.0
417.6	354.4
417.8	361.9
418.0	369.3
418.2	377.4
418.4	384.7
418.6	392.2
418.8	398.2
419.0	405.8
419.2	413.4
419.4	422.0
419.6	432.4
419.8	441.6
420.0	449.9
420.2	460.3
420.4	466.8
420.6	473.8
420.8	480.5
421.0	486.4
421.2	494.4
421.4	503.7
421.6	511.9
421.8	521.0
422.0	528.7
422.2	538.7
422.4	546.8
422.6	555.7
422.8	566.8
423.0	578.4
423.2	586.3
423.4	596.2
423.6	601.3
423.8	607.9
424.0	615.1
424.2	626.0
424.4	634.0
424.6	642.3
424.8	651.8
425.0	663.6
425.2	672.9
425.4	682.7
425.6	691.6
425.8	698.9
426.0	707.1
426.2	718.8
426.4	728.9
426.6	736.8
426.8	744.5
427.0	753.6
427.2	760.3
427.4	770.6
427.6	781.1
427.8	791.4
428.0	798.6
428.2	807.7
428.4	815.2
428.6	821.9
428.8	830.8
429.0	840.4
429.2	848.9
429.4	859.1
429.6	871.3
429.8	880.7
430.0	888.9
430.2	899.7
430.4	905.5
430.6	914.3
430.8	923.7
431.0	932.4
431.2	942.9
431.4	956.1
431.6	963.2
431.8	970.7
432.0	979.4
432.2	988.0
432.4	995.9
432.6	1005
432.8	1013
