Sample:	'20211010A(EM)
File name:	G-CDs 3 300.FDS
Run date:	'10:23:18, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	440 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	425.2	426.0	11.95	426.0	10.85
2	426.0	546.2	547.2	7422	547.2	7404
3	547.2	548.0	786.4	7437	786.4	6.166

Data points
nm	Data
420.0	10.85
420.2	11.31
420.4	11.40
420.6	11.30
420.8	11.30
421.0	11.39
421.2	11.27
421.4	11.24
421.6	11.21
421.8	11.25
422.0	11.23
422.2	11.13
422.4	10.92
422.6	10.82
422.8	11.16
423.0	11.42
423.2	11.50
423.4	11.37
423.6	11.32
423.8	10.94
424.0	11.08
424.2	11.07
424.4	11.27
424.6	11.34
424.8	11.66
425.0	11.80
425.2	11.95
425.4	11.79
425.6	11.63
425.8	11.12
426.0	10.85
426.2	10.94
426.4	11.01
426.6	11.24
426.8	11.49
427.0	11.40
427.2	11.38
427.4	11.58
427.6	11.67
427.8	11.63
428.0	11.51
428.2	11.29
428.4	11.27
428.6	11.27
428.8	11.38
429.0	11.32
429.2	11.20
429.4	11.39
429.6	11.74
429.8	11.94
430.0	12.07
430.2	12.19
430.4	12.13
430.6	12.16
430.8	12.21
431.0	12.14
431.2	12.14
431.4	12.03
431.6	12.12
431.8	12.16
432.0	12.25
432.2	12.30
432.4	12.44
432.6	12.33
432.8	12.70
433.0	12.82
433.2	12.96
433.4	13.06
433.6	13.05
433.8	12.85
434.0	13.07
434.2	13.09
434.4	13.33
434.6	13.83
434.8	14.13
435.0	14.04
435.2	13.87
435.4	13.56
435.6	13.46
435.8	13.88
436.0	14.25
436.2	14.28
436.4	14.50
436.6	14.62
436.8	14.82
437.0	15.03
437.2	15.00
437.4	15.08
437.6	15.64
437.8	15.86
438.0	16.11
438.2	16.02
438.4	15.80
438.6	15.94
438.8	16.13
439.0	16.20
439.2	16.70
439.4	16.95
439.6	17.17
439.8	17.47
440.0	17.66
440.2	17.80
440.4	18.23
440.6	18.36
440.8	18.56
441.0	19.00
441.2	19.13
441.4	19.30
441.6	19.64
441.8	19.93
442.0	20.63
442.2	20.93
442.4	20.74
442.6	20.88
442.8	21.19
443.0	21.75
443.2	22.43
443.4	22.72
443.6	22.86
443.8	23.07
444.0	23.30
444.2	23.43
444.4	23.33
444.6	23.77
444.8	24.27
445.0	24.84
445.2	25.71
445.4	26.07
445.6	26.60
445.8	26.90
446.0	27.38
446.2	27.77
446.4	28.29
446.6	28.42
446.8	28.52
447.0	28.53
447.2	28.90
447.4	29.65
447.6	30.49
447.8	30.89
448.0	30.95
448.2	31.16
448.4	31.18
448.6	31.98
448.8	32.60
449.0	32.70
449.2	32.91
449.4	33.13
449.6	33.00
449.8	33.32
450.0	33.16
450.2	33.43
450.4	33.85
450.6	34.58
450.8	35.29
451.0	35.74
451.2	35.89
451.4	36.42
451.6	36.45
451.8	36.44
452.0	36.88
452.2	37.22
452.4	37.59
452.6	37.95
452.8	37.78
453.0	37.41
453.2	37.62
453.4	37.89
453.6	38.35
453.8	38.51
454.0	38.13
454.2	38.45
454.4	38.74
454.6	38.91
454.8	39.57
455.0	39.39
455.2	39.20
455.4	39.65
455.6	39.86
455.8	39.62
456.0	40.11
456.2	40.28
456.4	40.75
456.6	41.35
456.8	41.77
457.0	41.36
457.2	41.40
457.4	41.37
457.6	41.04
457.8	41.23
458.0	41.05
458.2	40.95
458.4	41.67
458.6	42.07
458.8	42.02
459.0	42.10
459.2	41.99
459.4	41.85
459.6	42.24
459.8	42.23
460.0	42.27
460.2	42.09
460.4	42.54
460.6	43.13
460.8	43.32
461.0	43.52
461.2	43.87
461.4	44.05
461.6	44.42
461.8	44.62
462.0	44.53
462.2	44.63
462.4	45.20
462.6	46.04
462.8	46.36
463.0	46.28
463.2	46.06
463.4	45.93
463.6	46.12
463.8	46.87
464.0	47.51
464.2	48.57
464.4	48.98
464.6	49.47
464.8	49.55
465.0	49.65
465.2	49.55
465.4	50.16
465.6	50.45
465.8	51.50
466.0	52.13
466.2	52.96
466.4	53.44
466.6	54.12
466.8	55.34
467.0	56.67
467.2	57.35
467.4	58.52
467.6	59.23
467.8	59.83
468.0	60.75
468.2	61.24
468.4	62.16
468.6	63.51
468.8	64.40
469.0	65.48
469.2	66.46
469.4	67.82
469.6	69.61
469.8	71.02
470.0	72.39
470.2	73.96
470.4	75.11
470.6	76.24
470.8	77.83
471.0	78.76
471.2	80.44
471.4	82.34
471.6	83.77
471.8	84.82
472.0	86.77
472.2	88.59
472.4	90.78
472.6	93.17
472.8	95.14
473.0	97.58
473.2	99.70
473.4	101.7
473.6	103.7
473.8	104.9
474.0	107.5
474.2	110.6
474.4	113.8
474.6	116.5
474.8	119.1
475.0	120.8
475.2	123.6
475.4	125.3
475.6	128.2
475.8	130.9
476.0	133.9
476.2	137.3
476.4	140.1
476.6	143.6
476.8	146.9
477.0	149.3
477.2	152.3
477.4	156.0
477.6	159.4
477.8	163.5
478.0	167.0
478.2	169.7
478.4	172.4
478.6	175.9
478.8	179.7
479.0	184.3
479.2	189.0
479.4	193.8
479.6	197.8
479.8	201.9
480.0	205.5
480.2	209.5
480.4	213.1
480.6	217.6
480.8	221.7
481.0	226.6
481.2	230.6
481.4	234.8
481.6	239.2
481.8	245.1
482.0	250.3
482.2	256.3
482.4	260.8
482.6	265.7
482.8	271.3
483.0	277.2
483.2	282.0
483.4	287.0
483.6	291.4
483.8	296.7
484.0	303.2
484.2	310.6
484.4	317.3
484.6	323.2
484.8	328.6
485.0	335.1
485.2	341.3
485.4	348.2
485.6	353.7
485.8	358.9
486.0	364.1
486.2	371.1
486.4	377.7
