Sample:	'20211010A(EM)
File name:	G-CDs 6.FDS
Run date:	'10:35:59, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	540.4	542.0	7077	542.0	7059
2	542.0	542.6	800.0	7078	800.0	4.348

Data points
nm	Data
420.0	4.644
420.2	4.455
420.4	4.460
420.6	4.554
420.8	4.519
421.0	4.602
421.2	4.461
421.4	4.448
421.6	4.394
421.8	4.659
422.0	4.674
422.2	4.698
422.4	4.668
422.6	4.780
422.8	4.589
423.0	4.677
423.2	4.586
423.4	4.555
423.6	4.650
423.8	4.652
424.0	4.471
424.2	4.369
424.4	4.416
424.6	4.506
424.8	4.652
425.0	4.595
425.2	4.550
425.4	4.502
425.6	4.518
425.8	4.610
426.0	4.706
426.2	4.690
426.4	4.693
426.6	4.617
426.8	4.426
427.0	4.348
427.2	4.356
427.4	4.427
427.6	4.574
427.8	4.631
428.0	4.647
428.2	4.618
428.4	4.642
428.6	4.643
428.8	4.732
429.0	4.782
429.2	4.824
429.4	4.850
429.6	4.840
429.8	4.740
430.0	4.689
430.2	4.756
430.4	4.851
430.6	4.889
430.8	4.941
431.0	5.041
431.2	5.118
431.4	5.110
431.6	5.058
431.8	4.768
432.0	4.728
432.2	4.845
432.4	5.114
432.6	5.088
432.8	5.054
433.0	4.955
433.2	4.893
433.4	4.930
433.6	5.044
433.8	5.096
434.0	5.115
434.2	5.204
434.4	5.230
434.6	5.247
434.8	5.409
435.0	5.581
435.2	5.574
435.4	5.700
435.6	5.790
435.8	5.680
436.0	5.763
436.2	5.746
436.4	5.647
436.6	5.675
436.8	5.735
437.0	5.763
437.2	5.840
437.4	6.003
437.6	6.190
437.8	6.303
438.0	6.300
438.2	6.194
438.4	6.131
438.6	6.076
438.8	6.269
439.0	6.438
439.2	6.612
439.4	6.640
439.6	6.711
439.8	6.658
440.0	6.710
440.2	6.794
440.4	7.143
440.6	7.360
440.8	7.539
441.0	7.674
441.2	7.637
441.4	7.569
441.6	7.467
441.8	7.368
442.0	7.426
442.2	7.591
442.4	7.781
442.6	8.060
442.8	8.025
443.0	8.042
443.2	8.167
443.4	8.149
443.6	8.010
443.8	8.097
444.0	8.202
444.2	8.400
444.4	8.434
444.6	8.521
444.8	8.454
445.0	8.699
445.2	8.881
445.4	9.166
445.6	9.105
445.8	9.101
446.0	9.038
446.2	8.996
446.4	8.898
446.6	9.074
446.8	9.386
447.0	9.625
447.2	9.846
447.4	9.863
447.6	9.809
447.8	9.557
448.0	9.750
448.2	9.787
448.4	9.823
448.6	9.891
448.8	9.900
449.0	9.836
449.2	10.06
449.4	9.970
449.6	9.740
449.8	9.803
450.0	10.01
450.2	10.27
450.4	10.67
450.6	10.54
450.8	10.15
451.0	10.06
451.2	10.09
451.4	10.21
