Sample:	'20211010A(EM)	
File name:	G-CDs 8 800.FDS	
Run date:	'10:43:22, 06/11/2023	
Operator:	Administrator	
Comment:	'	
		
Instrument		
Model:	F-4700 FL Spectrophotometer	
Serial number:	2019-001	
ROM Version:	5J24010 00	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	400.0 nm	
EM  Start WL:	420.0 nm	
EM  End WL:	800.0 nm	
Scan speed:	1200 nm/min	
Delay:	0.0 s	
EX Slit:	10.0 nm	
EM Slit:	10.0 nm	
PMT Voltage:	440 V	
Response:	0.002 s	
Corrected spectra:	Off	
Shutter control:	On	
		
Data points		
nm	Data	
420.0	9.618	
420.2	9.876	
420.4	10.03	
420.6	10.06	
420.8	9.948	
421.0	9.446	
421.2	9.274	
421.4	9.052	
421.6	9.159	
421.8	9.306	
422.0	9.738	
422.2	9.900	
422.4	9.911	
422.6	9.804	
422.8	9.709	
423.0	9.667	
423.2	9.736	
423.4	9.806	
423.6	9.935	
423.8	9.954	
424.0	10.11	
424.2	10.10	
424.4	9.961	
424.6	10.13	
424.8	10.42	
425.0	10.25	
425.2	10.17	
425.4	9.780	
425.6	9.685	
425.8	9.864	
426.0	10.11	
426.2	10.23	
426.4	10.38	
426.6	10.34	
426.8	10.37	
427.0	10.30	
427.2	10.20	
427.4	10.18	
427.6	10.19	
427.8	10.35	
428.0	10.26	
428.2	10.39	
428.4	10.33	
428.6	10.21	
428.8	10.25	
429.0	10.45	
429.2	10.47	
429.4	10.64	
429.6	10.66	
429.8	10.67	
430.0	10.70	
430.2	10.72	
430.4	10.79	
430.6	10.54	
430.8	10.34	
431.0	10.39	
431.2	10.59	
431.4	10.84	
431.6	11.40	
431.8	11.55	
432.0	11.57	
432.2	11.65	
432.4	11.44	
432.6	11.39	
432.8	11.43	
433.0	11.41	
433.2	11.52	
433.4	11.64	
433.6	11.39	
433.8	11.44	
434.0	11.48	
434.2	11.86	
434.4	12.08	
434.6	12.22	
434.8	12.36	
435.0	12.51	
435.2	12.51	
435.4	12.72	
435.6	12.73	
435.8	12.82	
436.0	13.04	
436.2	13.18	
436.4	13.14	
436.6	13.61	
436.8	13.94	
437.0	13.93	
437.2	13.86	
437.4	13.75	
437.6	13.70	
437.8	14.21	
438.0	14.45	
438.2	14.42	
438.4	14.68	
438.6	15.13	
438.8	15.67	
439.0	16.03	
439.2	16.15	
439.4	16.05	
439.6	15.90	
439.8	16.05	
440.0	16.34	
440.2	16.68	
440.4	17.03	
440.6	17.36	
440.8	17.65	
441.0	17.91	
441.2	18.15	
441.4	18.44	
441.6	18.78	
441.8	19.07	
442.0	19.59	
442.2	20.06	
442.4	20.32	
442.6	20.50	
442.8	20.74	
443.0	20.86	
443.2	21.27	
443.4	21.73	
443.6	22.03	
443.8	22.49	
444.0	22.69	
444.2	22.71	
444.4	23.17	
444.6	23.55	
444.8	23.86	
445.0	24.62	
445.2	24.99	
445.4	25.33	
445.6	25.96	
445.8	26.18	
446.0	26.22	
446.2	26.72	
446.4	26.96	
446.6	27.54	
446.8	28.12	
447.0	28.52	
447.2	28.63	
447.4	28.93	
447.6	28.91	
447.8	29.46	
448.0	29.96	
448.2	30.64	
448.4	31.13	
448.6	31.76	
448.8	31.87	
449.0	32.01	
449.2	31.90	
449.4	31.96	
449.6	32.53	
449.8	33.34	
450.0	33.76	
450.2	34.25	
450.4	34.77	
450.6	35.33	
450.8	36.25	
451.0	36.71	
451.2	36.84	
451.4	37.13	
451.6	37.19	
451.8	37.50	
452.0	37.48	
452.2	37.80	
452.4	38.14	
452.6	38.55	
452.8	38.84	
453.0	39.56	
453.2	39.74	
453.4	40.31	
453.6	40.90	
453.8	40.99	
454.0	40.80	
454.2	40.90	
454.4	40.93	
454.6	41.23	
454.8	41.75	
455.0	42.11	
455.2	42.42	
455.4	42.63	
455.6	42.72	
455.8	42.85	
456.0	42.94	
456.2	43.39	
456.4	44.32	
456.6	44.94	
456.8	44.68	
457.0	44.58	
457.2	44.28	
457.4	44.32	
457.6	44.78	
457.8	45.41	
458.0	45.35	
458.2	45.64	
458.4	45.78	
458.6	46.25	
458.8	46.46	
459.0	46.75	
459.2	46.66	
459.4	46.78	
459.6	47.18	
459.8	47.70	
460.0	47.87	
460.2	48.06	
460.4	48.16	
460.6	48.40	
460.8	48.87	
461.0	49.42	
461.2	49.51	
461.4	50.05	
461.6	50.65	
461.8	50.66	
462.0	50.64	
462.2	50.60	
462.4	50.81	
462.6	51.70	
462.8	52.34	
463.0	52.58	
463.2	52.95	
463.4	53.35	
463.6	54.03	
463.8	54.93	
464.0	55.51	
464.2	55.65	
464.4	56.25	
464.6	56.15	
464.8	56.08	
465.0	56.71	
465.2	57.80	
465.4	59.00	
465.6	60.20	
465.8	60.32	
466.0	60.69	
466.2	61.35	
466.4	62.12	
466.6	63.38	
466.8	63.91	
467.0	64.42	
467.2	65.35	
467.4	66.29	
467.6	67.31	
467.8	68.89	
468.0	69.80	
468.2	70.80	
468.4	71.98	
468.6	72.54	
468.8	72.99	
469.0	74.11	
469.2	75.03	
469.4	76.69	
469.6	78.53	
469.8	79.55	
470.0	80.26	
470.2	81.54	
470.4	83.14	
470.6	85.01	
470.8	87.63	
471.0	89.39	
471.2	90.84	
471.4	92.44	
471.6	94.28	
471.8	95.75	
472.0	97.74	
472.2	99.35	
472.4	100.8	
472.6	102.5	
472.8	104.5	
473.0	106.1	
473.2	108.4	
473.4	110.5	
473.6	112.8	
473.8	115.2	
474.0	118.0	
474.2	120.6	
474.4	123.6	
474.6	125.7	
474.8	127.6	
475.0	129.6	
475.2	132.8	
475.4	135.3	
475.6	138.4	
475.8	141.7	
476.0	144.0	
476.2	147.0	
476.4	150.5	
476.6	152.8	
476.8	155.6	
477.0	158.2	
477.2	160.7	
477.4	164.9	
477.6	168.6	
477.8	172.6	
478.0	176.2	
478.2	179.7	
478.4	182.7	
478.6	186.3	
478.8	189.0	
479.0	193.0	
479.2	196.4	
479.4	201.0	
479.6	205.0	
479.8	208.7	
480.0	212.4	
480.2	217.0	
480.4	219.6	
480.6	224.1	
480.8	227.2	
481.0	231.4	
481.2	236.4	
481.4	241.6	
481.6	245.6	
481.8	251.0	
482.0	254.8	
482.2	260.0	
482.4	265.2	
482.6	269.9	
482.8	274.5	
483.0	279.5	
483.2	283.5	
483.4	288.5	
483.6	294.0	
483.8	299.9	
484.0	305.7	
484.2	311.4	
484.4	316.9	
484.6	322.2	
484.8	328.1	
485.0	333.3	
485.2	339.7	
485.4	346.3	
485.6	353.8	
485.8	360.4	
486.0	366.9	
486.2	372.5	
486.4	379.5	
486.6	385.3	
486.8	391.1	
487.0	397.1	
487.2	404.2	
487.4	410.2	
487.6	416.6	
487.8	424.5	
488.0	432.0	
488.2	439.7	
488.4	449.3	
488.6	456.4	
488.8	463.2	
489.0	472.8	
489.2	479.4	
