Sample:	'20211010A(EM)
File name:	G-CDs 3 300.FDS
Run date:	'18:18:41, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	380 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	547.8	549.2	2266	549.2	2259
2	549.2	549.8	785.8	2265	785.8	2.009

Data points
nm	Data
420.0	4.651
420.2	4.453
420.4	4.433
420.6	4.513
420.8	4.591
421.0	4.626
421.2	4.579
421.4	4.629
421.6	4.614
421.8	4.616
422.0	4.576
422.2	4.480
422.4	4.434
422.6	4.467
422.8	4.544
423.0	4.648
423.2	4.632
423.4	4.598
423.6	4.575
423.8	4.627
424.0	4.658
424.2	4.666
424.4	4.672
424.6	4.694
424.8	4.730
425.0	4.752
425.2	4.579
425.4	4.536
425.6	4.550
425.8	4.652
426.0	4.719
426.2	4.809
426.4	4.776
426.6	4.775
426.8	4.715
427.0	4.793
427.2	4.789
427.4	4.843
427.6	4.836
427.8	4.830
428.0	4.739
428.2	4.885
428.4	4.955
428.6	4.985
428.8	4.957
429.0	4.875
429.2	4.745
429.4	4.736
429.6	4.743
429.8	4.768
430.0	4.848
430.2	4.931
430.4	5.047
430.6	5.097
430.8	5.104
431.0	5.096
431.2	5.055
431.4	5.039
431.6	5.028
431.8	5.062
432.0	5.065
432.2	5.159
432.4	5.096
432.6	5.180
432.8	5.234
433.0	5.282
433.2	5.311
433.4	5.318
433.6	5.174
433.8	5.253
434.0	5.374
434.2	5.400
434.4	5.501
434.6	5.589
434.8	5.652
435.0	5.706
435.2	5.792
435.4	5.833
435.6	5.897
435.8	5.996
436.0	5.999
436.2	5.987
436.4	6.036
436.6	6.162
436.8	6.268
437.0	6.450
437.2	6.523
437.4	6.523
437.6	6.593
437.8	6.760
438.0	6.812
438.2	6.967
438.4	6.992
438.6	6.986
438.8	7.028
439.0	7.148
439.2	7.169
439.4	7.309
439.6	7.367
439.8	7.490
440.0	7.565
440.2	7.646
440.4	7.801
440.6	7.986
440.8	8.218
441.0	8.319
441.2	8.346
441.4	8.359
441.6	8.453
441.8	8.599
442.0	8.851
442.2	9.030
442.4	9.067
