Sample:	'20211010A(EM)
File name:	G-CDs 3.FDS
Run date:	'18:17:05, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	380 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	541.6	800.0	1747	800.0	1.311

Data points
nm	Data
420.0	1.221
420.2	1.249
420.4	1.215
420.6	1.158
420.8	1.146
421.0	1.172
421.2	1.176
421.4	1.210
421.6	1.200
421.8	1.183
422.0	1.207
422.2	1.221
422.4	1.188
422.6	1.198
422.8	1.173
423.0	1.160
423.2	1.175
423.4	1.186
423.6	1.177
423.8	1.214
424.0	1.244
424.2	1.255
424.4	1.256
424.6	1.219
424.8	1.163
425.0	1.152
425.2	1.166
425.4	1.192
425.6	1.182
425.8	1.126
426.0	1.144
426.2	1.197
426.4	1.261
426.6	1.302
426.8	1.285
427.0	1.205
427.2	1.207
427.4	1.236
427.6	1.271
427.8	1.268
428.0	1.258
428.2	1.216
428.4	1.190
428.6	1.219
428.8	1.240
429.0	1.265
429.2	1.282
429.4	1.284
429.6	1.266
429.8	1.285
430.0	1.286
430.2	1.296
430.4	1.291
430.6	1.265
430.8	1.288
431.0	1.354
431.2	1.388
431.4	1.388
431.6	1.344
431.8	1.274
432.0	1.276
432.2	1.295
432.4	1.317
432.6	1.340
432.8	1.330
433.0	1.322
433.2	1.344
433.4	1.372
433.6	1.380
433.8	1.431
434.0	1.423
434.2	1.367
