Sample:	'20211010A(EM)
File name:	G-CDs 10 1000 1.FDS
Run date:	'21:07:48, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	440 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	560.4	784.8	3211	784.8	4.499

Data points
nm	Data
420.0	2.912
420.2	2.918
420.4	2.881
420.6	2.824
420.8	2.786
421.0	2.800
421.2	2.787
421.4	2.828
421.6	2.791
421.8	2.650
422.0	2.551
422.2	2.589
422.4	2.638
422.6	2.692
422.8	2.757
423.0	2.744
423.2	2.609
423.4	2.568
423.6	2.543
423.8	2.587
424.0	2.609
424.2	2.583
424.4	2.439
424.6	2.391
424.8	2.425
425.0	2.529
425.2	2.519
425.4	2.578
425.6	2.544
425.8	2.477
426.0	2.403
426.2	2.415
426.4	2.349
426.6	2.401
426.8	2.426
427.0	2.410
427.2	2.448
427.4	2.500
427.6	2.451
427.8	2.432
428.0	2.284
428.2	2.245
428.4	2.382
428.6	2.402
428.8	2.428
429.0	2.349
429.2	2.213
429.4	2.261
429.6	2.281
429.8	2.263
430.0	2.358
430.2	2.274
430.4	2.295
430.6	2.302
430.8	2.213
431.0	2.177
431.2	2.168
431.4	2.095
431.6	2.120
431.8	2.183
432.0	2.355
432.2	2.413
432.4	2.414
432.6	2.301
432.8	2.261
433.0	2.209
433.2	2.185
433.4	2.076
433.6	2.073
433.8	2.092
434.0	2.216
434.2	2.218
434.4	2.224
434.6	2.243
434.8	2.286
435.0	2.255
435.2	2.153
435.4	2.084
435.6	2.068
435.8	2.085
436.0	2.197
436.2	2.228
436.4	2.190
436.6	2.189
436.8	2.127
437.0	2.121
437.2	2.086
437.4	2.112
437.6	2.164
437.8	2.270
438.0	2.242
438.2	2.288
438.4	2.236
438.6	2.232
438.8	2.235
439.0	2.277
439.2	2.158
439.4	2.175
439.6	2.215
439.8	2.245
440.0	2.378
440.2	2.418
440.4	2.384
440.6	2.335
440.8	2.259
441.0	2.179
441.2	2.325
441.4	2.402
441.6	2.461
441.8	2.467
442.0	2.525
442.2	2.417
442.4	2.379
442.6	2.375
442.8	2.470
443.0	2.540
443.2	2.581
443.4	2.640
443.6	2.585
443.8	2.421
444.0	2.395
444.2	2.366
444.4	2.417
444.6	2.593
444.8	2.585
445.0	2.580
445.2	2.621
445.4	2.708
445.6	2.868
445.8	2.835
446.0	2.724
446.2	2.662
446.4	2.674
446.6	2.783
446.8	2.890
447.0	2.797
447.2	2.756
447.4	2.607
447.6	2.680
447.8	2.735
448.0	2.880
448.2	2.870
448.4	2.882
448.6	2.902
448.8	2.948
449.0	2.912
449.2	3.006
449.4	2.907
449.6	2.879
449.8	3.011
450.0	3.044
450.2	3.102
450.4	3.016
450.6	2.898
450.8	2.834
451.0	2.863
451.2	2.872
451.4	2.992
451.6	2.898
451.8	2.992
452.0	3.007
452.2	3.004
452.4	3.010
452.6	3.175
452.8	3.175
453.0	3.142
453.2	3.112
453.4	3.056
453.6	3.017
453.8	3.155
454.0	3.155
454.2	3.054
454.4	3.020
454.6	3.012
454.8	3.055
455.0	3.100
455.2	3.108
455.4	3.085
455.6	3.022
455.8	3.036
456.0	3.109
456.2	3.137
456.4	3.182
456.6	3.177
456.8	3.197
457.0	3.110
457.2	3.072
457.4	2.984
457.6	2.892
457.8	2.863
458.0	2.838
458.2	2.725
458.4	2.879
458.6	2.902
458.8	2.921
459.0	2.949
459.2	2.859
459.4	2.764
459.6	2.806
459.8	2.946
460.0	3.024
460.2	3.094
460.4	3.085
460.6	3.029
460.8	2.790
461.0	2.758
461.2	2.730
461.4	2.729
461.6	2.777
461.8	2.863
462.0	2.773
462.2	2.750
462.4	2.810
462.6	2.905
462.8	2.894
463.0	2.840
463.2	2.762
463.4	2.732
463.6	2.753
463.8	2.842
464.0	2.787
464.2	2.892
464.4	2.951
464.6	2.969
464.8	2.946
465.0	2.940
465.2	2.864
465.4	3.003
465.6	3.000
465.8	2.947
466.0	2.930
466.2	2.973
466.4	2.950
466.6	2.958
466.8	2.901
467.0	2.932
467.2	3.122
467.4	3.164
467.6	3.181
467.8	3.166
468.0	3.100
468.2	3.192
468.4	3.307
468.6	3.253
468.8	3.283
469.0	3.372
469.2	3.485
469.4	3.606
469.6	3.647
469.8	3.522
470.0	3.494
470.2	3.495
470.4	3.582
470.6	3.683
470.8	3.828
471.0	3.820
471.2	3.932
471.4	4.075
471.6	4.061
471.8	4.122
472.0	4.219
472.2	4.232
472.4	4.196
472.6	4.263
472.8	4.091
473.0	4.104
473.2	4.383
473.4	4.606
473.6	4.588
473.8	4.643
474.0	4.661
474.2	4.748
474.4	4.948
474.6	5.146
474.8	5.119
475.0	5.210
475.2	5.358
475.4	5.458
475.6	5.405
475.8	5.502
476.0	5.557
476.2	5.712
476.4	6.072
476.6	6.170
476.8	6.088
477.0	6.118
477.2	6.177
477.4	6.192
477.6	6.532
477.8	6.685
478.0	6.704
478.2	6.801
478.4	6.847
478.6	6.960
478.8	7.175
479.0	7.335
479.2	7.571
479.4	7.773
479.6	7.840
479.8	7.957
480.0	7.945
480.2	8.020
480.4	8.171
480.6	8.456
480.8	8.580
481.0	8.763
481.2	9.001
481.4	9.359
481.6	9.414
481.8	9.675
482.0	9.746
482.2	9.879
482.4	9.956
482.6	10.21
482.8	10.36
483.0	10.67
483.2	10.84
483.4	10.80
483.6	10.79
483.8	11.18
484.0	11.39
484.2	11.72
484.4	12.07
484.6	12.19
484.8	12.48
485.0	12.80
485.2	12.91
485.4	12.99
485.6	13.37
485.8	13.51
486.0	13.76
486.2	14.15
486.4	14.32
486.6	14.26
486.8	14.57
487.0	14.87
487.2	15.16
487.4	15.70
487.6	16.26
487.8	16.46
488.0	16.97
488.2	17.44
488.4	17.61
488.6	17.52
488.8	17.81
489.0	18.37
489.2	19.13
489.4	19.80
489.6	20.40
489.8	20.70
490.0	20.96
490.2	21.38
490.4	21.76
490.6	22.33
490.8	23.13
491.0	23.64
491.2	23.96
491.4	24.26
491.6	24.77
491.8	25.59
492.0	26.52
492.2	27.15
492.4	27.76
492.6	28.44
492.8	29.08
493.0	29.63
493.2	30.48
493.4	31.27
493.6	32.33
493.8	33.29
494.0	34.39
494.2	35.04
494.4	35.73
494.6	36.67
494.8	37.79
495.0	39.05
495.2	40.50
495.4	41.59
495.6	42.13
495.8	43.21
496.0	44.22
496.2	45.59
496.4	47.15
496.6	48.98
496.8	50.45
497.0	51.78
497.2	53.03
497.4	54.50
497.6	55.96
497.8	57.78
498.0	59.97
498.2	61.67
498.4	62.84
498.6	64.34
498.8	65.92
499.0	67.41
499.2	69.29
499.4	71.44
499.6	73.63
499.8	76.22
500.0	79.16
500.2	82.17
500.4	84.99
500.6	87.45
500.8	89.83
501.0	92.33
501.2	94.46
501.4	97.34
501.6	100.3
501.8	103.0
502.0	105.8
502.2	109.6
502.4	112.4
502.6	115.9
502.8	119.4
503.0	123.2
503.2	126.3
503.4	129.9
503.6	133.6
503.8	138.1
504.0	142.0
504.2	146.5
504.4	150.2
504.6	154.5
504.8	159.0
505.0	164.2
505.2	168.0
505.4	172.4
505.6	176.9
505.8	182.1
506.0	187.0
506.2	192.7
506.4	197.6
506.6	202.8
506.8	208.2
507.0	214.7
507.2	220.8
507.4	226.1
507.6	231.8
507.8	238.0
508.0	244.1
508.2	251.9
508.4	258.2
508.6	263.5
508.8	270.0
509.0	277.1
509.2	284.0
509.4	290.4
509.6	297.1
509.8	303.9
510.0	312.0
510.2	319.2
510.4	327.9
510.6	336.0
510.8	344.0
511.0	351.5
511.2	360.7
511.4	367.5
511.6	376.9
511.8	385.8
512.0	394.2
512.2	402.6
512.4	412.9
512.6	421.9
512.8	431.1
513.0	439.9
513.2	448.6
513.4	456.2
513.6	466.1
513.8	477.0
514.0	489.4
514.2	501.5
514.4	511.6
514.6	519.1
514.8	528.7
515.0	539.1
515.2	550.7
515.4	561.3
515.6	572.0
515.8	583.7
516.0	596.6
516.2	608.2
516.4	618.5
516.6	628.6
516.8	639.6
517.0	654.1
517.2	667.7
517.4	677.7
517.6	688.0
517.8	699.9
518.0	713.4
518.2	728.3
518.4	741.5
518.6	752.0
518.8	763.9
519.0	777.4
519.2	790.9
519.4	804.2
519.6	817.4
519.8	830.6
520.0	842.3
520.2	856.8
520.4	872.9
520.6	888.5
520.8	903.2
521.0	915.8
521.2	924.5
521.4	937.8
521.6	953.4
521.8	970.4
522.0	986.9
522.2	1001
522.4	1016
522.6	1030
522.8	1043
523.0	1061
523.2	1077
523.4	1092
523.6	1107
523.8	1120
524.0	1132
524.2	1150
524.4	1165
524.6	1181
524.8	1196
525.0	1212
525.2	1227
525.4	1245
525.6	1260
525.8	1277
526.0	1295
526.2	1311
526.4	1325
526.6	1341
526.8	1356
527.0	1376
527.2	1394
527.4	1411
527.6	1423
527.8	1437
528.0	1451
528.2	1467
528.4	1484
528.6	1505
528.8	1522
529.0	1536
529.2	1548
529.4	1564
529.6	1580
529.8	1602
530.0	1620
530.2	1636
530.4	1655
530.6	1674
530.8	1692
531.0	1712
531.2	1725
531.4	1739
531.6	1754
531.8	1772
532.0	1789
532.2	1808
532.4	1819
532.6	1836
532.8	1851
533.0	1870
533.2	1882
533.4	1903
533.6	1918
533.8	1936
534.0	1951
534.2	1966
534.4	1977
534.6	1998
534.8	2019
535.0	2037
535.2	2051
535.4	2066
535.6	2080
535.8	2098
536.0	2116
536.2	2135
536.4	2152
536.6	2171
536.8	2190
537.0	2202
537.2	2215
537.4	2226
537.6	2238
537.8	2254
538.0	2270
538.2	2286
538.4	2305
538.6	2320
538.8	2337
539.0	2353
539.2	2366
539.4	2384
539.6	2399
539.8	2415
540.0	2430
540.2	2439
540.4	2450
540.6	2463
540.8	2477
541.0	2496
541.2	2516
541.4	2533
541.6	2546
541.8	2560
542.0	2572
542.2	2586
542.4	2599
542.6	2617
542.8	2627
543.0	2638
543.2	2650
543.4	2662
543.6	2672
543.8	2690
544.0	2702
544.2	2710
544.4	2721
544.6	2734
544.8	2740
545.0	2751
545.2	2759
545.4	2770
545.6	2788
545.8	2807
546.0	2820
546.2	2832
546.4	2841
546.6	2849
546.8	2860
547.0	2870
547.2	2876
547.4	2886
547.6	2896
547.8	2906
548.0	2920
548.2	2931
548.4	2940
548.6	2948
548.8	2954
549.0	2964
549.2	2975
549.4	2983
549.6	2995
549.8	3002
550.0	3014
550.2	3024
550.4	3031
550.6	3035
550.8	3040
551.0	3047
551.2	3061
551.4	3070
551.6	3080
551.8	3081
552.0	3086
552.2	3088
552.4	3097
552.6	3106
552.8	3111
553.0	3114
553.2	3122
553.4	3124
553.6	3127
553.8	3132
554.0	3132
554.2	3137
554.4	3148
554.6	3155
554.8	3156
555.0	3161
555.2	3162
555.4	3164
555.6	3171
555.8	3178
556.0	3182
556.2	3187
556.4	3194
556.6	3197
556.8	3198
557.0	3197
557.2	3193
557.4	3190
557.6	3194
557.8	3196
558.0	3203
558.2	3205
558.4	3209
558.6	3207
558.8	3204
559.0	3202
559.2	3205
559.4	3208
559.6	3210
559.8	3206
560.0	3207
560.2	3209
560.4	3211
560.6	3210
560.8	3209
561.0	3206
561.2	3204
561.4	3206
561.6	3209
561.8	3208
562.0	3210
562.2	3209
562.4	3201
