Sample:	'20211010A(EM)
File name:	G-CDs 5 500.FDS
Run date:	'19:02:11, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	435 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	452.4	453.4	36.70	453.4	35.61
2	453.4	549.2	782.6	5449	782.6	5.041

Data points
nm	Data
420.0	11.65
420.2	11.73
420.4	11.57
420.6	11.34
420.8	11.27
421.0	11.27
421.2	11.40
421.4	11.70
421.6	11.65
421.8	11.42
422.0	11.32
422.2	10.96
422.4	10.97
422.6	11.30
422.8	11.46
423.0	11.47
423.2	11.65
423.4	11.59
423.6	11.71
423.8	11.62
424.0	11.39
424.2	11.08
424.4	11.17
424.6	11.34
424.8	11.59
425.0	11.64
425.2	11.50
425.4	11.41
425.6	11.44
425.8	11.43
426.0	11.47
426.2	11.29
426.4	11.36
426.6	11.50
426.8	11.33
427.0	11.24
427.2	11.34
427.4	11.20
427.6	11.57
427.8	11.76
428.0	11.84
428.2	12.13
428.4	12.13
428.6	12.02
428.8	11.76
429.0	11.43
429.2	11.25
429.4	11.50
429.6	11.52
429.8	11.79
430.0	11.74
430.2	11.90
430.4	11.89
430.6	12.13
430.8	12.04
431.0	12.10
431.2	11.88
431.4	12.00
431.6	12.05
431.8	12.28
432.0	12.57
432.2	12.68
432.4	12.54
432.6	12.56
