Sample:	'20211010A(EM)
File name:	G-CDs 5.FDS
Run date:	'19:00:48, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	435 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	542.4	782.0	3718	782.0	2.865

Data points
nm	Data
420.0	2.586
420.2	2.622
420.4	2.572
420.6	2.488
420.8	2.451
421.0	2.438
421.2	2.538
421.4	2.588
421.6	2.599
421.8	2.571
422.0	2.537
422.2	2.545
422.4	2.621
422.6	2.675
422.8	2.584
423.0	2.441
423.2	2.486
423.4	2.540
423.6	2.616
423.8	2.746
424.0	2.722
424.2	2.512
424.4	2.526
424.6	2.486
424.8	2.533
425.0	2.593
425.2	2.641
425.4	2.596
425.6	2.601
425.8	2.613
426.0	2.564
426.2	2.417
426.4	2.433
426.6	2.510
426.8	2.522
427.0	2.595
427.2	2.551
427.4	2.471
427.6	2.532
427.8	2.549
428.0	2.541
428.2	2.615
428.4	2.627
428.6	2.587
428.8	2.580
429.0	2.609
429.2	2.678
429.4	2.729
429.6	2.743
429.8	2.714
430.0	2.622
430.2	2.674
430.4	2.566
430.6	2.559
430.8	2.646
431.0	2.761
431.2	2.802
431.4	2.932
431.6	2.836
431.8	2.819
432.0	2.839
432.2	2.762
432.4	2.640
432.6	2.601
432.8	2.566
433.0	2.579
433.2	2.743
433.4	2.806
433.6	2.864
433.8	2.908
434.0	2.933
434.2	2.939
434.4	3.037
434.6	3.014
434.8	2.952
435.0	2.980
435.2	2.962
435.4	3.166
435.6	3.238
435.8	3.226
436.0	3.179
436.2	3.254
436.4	3.170
436.6	3.253
436.8	3.125
437.0	3.144
437.2	3.233
437.4	3.318
437.6	3.387
437.8	3.423
438.0	3.505
438.2	3.601
438.4	3.710
438.6	3.686
438.8	3.655
439.0	3.539
439.2	3.536
439.4	3.619
439.6	3.695
439.8	3.772
440.0	3.817
440.2	3.813
440.4	3.890
440.6	3.964
440.8	3.928
441.0	3.971
441.2	3.921
441.4	3.979
441.6	4.163
441.8	4.229
442.0	4.267
442.2	4.333
442.4	4.270
442.6	4.239
442.8	4.355
443.0	4.417
443.2	4.532
443.4	4.705
443.6	4.689
443.8	4.648
444.0	4.680
444.2	4.647
444.4	4.778
444.6	4.877
444.8	4.952
445.0	5.075
445.2	5.064
445.4	5.005
445.6	4.908
445.8	4.784
446.0	4.801
446.2	4.874
446.4	4.876
446.6	5.038
446.8	5.134
447.0	5.319
447.2	5.405
447.4	5.418
447.6	5.282
447.8	5.212
448.0	5.155
448.2	5.316
448.4	5.359
448.6	5.472
448.8	5.462
449.0	5.493
449.2	5.456
449.4	5.570
449.6	5.633
449.8	5.692
450.0	5.870
450.2	6.031
450.4	5.864
450.6	5.744
450.8	5.628
451.0	5.639
451.2	6.012
451.4	6.106
451.6	6.087
451.8	5.992
452.0	5.796
452.2	5.938
452.4	6.172
452.6	6.140
452.8	6.142
453.0	6.017
453.2	5.839
453.4	5.930
453.6	6.025
453.8	5.991
454.0	6.040
454.2	6.090
454.4	6.067
454.6	6.229
454.8	6.381
455.0	6.205
455.2	6.230
455.4	6.284
455.6	6.212
455.8	6.355
456.0	6.512
456.2	6.447
456.4	6.581
456.6	6.632
456.8	6.545
457.0	6.470
457.2	6.397
457.4	6.508
457.6	6.706
457.8	6.737
458.0	6.790
458.2	6.832
458.4	6.747
458.6	6.825
458.8	6.820
459.0	6.761
459.2	6.915
459.4	7.064
459.6	7.092
459.8	7.139
460.0	7.352
460.2	7.408
460.4	7.718
460.6	7.976
460.8	8.072
461.0	8.020
461.2	8.138
461.4	8.093
461.6	8.265
461.8	8.457
462.0	8.556
462.2	8.624
462.4	8.854
462.6	9.045
462.8	9.261
463.0	9.411
463.2	9.681
463.4	9.824
463.6	10.25
463.8	10.35
464.0	10.54
464.2	10.66
464.4	10.89
464.6	11.20
464.8	11.81
465.0	12.13
465.2	12.51
465.4	12.59
465.6	12.60
465.8	12.78
466.0	13.03
466.2	13.21
466.4	13.75
466.6	14.19
466.8	14.66
467.0	15.05
467.2	15.23
467.4	15.67
467.6	16.20
467.8	16.85
468.0	17.28
468.2	17.40
468.4	17.75
468.6	18.35
468.8	18.97
469.0	19.85
469.2	20.13
469.4	20.58
469.6	21.32
469.8	21.95
470.0	22.56
470.2	23.42
470.4	23.68
470.6	24.57
470.8	25.41
471.0	26.15
471.2	26.77
471.4	27.50
471.6	28.32
471.8	29.55
472.0	30.43
472.2	31.48
472.4	32.52
472.6	33.16
472.8	34.22
473.0	34.82
473.2	35.51
473.4	36.34
473.6	37.09
473.8	37.96
474.0	39.15
474.2	39.95
474.4	41.46
474.6	42.50
474.8	43.67
475.0	45.06
475.2	46.36
475.4	47.48
475.6	48.83
475.8	50.12
476.0	51.90
476.2	53.42
476.4	54.73
476.6	55.75
476.8	56.62
477.0	58.03
477.2	59.89
477.4	61.71
477.6	63.21
477.8	64.49
478.0	65.65
478.2	66.47
478.4	68.09
478.6	70.08
478.8	71.94
479.0	74.06
479.2	75.90
479.4	76.97
479.6	78.70
479.8	80.72
480.0	82.84
480.2	85.44
480.4	87.73
480.6	89.99
480.8	91.74
481.0	93.68
481.2	95.05
481.4	96.97
481.6	99.23
481.8	102.3
482.0	105.0
482.2	107.4
482.4	109.4
482.6	111.8
482.8	114.2
483.0	117.4
483.2	120.0
483.4	122.3
483.6	125.3
483.8	128.6
484.0	131.2
484.2	133.5
484.4	135.5
484.6	137.9
484.8	141.3
485.0	145.6
485.2	149.3
485.4	152.1
485.6	155.4
485.8	158.5
