Sample:	'20211010A(EM)
File name:	G-CDs 2 200.FDS
Run date:	'14:59:19, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	440 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	545.0	547.0	6668	547.0	6637
2	547.0	548.0	777.2	6648	777.2	7.035

Data points
nm	Data
420.0	92.61
420.2	92.63
420.4	93.51
420.6	94.72
420.8	95.61
421.0	95.30
421.2	95.26
421.4	96.07
421.6	96.55
421.8	96.45
422.0	96.29
422.2	95.97
422.4	96.97
422.6	98.31
422.8	99.53
423.0	99.88
423.2	100.1
423.4	100.1
423.6	100.1
423.8	100.5
424.0	101.0
424.2	101.6
424.4	102.0
424.6	102.0
424.8	102.1
425.0	102.7
425.2	103.1
425.4	103.4
425.6	103.5
425.8	103.7
426.0	104.2
426.2	104.5
426.4	104.9
426.6	105.1
426.8	105.7
427.0	106.9
427.2	108.1
427.4	108.3
427.6	108.2
427.8	107.8
428.0	107.5
428.2	108.1
428.4	109.1
428.6	109.8
428.8	110.5
429.0	111.0
429.2	110.8
429.4	111.0
429.6	111.0
429.8	111.6
430.0	112.2
430.2	113.1
430.4	113.6
430.6	114.3
430.8	113.9
431.0	114.1
431.2	114.5
431.4	115.0
431.6	115.8
431.8	116.1
432.0	116.4
432.2	117.2
432.4	117.9
432.6	117.9
432.8	118.4
433.0	118.1
433.2	118.5
433.4	119.2
433.6	119.1
433.8	118.9
434.0	119.7
434.2	120.5
434.4	121.5
434.6	122.1
434.8	122.5
435.0	123.7
435.2	124.8
435.4	125.7
435.6	126.2
435.8	126.0
436.0	126.2
436.2	127.8
436.4	128.8
436.6	129.8
436.8	130.9
437.0	131.2
437.2	131.9
437.4	133.0
437.6	134.1
437.8	135.8
438.0	136.3
438.2	136.9
438.4	137.2
438.6	137.8
438.8	138.3
439.0	139.8
439.2	140.3
439.4	141.5
439.6	142.8
439.8	144.2
440.0	145.2
440.2	146.2
440.4	146.8
440.6	147.9
440.8	148.9
441.0	149.8
441.2	151.6
441.4	153.4
441.6	154.7
441.8	157.0
442.0	157.6
442.2	158.2
442.4	159.4
442.6	160.9
442.8	161.7
443.0	163.5
443.2	164.4
443.4	165.8
443.6	167.7
443.8	169.6
444.0	171.9
444.2	174.1
444.4	176.1
444.6	177.0
444.8	178.2
445.0	180.6
445.2	182.3
445.4	183.3
445.6	185.0
445.8	186.0
446.0	187.7
446.2	190.6
446.4	192.6
446.6	194.4
446.8	196.1
447.0	196.9
447.2	197.6
447.4	198.7
447.6	199.6
447.8	201.7
448.0	203.2
448.2	204.5
448.4	206.4
448.6	207.7
448.8	208.7
449.0	211.3
449.2	213.2
449.4	214.8
449.6	217.3
449.8	218.8
450.0	220.1
450.2	220.9
450.4	222.0
450.6	223.2
450.8	225.7
451.0	228.1
451.2	228.7
451.4	229.7
451.6	231.8
451.8	232.8
452.0	233.5
452.2	233.9
452.4	233.7
452.6	235.3
452.8	237.3
453.0	239.5
453.2	240.4
453.4	241.3
453.6	241.6
453.8	242.0
454.0	242.3
454.2	243.7
454.4	244.3
454.6	245.5
454.8	246.5
455.0	247.6
455.2	248.1
455.4	248.5
455.6	248.7
455.8	249.0
456.0	249.3
456.2	250.4
456.4	251.6
456.6	253.0
456.8	254.0
457.0	254.8
457.2	255.0
457.4	255.2
457.6	255.2
457.8	255.2
458.0	255.9
458.2	256.7
458.4	257.6
458.6	258.0
458.8	257.7
459.0	257.7
459.2	258.3
459.4	258.8
459.6	259.7
459.8	260.4
460.0	260.6
460.2	260.6
460.4	260.8
460.6	262.0
460.8	262.8
461.0	263.2
461.2	263.5
461.4	262.9
461.6	263.2
461.8	264.1
462.0	265.0
462.2	265.3
462.4	266.4
462.6	267.3
462.8	268.3
463.0	268.6
463.2	269.1
463.4	268.8
463.6	270.1
463.8	271.9
464.0	273.9
464.2	275.6
464.4	276.7
464.6	277.5
464.8	278.9
465.0	280.6
465.2	282.8
465.4	283.7
465.6	285.1
465.8	286.0
466.0	288.4
466.2	290.1
466.4	292.0
466.6	293.1
466.8	295.0
467.0	296.5
467.2	299.4
467.4	302.1
467.6	304.5
467.8	308.2
468.0	311.1
468.2	313.0
468.4	315.5
468.6	317.5
468.8	319.0
469.0	321.9
469.2	325.1
469.4	328.4
469.6	333.4
469.8	336.4
470.0	339.2
470.2	342.9
470.4	347.0
470.6	350.8
470.8	355.7
471.0	359.3
471.2	362.2
471.4	367.7
471.6	371.8
471.8	376.2
472.0	381.4
472.2	386.7
472.4	390.8
472.6	395.9
472.8	399.8
473.0	405.6
473.2	409.5
473.4	414.0
473.6	417.8
473.8	423.2
474.0	428.8
474.2	437.1
474.4	444.1
474.6	451.5
474.8	457.5
475.0	464.0
475.2	468.2
475.4	475.2
475.6	481.7
475.8	489.3
476.0	495.6
476.2	502.4
476.4	508.2
476.6	515.3
476.8	521.1
477.0	528.6
477.2	535.9
477.4	543.6
477.6	551.0
477.8	557.8
478.0	563.7
478.2	570.5
478.4	577.4
478.6	585.1
478.8	594.0
479.0	601.2
479.2	610.3
479.4	619.2
479.6	628.5
479.8	636.1
480.0	644.4
480.2	652.4
480.4	663.0
480.6	672.5
480.8	682.0
481.0	688.6
481.2	697.8
481.4	706.7
481.6	716.6
481.8	726.1
482.0	734.5
482.2	743.4
482.4	753.0
482.6	763.2
482.8	774.0
483.0	783.4
483.2	792.1
483.4	801.7
483.6	810.6
483.8	822.6
484.0	834.3
484.2	846.2
484.4	856.4
484.6	865.6
484.8	874.4
485.0	884.0
485.2	893.7
485.4	905.2
485.6	915.7
485.8	925.7
486.0	938.0
486.2	948.4
486.4	959.1
486.6	970.5
486.8	982.4
487.0	993.4
487.2	1006
487.4	1014
487.6	1025
487.8	1038
488.0	1050
488.2	1063
488.4	1075
488.6	1088
488.8	1099
489.0	1113
489.2	1125
489.4	1138
489.6	1150
489.8	1163
490.0	1175
490.2	1190
490.4	1204
490.6	1218
490.8	1231
491.0	1243
491.2	1260
491.4	1275
491.6	1288
491.8	1301
492.0	1314
492.2	1330
492.4	1345
492.6	1359
492.8	1372
493.0	1388
493.2	1405
493.4	1423
493.6	1440
493.8	1454
494.0	1468
494.2	1486
494.4	1502
494.6	1519
494.8	1536
495.0	1552
495.2	1569
495.4	1590
495.6	1609
495.8	1629
496.0	1646
496.2	1662
496.4	1679
496.6	1698
496.8	1715
497.0	1733
497.2	1753
497.4	1771
497.6	1791
497.8	1811
498.0	1830
498.2	1849
498.4	1871
498.6	1894
498.8	1912
499.0	1932
499.2	1953
499.4	1974
499.6	1997
499.8	2024
500.0	2045
500.2	2067
500.4	2089
500.6	2113
500.8	2138
501.0	2163
501.2	2187
501.4	2210
501.6	2233
501.8	2259
502.0	2283
502.2	2307
502.4	2332
502.6	2358
502.8	2383
503.0	2408
503.2	2432
503.4	2455
503.6	2478
503.8	2500
504.0	2528
504.2	2557
504.4	2587
504.6	2616
504.8	2639
505.0	2659
505.2	2692
505.4	2721
505.6	2748
505.8	2779
506.0	2802
506.2	2824
506.4	2852
506.6	2882
506.8	2910
507.0	2940
507.2	2962
507.4	2992
507.6	3022
507.8	3054
508.0	3084
508.2	3114
508.4	3138
508.6	3169
508.8	3196
509.0	3222
509.2	3255
509.4	3292
509.6	3328
509.8	3359
510.0	3383
510.2	3404
510.4	3431
510.6	3464
510.8	3500
511.0	3532
511.2	3567
511.4	3593
511.6	3620
511.8	3647
512.0	3672
512.2	3703
512.4	3735
512.6	3764
512.8	3793
513.0	3821
513.2	3847
513.4	3883
513.6	3914
513.8	3947
514.0	3976
514.2	4007
514.4	4033
514.6	4065
514.8	4096
515.0	4127
515.2	4156
515.4	4188
515.6	4217
515.8	4253
516.0	4278
516.2	4308
516.4	4329
516.6	4354
516.8	4387
517.0	4424
517.2	4459
517.4	4492
517.6	4510
517.8	4532
518.0	4562
518.2	4597
518.4	4633
518.6	4662
518.8	4688
519.0	4716
519.2	4750
519.4	4780
519.6	4802
519.8	4820
520.0	4841
520.2	4869
520.4	4904
520.6	4938
520.8	4965
521.0	4987
521.2	5007
521.4	5033
521.6	5064
521.8	5099
522.0	5126
522.2	5157
522.4	5181
522.6	5208
522.8	5236
523.0	5249
523.2	5262
523.4	5288
523.6	5311
523.8	5345
524.0	5374
524.2	5396
524.4	5418
524.6	5437
524.8	5456
525.0	5478
525.2	5505
525.4	5537
525.6	5560
525.8	5583
526.0	5609
526.2	5633
526.4	5656
526.6	5676
526.8	5694
527.0	5713
527.2	5735
527.4	5752
527.6	5767
527.8	5791
528.0	5819
528.2	5839
528.4	5853
528.6	5868
528.8	5884
529.0	5906
529.2	5932
529.4	5954
529.6	5972
529.8	5995
530.0	6016
530.2	6033
530.4	6047
530.6	6056
530.8	6065
531.0	6077
531.2	6097
531.4	6121
531.6	6134
531.8	6152
532.0	6168
532.2	6187
532.4	6207
532.6	6227
532.8	6228
533.0	6236
533.2	6243
533.4	6262
533.6	6279
533.8	6297
534.0	6302
534.2	6307
534.4	6314
534.6	6335
534.8	6353
535.0	6374
535.2	6390
535.4	6404
535.6	6416
535.8	6429
536.0	6429
536.2	6436
536.4	6437
536.6	6445
536.8	6461
537.0	6467
537.2	6469
537.4	6489
537.6	6499
537.8	6517
538.0	6539
538.2	6543
538.4	6541
538.6	6546
538.8	6550
539.0	6559
539.2	6565
539.4	6574
539.6	6581
539.8	6590
540.0	6600
540.2	6607
540.4	6609
540.6	6611
540.8	6610
541.0	6616
541.2	6628
541.4	6641
541.6	6647
541.8	6651
542.0	6650
542.2	6647
542.4	6647
542.6	6651
542.8	6646
543.0	6647
543.2	6650
543.4	6653
543.6	6655
543.8	6660
544.0	6658
544.2	6650
544.4	6652
544.6	6659
544.8	6665
545.0	6668
545.2	6664
545.4	6658
545.6	6659
545.8	6660
546.0	6662
546.2	6657
546.4	6649
546.6	6643
546.8	6641
547.0	6637
547.2	6640
547.4	6646
547.6	6647
547.8	6648
548.0	6648
548.2	6641
548.4	6633
548.6	6629
548.8	6618
549.0	6613
549.2	6612
549.4	6612
549.6	6605
549.8	6599
550.0	6595
550.2	6587
550.4	6582
550.6	6582
550.8	6574
551.0	6574
551.2	6568
551.4	6554
551.6	6547
551.8	6531
552.0	6519
552.2	6517
552.4	6508
552.6	6507
552.8	6507
553.0	6492
553.2	6490
553.4	6486
553.6	6476
553.8	6473
554.0	6455
554.2	6438
554.4	6433
554.6	6434
554.8	6431
555.0	6429
555.2	6412
555.4	6393
555.6	6380
555.8	6369
556.0	6365
556.2	6355
556.4	6351
556.6	6339
556.8	6324
557.0	6308
557.2	6298
557.4	6281
557.6	6278
557.8	6267
558.0	6263
558.2	6250
558.4	6238
558.6	6218
558.8	6200
559.0	6185
559.2	6183
559.4	6165
559.6	6159
559.8	6147
560.0	6132
560.2	6119
560.4	6099
560.6	6079
560.8	6072
561.0	6059
561.2	6051
561.4	6037
