Sample:	'20211010A(EM)
File name:	G-CDs 4.FDS
Run date:	'15:07:04, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	460 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	537.8	758.2	9817	758.2	12.74
2	758.2	759.0	779.4	13.82	779.4	6.788

Data points
nm	Data
420.0	72.77
420.2	73.35
420.4	73.51
420.6	73.64
420.8	74.46
421.0	75.99
421.2	77.02
421.4	77.93
421.6	78.59
421.8	78.02
422.0	78.25
422.2	78.67
422.4	79.23
422.6	79.24
422.8	80.42
423.0	80.91
423.2	81.95
423.4	82.71
423.6	83.46
423.8	83.72
424.0	84.35
424.2	85.06
424.4	85.91
424.6	86.32
424.8	87.00
425.0	87.64
425.2	87.91
425.4	88.19
425.6	88.38
425.8	88.29
426.0	88.54
426.2	89.38
426.4	90.39
426.6	90.67
426.8	91.44
427.0	92.03
427.2	92.57
427.4	93.30
427.6	94.33
427.8	94.98
428.0	95.97
428.2	96.03
428.4	95.54
428.6	95.97
428.8	96.71
429.0	97.88
429.2	99.00
429.4	99.18
429.6	99.42
429.8	100.1
430.0	100.6
430.2	101.1
430.4	101.2
430.6	101.6
430.8	102.8
431.0	103.4
431.2	104.3
431.4	104.7
431.6	104.5
431.8	105.0
432.0	106.1
432.2	107.2
432.4	108.3
432.6	108.6
432.8	107.9
433.0	107.8
433.2	108.9
433.4	109.8
433.6	111.6
433.8	112.6
434.0	112.4
434.2	112.8
434.4	113.8
434.6	114.3
434.8	115.4
435.0	115.8
435.2	116.0
435.4	116.5
435.6	117.8
435.8	118.1
436.0	118.6
436.2	119.8
436.4	121.0
436.6	121.8
436.8	123.1
437.0	123.2
437.2	124.3
437.4	125.4
437.6	126.2
437.8	126.0
438.0	126.7
438.2	127.6
438.4	129.2
438.6	129.6
438.8	129.8
439.0	130.6
439.2	131.8
439.4	132.9
439.6	134.4
439.8	134.6
440.0	134.5
440.2	135.8
440.4	136.9
440.6	137.7
440.8	139.2
441.0	139.8
441.2	140.7
441.4	141.6
441.6	142.4
441.8	142.5
442.0	143.1
442.2	144.0
442.4	144.6
442.6	145.0
442.8	145.6
443.0	146.8
443.2	148.3
443.4	149.3
443.6	149.8
443.8	150.9
444.0	151.1
444.2	152.3
444.4	152.6
444.6	152.7
444.8	153.7
445.0	155.3
445.2	156.4
445.4	157.5
445.6	158.0
445.8	158.6
446.0	159.7
446.2	160.5
446.4	160.9
446.6	161.0
446.8	161.9
447.0	162.2
447.2	163.0
447.4	163.3
447.6	163.9
447.8	164.4
448.0	166.0
448.2	166.5
448.4	166.8
448.6	167.5
448.8	168.4
449.0	167.9
449.2	168.6
449.4	168.3
449.6	168.1
449.8	168.2
450.0	168.8
450.2	169.1
450.4	170.7
450.6	171.0
450.8	171.7
451.0	172.1
451.2	172.1
451.4	172.1
451.6	173.2
451.8	172.9
452.0	173.5
452.2	174.4
452.4	174.1
452.6	174.7
452.8	174.8
453.0	174.4
453.2	175.2
453.4	177.1
453.6	178.0
453.8	178.6
454.0	176.3
454.2	175.9
454.4	176.1
454.6	177.8
454.8	178.1
455.0	178.5
455.2	177.8
455.4	178.7
455.6	181.0
455.8	183.2
456.0	184.5
456.2	185.4
456.4	185.6
456.6	185.4
456.8	186.2
457.0	186.0
457.2	187.2
457.4	187.9
457.6	188.8
457.8	190.3
458.0	191.8
458.2	192.2
458.4	194.5
458.6	195.7
458.8	195.9
459.0	196.8
459.2	196.8
459.4	198.1
459.6	201.7
459.8	204.7
460.0	206.0
