Sample:	'20211010A(EM)
File name:	G-CDs 8.FDS
Run date:	'16:38:01, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	455 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	535.4	536.6	9997	536.6	9994
2	536.6	537.4	786.0	*****   	786.0	6.330

Data points
nm	Data
420.0	67.34
420.2	67.27
420.4	67.12
420.6	67.12
420.8	67.84
421.0	68.72
421.2	69.17
421.4	69.74
421.6	70.36
421.8	70.26
422.0	70.94
422.2	70.99
422.4	71.47
422.6	72.40
422.8	73.18
423.0	73.67
423.2	74.33
423.4	74.72
423.6	75.75
423.8	75.81
424.0	76.14
424.2	76.05
424.4	76.42
424.6	77.01
424.8	77.87
425.0	78.32
425.2	79.18
425.4	79.21
425.6	79.94
425.8	81.06
426.0	81.68
426.2	81.93
426.4	82.66
426.6	83.16
426.8	83.17
427.0	83.65
427.2	83.87
427.4	83.71
427.6	84.13
427.8	85.17
428.0	85.56
428.2	85.95
428.4	86.91
428.6	86.93
428.8	87.32
429.0	87.71
429.2	87.09
429.4	87.11
429.6	88.03
429.8	88.11
430.0	89.63
430.2	90.74
430.4	91.44
430.6	92.06
430.8	92.92
431.0	92.70
431.2	93.50
431.4	94.13
431.6	94.93
431.8	95.05
432.0	95.67
432.2	96.28
432.4	97.05
432.6	97.85
432.8	97.89
433.0	98.02
433.2	98.13
433.4	98.81
433.6	99.64
433.8	100.7
434.0	101.5
434.2	103.1
434.4	103.1
434.6	103.4
434.8	103.1
435.0	103.6
435.2	105.0
435.4	106.5
435.6	106.9
435.8	107.5
436.0	108.1
436.2	109.0
436.4	109.2
436.6	109.6
436.8	109.6
437.0	110.6
437.2	111.9
437.4	113.6
437.6	115.1
437.8	116.2
438.0	115.9
438.2	116.4
438.4	116.4
438.6	116.7
438.8	117.6
439.0	118.4
439.2	118.6
439.4	119.7
439.6	120.7
439.8	121.5
440.0	122.4
440.2	123.2
440.4	124.2
440.6	126.0
440.8	126.9
441.0	127.6
441.2	128.5
441.4	128.8
441.6	129.7
441.8	130.3
442.0	130.8
442.2	131.1
442.4	132.2
442.6	133.0
442.8	134.4
443.0	134.3
443.2	135.3
443.4	135.7
443.6	135.6
443.8	136.8
444.0	138.3
444.2	139.1
444.4	140.9
444.6	142.1
444.8	142.4
445.0	143.2
445.2	143.6
445.4	144.1
445.6	144.5
445.8	145.1
446.0	145.4
446.2	146.2
446.4	146.1
446.6	147.2
446.8	147.6
447.0	147.9
447.2	149.2
447.4	150.7
447.6	151.2
447.8	152.2
448.0	152.2
448.2	151.7
448.4	152.2
448.6	152.5
448.8	152.7
449.0	153.8
449.2	154.7
449.4	155.5
449.6	155.5
449.8	156.1
450.0	155.8
450.2	156.8
450.4	157.4
450.6	158.4
450.8	158.7
451.0	159.0
