Sample:	'20211010A(EM)
File name:	G-CDs 9 900.FDS
Run date:	'16:54:56, 06/10/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	400.0 nm
EM  Start WL:	420.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	450 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	420.0	424.6	425.4	14.29	425.4	13.23
2	425.4	546.2	783.0	6758	783.0	6.151

Data points
nm	Data
420.0	13.76
420.2	13.33
420.4	13.25
420.6	13.36
420.8	13.24
421.0	13.40
421.2	13.71
421.4	13.76
421.6	14.17
421.8	14.08
422.0	13.64
422.2	13.57
422.4	13.35
422.6	13.27
422.8	13.29
423.0	13.19
423.2	13.30
423.4	13.68
423.6	13.80
423.8	13.96
424.0	14.03
424.2	14.06
424.4	14.19
424.6	14.29
424.8	13.94
425.0	13.60
425.2	13.43
425.4	13.23
425.6	13.23
425.8	13.55
426.0	13.69
426.2	13.98
426.4	14.12
426.6	13.83
426.8	13.70
427.0	13.91
427.2	14.08
427.4	14.08
427.6	14.38
427.8	14.19
428.0	13.89
428.2	13.81
428.4	13.61
428.6	13.62
428.8	14.06
429.0	14.47
429.2	14.49
429.4	14.56
429.6	14.46
429.8	14.37
430.0	14.23
430.2	14.50
430.4	14.41
430.6	14.48
430.8	14.59
431.0	14.59
431.2	14.58
431.4	14.97
431.6	14.81
431.8	14.82
432.0	14.86
432.2	15.07
