Sample:	'20211010A(EM)
File name:	R-CDs 1.FDS
Run date:	'10:59:36, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	900.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	515 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	606.6	607.8	9601	607.8	9585
2	607.8	609.2	797.4	9602	797.4	52.99
3	797.4	798.2	800.6	54.27	800.6	50.24
4	800.6	801.6	900.0	51.73	900.0	1.752

Data points
nm	Data
540.0	530.9
540.2	544.6
540.4	553.1
540.6	559.3
540.8	567.3
541.0	578.5
541.2	588.7
541.4	599.5
541.6	608.4
541.8	615.6
542.0	623.7
542.2	633.6
542.4	642.0
542.6	655.2
542.8	666.4
543.0	676.9
543.2	686.9
543.4	693.1
543.6	700.4
543.8	715.1
544.0	727.3
544.2	739.7
544.4	754.5
544.6	762.8
544.8	770.9
545.0	785.1
545.2	796.0
545.4	807.2
545.6	822.4
545.8	833.5
546.0	843.7
546.2	858.9
546.4	869.0
546.6	881.0
546.8	893.4
547.0	907.4
547.2	921.2
547.4	938.8
547.6	952.4
547.8	964.2
548.0	976.9
548.2	990.5
548.4	1007
548.6	1027
548.8	1044
549.0	1057
549.2	1070
549.4	1084
549.6	1103
549.8	1122
550.0	1139
550.2	1157
550.4	1173
550.6	1192
550.8	1212
551.0	1228
551.2	1242
551.4	1259
551.6	1272
551.8	1286
552.0	1308
552.2	1331
552.4	1352
552.6	1373
552.8	1388
553.0	1408
553.2	1427
553.4	1446
553.6	1463
