Sample:	'20211010A(EM)
File name:	R-CDs 7 700.FDS
Run date:	'11:20:15, 06/11/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	810.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	515 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	603.4	605.6	364.0	605.6	358.3
2	605.6	606.8	608.4	364.1	608.4	358.8
3	608.4	609.0	611.4	362.8	611.4	360.3
4	611.4	611.8	612.6	363.0	612.6	358.1
5	612.6	613.6	618.6	361.2	618.6	350.4
6	618.6	620.0	810.0	353.8	810.0	2.785

Data points
nm	Data
540.0	52.68
540.2	52.27
540.4	52.28
540.6	52.55
540.8	53.11
541.0	53.12
541.2	52.82
541.4	52.55
541.6	52.97
541.8	52.50
542.0	52.76
542.2	52.57
542.4	53.00
542.6	52.69
542.8	52.98
543.0	53.22
543.2	53.60
543.4	54.00
543.6	54.74
543.8	54.83
544.0	55.29
544.2	55.29
544.4	55.54
544.6	55.97
544.8	56.11
545.0	56.41
545.2	56.50
545.4	57.00
545.6	57.35
545.8	57.55
546.0	57.36
546.2	57.10
546.4	56.70
546.6	57.67
546.8	58.39
547.0	58.84
547.2	59.71
547.4	60.46
547.6	60.59
547.8	60.19
548.0	60.08
548.2	59.95
548.4	60.59
548.6	61.26
548.8	62.30
549.0	62.23
549.2	62.71
549.4	63.76
549.6	64.12
549.8	63.80
550.0	63.97
550.2	63.95
550.4	64.09
550.6	64.68
550.8	64.89
551.0	65.00
551.2	65.67
