Sample:	'20211010A(EM)
File name:	R-CDs 7.FDS
Run date:	'16:05:47, 06/09/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	615 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	605.4	606.4	8771	606.4	8705
2	606.4	607.4	775.2	8763	775.2	73.66
3	775.2	775.8	784.4	79.64	784.4	55.34
4	784.4	785.2	795.6	57.99	795.6	43.79
5	795.6	797.2	798.6	45.24	798.6	41.56

Data points
nm	Data
540.0	733.9
540.2	741.4
540.4	748.2
540.6	755.6
540.8	766.2
541.0	777.0
541.2	788.9
541.4	798.8
541.6	808.0
541.8	823.7
542.0	837.4
542.2	846.5
542.4	858.1
542.6	861.8
542.8	870.2
543.0	885.6
543.2	896.7
543.4	914.6
543.6	930.7
543.8	946.0
544.0	965.5
544.2	979.1
544.4	988.1
544.6	998.6
544.8	996.5
545.0	1004
545.2	1017
545.4	1031
545.6	1050
545.8	1064
546.0	1080
546.2	1096
546.4	1114
546.6	1126
546.8	1141
547.0	1149
547.2	1166
547.4	1188
547.6	1208
547.8	1221
548.0	1233
548.2	1239
548.4	1251
548.6	1272
548.8	1283
549.0	1298
549.2	1311
549.4	1326
549.6	1350
549.8	1374
550.0	1394
550.2	1409
550.4	1424
550.6	1438
550.8	1457
551.0	1471
551.2	1497
551.4	1518
551.6	1544
551.8	1565
552.0	1586
552.2	1596
552.4	1616
552.6	1634
552.8	1650
553.0	1677
553.2	1701
553.4	1723
553.6	1744
553.8	1752
554.0	1769
554.2	1800
554.4	1823
554.6	1851
554.8	1877
555.0	1887
555.2	1909
555.4	1935
555.6	1959
555.8	1990
556.0	2014
556.2	2031
556.4	2044
556.6	2063
556.8	2090
557.0	2122
557.2	2153
557.4	2179
557.6	2197
557.8	2218
558.0	2238
558.2	2260
558.4	2296
558.6	2321
558.8	2344
559.0	2365
559.2	2390
559.4	2426
559.6	2464
559.8	2510
560.0	2547
560.2	2573
560.4	2597
560.6	2620
560.8	2635
561.0	2660
561.2	2685
561.4	2725
561.6	2761
561.8	2798
562.0	2834
562.2	2864
562.4	2892
562.6	2937
562.8	2968
563.0	2989
563.2	3018
563.4	3050
563.6	3083
563.8	3118
564.0	3149
564.2	3185
564.4	3216
564.6	3246
564.8	3278
565.0	3311
565.2	3355
565.4	3400
565.6	3421
565.8	3448
566.0	3474
566.2	3511
566.4	3559
566.6	3600
566.8	3624
567.0	3663
567.2	3694
567.4	3734
567.6	3778
567.8	3818
568.0	3852
568.2	3885
568.4	3922
568.6	3960
568.8	3991
569.0	4019
569.2	4059
569.4	4091
569.6	4142
569.8	4183
570.0	4223
570.2	4263
570.4	4305
570.6	4349
570.8	4393
571.0	4436
571.2	4478
571.4	4520
571.6	4559
571.8	4604
572.0	4640
572.2	4676
572.4	4707
572.6	4736
572.8	4767
573.0	4804
573.2	4848
573.4	4911
573.6	4958
573.8	5007
574.0	5037
574.2	5057
574.4	5085
574.6	5129
574.8	5168
575.0	5217
575.2	5256
575.4	5292
575.6	5324
575.8	5368
576.0	5407
576.2	5445
576.4	5485
576.6	5527
576.8	5568
577.0	5617
577.2	5654
577.4	5703
577.6	5736
577.8	5771
578.0	5811
578.2	5845
578.4	5888
578.6	5929
578.8	5964
579.0	5994
579.2	6035
579.4	6070
579.6	6106
579.8	6148
580.0	6180
580.2	6219
580.4	6259
580.6	6286
580.8	6319
581.0	6369
581.2	6401
581.4	6443
581.6	6478
581.8	6513
582.0	6546
582.2	6596
582.4	6637
582.6	6666
582.8	6687
583.0	6711
583.2	6730
583.4	6776
583.6	6808
583.8	6837
584.0	6861
584.2	6886
584.4	6922
584.6	6968
584.8	6996
585.0	7049
