Sample:	'20211010A(EM)
File name:	R-CDs 7.FDS
Run date:	'16:42:34, 06/09/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	604 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	601.2	601.8	6962	601.8	6932
2	601.8	604.0	605.0	7045	605.0	6987
3	605.0	607.2	791.2	7035	791.2	39.10
4	791.2	792.0	795.4	40.92	795.4	35.27
5	795.4	796.6	800.0	37.90	800.0	35.55

Data points
nm	Data
540.0	637.2
540.2	640.0
540.4	645.1
540.6	651.3
540.8	656.6
541.0	660.2
541.2	666.9
541.4	675.6
541.6	682.6
541.8	691.6
542.0	698.7
542.2	704.1
542.4	712.4
542.6	722.0
542.8	730.5
543.0	740.5
543.2	755.0
543.4	764.5
543.6	772.7
543.8	778.4
544.0	785.3
544.2	798.8
544.4	814.3
544.6	823.7
544.8	839.1
545.0	852.6
545.2	862.5
545.4	873.7
545.6	885.5
545.8	893.5
546.0	907.3
546.2	919.0
546.4	924.3
546.6	932.7
546.8	948.2
547.0	959.4
547.2	975.2
547.4	983.8
547.6	991.9
547.8	1003
548.0	1015
548.2	1028
548.4	1042
548.6	1056
548.8	1069
549.0	1085
549.2	1095
549.4	1110
549.6	1121
549.8	1139
550.0	1157
550.2	1173
550.4	1185
550.6	1199
550.8	1212
551.0	1228
551.2	1246
551.4	1260
551.6	1275
551.8	1284
552.0	1296
552.2	1310
552.4	1323
552.6	1335
552.8	1348
553.0	1361
553.2	1384
553.4	1411
553.6	1440
553.8	1461
554.0	1479
554.2	1494
554.4	1509
554.6	1531
554.8	1551
555.0	1563
555.2	1580
555.4	1595
555.6	1606
555.8	1623
556.0	1638
556.2	1658
556.4	1679
556.6	1701
556.8	1729
557.0	1752
557.2	1774
557.4	1793
557.6	1804
557.8	1820
558.0	1842
558.2	1863
558.4	1889
558.6	1915
558.8	1942
559.0	1973
559.2	1994
559.4	2002
559.6	2020
559.8	2038
560.0	2061
560.2	2086
560.4	2106
560.6	2129
560.8	2157
561.0	2185
561.2	2211
561.4	2238
561.6	2262
561.8	2296
562.0	2320
562.2	2344
562.4	2359
562.6	2377
562.8	2399
563.0	2423
563.2	2450
563.4	2479
563.6	2507
563.8	2536
564.0	2569
564.2	2602
564.4	2633
564.6	2652
564.8	2674
