Sample:	'20211010A(EM)
File name:	R-CDs 3.FDS
Run date:	'09:54:18, 06/09/2023
Operator:	Administrator
Comment:	'

Instrument
Model:	F-4700 FL Spectrophotometer
Serial number:	2019-001
ROM Version:	5J24010 00

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	520.0 nm
EM  Start WL:	540.0 nm
EM  End WL:	800.0 nm
Scan speed:	1200 nm/min
Delay:	0.0 s
EX Slit:	10.0 nm
EM Slit:	10.0 nm
PMT Voltage:	630 V
Response:	0.002 s
Corrected spectra:	Off
Shutter control:	On

Processing performed
Savitsky-Golay smoothed
Smoothing order:	3
Number of points:	7
Number of times:	1

Peak integration
Integration method:	Rectangular
Sensitivity:	1
Threshold:	1.000

Peaks
No.	Start(nm)	Apex(nm)	End(nm)	Height(Data)	Valley(nm)	Valley(Data)
1	540.0	608.4	612.8	8491	612.8	8352
2	612.8	613.8	755.8	8387	755.8	158.9
3	755.8	756.6	781.6	166.7	781.6	62.75
4	781.6	783.0	794.4	67.48	794.4	46.67
5	794.4	795.4	798.2	52.21	798.2	44.72

Data points
nm	Data
540.0	760.5
540.2	779.0
540.4	789.0
540.6	795.2
540.8	806.0
541.0	818.6
541.2	827.5
541.4	842.8
541.6	845.7
541.8	846.1
542.0	860.6
542.2	872.5
542.4	889.2
542.6	905.8
542.8	914.8
543.0	923.3
543.2	935.2
543.4	946.1
543.6	964.0
543.8	975.7
544.0	986.4
544.2	993.3
544.4	998.9
544.6	1008
544.8	1020
545.0	1035
545.2	1051
545.4	1064
545.6	1079
545.8	1092
546.0	1103
546.2	1120
546.4	1129
546.6	1137
546.8	1144
547.0	1155
547.2	1168
547.4	1190
547.6	1201
547.8	1212
548.0	1222
548.2	1237
548.4	1251
548.6	1261
548.8	1281
549.0	1293
549.2	1303
549.4	1317
549.6	1327
549.8	1341
550.0	1369
550.2	1375
550.4	1391
550.6	1409
550.8	1420
551.0	1444
551.2	1464
551.4	1471
551.6	1487
551.8	1507
552.0	1517
552.2	1530
552.4	1549
552.6	1567
552.8	1574
553.0	1593
553.2	1607
553.4	1628
553.6	1656
553.8	1679
554.0	1684
554.2	1699
554.4	1718
554.6	1741
554.8	1762
555.0	1783
555.2	1801
555.4	1822
555.6	1843
555.8	1858
556.0	1871
556.2	1889
556.4	1916
556.6	1931
556.8	1947
557.0	1964
557.2	1979
557.4	2004
557.6	2028
557.8	2043
558.0	2059
558.2	2078
558.4	2101
558.6	2124
558.8	2143
559.0	2169
559.2	2189
559.4	2213
559.6	2244
559.8	2270
560.0	2293
