nm    	Abs   
500.00 	0.087 
499.00 	0.088 
498.00 	0.088 
497.00 	0.089 
496.00 	0.089 
495.00 	0.088 
494.00 	0.088 
493.00 	0.089 
492.00 	0.090 
491.00 	0.090 
490.00 	0.091 
489.00 	0.091 
488.00 	0.091 
487.00 	0.091 
486.00 	0.091 
485.00 	0.092 
484.00 	0.092 
483.00 	0.092 
482.00 	0.094 
481.00 	0.094 
480.00 	0.094 
479.00 	0.094 
478.00 	0.095 
477.00 	0.095 
476.00 	0.095 
475.00 	0.096 
474.00 	0.097 
473.00 	0.097 
472.00 	0.098 
471.00 	0.098 
470.00 	0.099 
469.00 	0.099 
468.00 	0.099 
467.00 	0.101 
466.00 	0.101 
465.00 	0.103 
464.00 	0.104 
463.00 	0.104 
462.00 	0.105 
461.00 	0.106 
460.00 	0.107 
459.00 	0.108 
458.00 	0.109 
457.00 	0.111 
456.00 	0.113 
455.00 	0.113 
454.00 	0.115 
453.00 	0.116 
452.00 	0.117 
451.00 	0.118 
450.00 	0.120 
449.00 	0.121 
448.00 	0.121 
447.00 	0.122 
446.00 	0.123 
445.00 	0.123 
444.00 	0.124 
443.00 	0.124 
442.00 	0.125 
441.00 	0.125 
440.00 	0.126 
439.00 	0.127 
438.00 	0.127 
437.00 	0.129 
436.00 	0.130 
435.00 	0.131 
434.00 	0.130 
433.00 	0.132 
432.00 	0.132 
431.00 	0.133 
430.00 	0.134 
429.00 	0.135 
428.00 	0.136 
427.00 	0.136 
426.00 	0.138 
425.00 	0.140 
424.00 	0.140 
423.00 	0.141 
422.00 	0.142 
421.00 	0.143 
420.00 	0.145 
419.00 	0.146 
418.00 	0.147 
417.00 	0.149 
416.00 	0.150 
415.00 	0.152 
414.00 	0.153 
413.00 	0.155 
412.00 	0.157 
411.00 	0.159 
410.00 	0.162 
409.00 	0.164 
408.00 	0.167 
407.00 	0.171 
406.00 	0.175 
405.00 	0.179 
404.00 	0.183 
403.00 	0.189 
402.00 	0.193 
401.00 	0.199 
400.00 	0.205 
399.00 	0.212 
398.00 	0.219 
397.00 	0.227 
396.00 	0.236 
395.00 	0.246 
394.00 	0.256 
393.00 	0.268 
392.00 	0.280 
391.00 	0.292 
390.00 	0.306 
389.00 	0.320 
388.00 	0.335 
387.00 	0.350 
386.00 	0.366 
385.00 	0.382 
384.00 	0.399 
383.00 	0.416 
382.00 	0.436 
381.00 	0.454 
380.00 	0.472 
379.00 	0.491 
378.00 	0.509 
377.00 	0.528 
376.00 	0.546 
375.00 	0.564 
374.00 	0.583 
373.00 	0.601 
372.00 	0.619 
371.00 	0.637 
370.00 	0.654 
369.00 	0.672 
368.00 	0.688 
367.00 	0.705 
366.00 	0.721 
365.00 	0.737 
364.00 	0.752 
363.00 	0.767 
362.00 	0.781 
361.00 	0.797 
360.00 	0.809 
359.00 	0.820 
358.00 	0.830 
357.00 	0.841 
356.00 	0.850 
355.00 	0.860 
354.00 	0.867 
353.00 	0.874 
352.00 	0.881 
351.00 	0.887 
350.00 	0.891 
349.00 	0.897 
348.00 	0.900 
347.00 	0.903 
346.00 	0.904 
345.00 	0.904 
344.00 	0.905 
343.00 	0.903 
342.00 	0.902 
341.00 	0.898 
340.00 	0.894 
339.00 	0.889 
338.00 	0.882 
337.00 	0.874 
336.00 	0.866 
335.00 	0.859 
334.00 	0.850 
333.00 	0.838 
332.00 	0.828 
331.00 	0.815 
330.00 	0.801 
329.00 	0.788 
328.00 	0.773 
327.00 	0.757 
326.00 	0.741 
325.00 	0.724 
324.00 	0.705 
323.00 	0.687 
322.00 	0.668 
321.00 	0.649 
320.00 	0.629 
319.00 	0.611 
318.00 	0.592 
317.00 	0.573 
316.00 	0.554 
315.00 	0.536 
314.00 	0.518 
313.00 	0.499 
312.00 	0.481 
311.00 	0.463 
310.00 	0.447 
309.00 	0.431 
308.00 	0.416 
307.00 	0.402 
306.00 	0.387 
305.00 	0.375 
304.00 	0.362 
303.00 	0.351 
302.00 	0.340 
301.00 	0.330 
300.00 	0.319 
299.00 	0.310 
298.00 	0.302 
