nm    	Abs  
500.00 	0.016 
499.00 	0.017 
498.00 	0.016 
497.00 	0.016 
496.00 	0.017 
495.00 	0.017 
494.00 	0.017 
493.00 	0.018 
492.00 	0.019 
491.00 	0.019 
490.00 	0.018 
489.00 	0.019 
488.00 	0.019 
487.00 	0.019 
486.00 	0.020 
485.00 	0.021 
484.00 	0.021 
483.00 	0.021 
482.00 	0.022 
481.00 	0.022 
480.00 	0.022 
479.00 	0.023 
478.00 	0.025 
477.00 	0.024 
476.00 	0.024 
475.00 	0.025 
474.00 	0.026 
473.00 	0.026 
472.00 	0.027 
471.00 	0.028 
470.00 	0.028 
469.00 	0.029 
468.00 	0.030 
467.00 	0.031 
466.00 	0.030 
465.00 	0.032 
464.00 	0.034 
463.00 	0.034 
462.00 	0.035 
461.00 	0.036 
460.00 	0.037 
459.00 	0.037 
458.00 	0.039 
457.00 	0.041 
456.00 	0.042 
455.00 	0.042 
454.00 	0.043 
453.00 	0.044 
452.00 	0.044 
451.00 	0.045 
450.00 	0.047 
449.00 	0.047 
448.00 	0.048 
447.00 	0.049 
446.00 	0.050 
445.00 	0.049 
444.00 	0.050 
443.00 	0.051 
442.00 	0.051 
441.00 	0.052 
440.00 	0.053 
439.00 	0.053 
438.00 	0.053 
437.00 	0.054 
436.00 	0.054 
435.00 	0.055 
434.00 	0.056 
433.00 	0.057 
432.00 	0.057 
431.00 	0.058 
430.00 	0.058 
429.00 	0.059 
428.00 	0.061 
427.00 	0.061 
426.00 	0.063 
425.00 	0.064 
424.00 	0.064 
423.00 	0.064 
422.00 	0.066 
421.00 	0.067 
420.00 	0.068 
419.00 	0.068 
418.00 	0.069 
417.00 	0.070 
416.00 	0.071 
415.00 	0.073 
414.00 	0.075 
413.00 	0.076 
412.00 	0.078 
411.00 	0.079 
410.00 	0.081 
409.00 	0.083 
408.00 	0.086 
407.00 	0.090 
406.00 	0.093 
405.00 	0.097 
404.00 	0.101 
403.00 	0.106 
402.00 	0.110 
401.00 	0.117 
400.00 	0.124 
399.00 	0.131 
398.00 	0.140 
397.00 	0.149 
396.00 	0.159 
395.00 	0.170 
394.00 	0.181 
393.00 	0.195 
392.00 	0.209 
391.00 	0.225 
390.00 	0.241 
389.00 	0.259 
388.00 	0.277 
387.00 	0.295 
386.00 	0.316 
385.00 	0.338 
384.00 	0.359 
383.00 	0.384 
382.00 	0.408 
381.00 	0.432 
380.00 	0.456 
379.00 	0.482 
378.00 	0.507 
377.00 	0.532 
