nm    	Abs   
500.00 	0.075 
499.00 	0.076 
498.00 	0.075 
497.00 	0.076 
496.00 	0.076 
495.00 	0.076 
494.00 	0.076 
493.00 	0.076 
492.00 	0.077 
491.00 	0.078 
490.00 	0.078 
489.00 	0.078 
488.00 	0.078 
487.00 	0.077 
486.00 	0.078 
485.00 	0.079 
484.00 	0.080 
483.00 	0.079 
482.00 	0.080 
481.00 	0.081 
480.00 	0.080 
479.00 	0.080 
478.00 	0.082 
477.00 	0.081 
476.00 	0.082 
475.00 	0.082 
474.00 	0.083 
473.00 	0.082 
472.00 	0.083 
471.00 	0.083 
470.00 	0.083 
469.00 	0.084 
468.00 	0.085 
467.00 	0.086 
466.00 	0.085 
465.00 	0.086 
464.00 	0.087 
463.00 	0.087 
462.00 	0.087 
461.00 	0.088 
460.00 	0.089 
459.00 	0.090 
458.00 	0.091 
457.00 	0.092 
456.00 	0.092 
455.00 	0.093 
454.00 	0.094 
453.00 	0.095 
452.00 	0.096 
451.00 	0.096 
450.00 	0.098 
449.00 	0.098 
448.00 	0.098 
447.00 	0.099 
446.00 	0.100 
445.00 	0.100 
444.00 	0.100 
443.00 	0.101 
442.00 	0.101 
441.00 	0.101 
440.00 	0.102 
439.00 	0.102 
438.00 	0.103 
437.00 	0.104 
436.00 	0.105 
435.00 	0.106 
434.00 	0.106 
433.00 	0.107 
432.00 	0.107 
431.00 	0.108 
430.00 	0.108 
429.00 	0.109 
428.00 	0.111 
427.00 	0.111 
426.00 	0.112 
425.00 	0.113 
424.00 	0.113 
423.00 	0.114 
422.00 	0.115 
421.00 	0.116 
420.00 	0.117 
419.00 	0.118 
418.00 	0.118 
417.00 	0.120 
416.00 	0.121 
415.00 	0.122 
414.00 	0.124 
413.00 	0.125 
412.00 	0.126 
411.00 	0.128 
410.00 	0.130 
409.00 	0.132 
408.00 	0.134 
407.00 	0.137 
406.00 	0.140 
405.00 	0.143 
404.00 	0.148 
403.00 	0.152 
402.00 	0.157 
401.00 	0.162 
400.00 	0.168 
399.00 	0.174 
398.00 	0.181 
397.00 	0.190 
396.00 	0.200 
395.00 	0.208 
394.00 	0.220 
393.00 	0.232 
392.00 	0.245 
391.00 	0.258 
390.00 	0.273 
389.00 	0.288 
388.00 	0.304 
387.00 	0.320 
386.00 	0.339 
385.00 	0.358 
384.00 	0.377 
383.00 	0.398 
382.00 	0.419 
381.00 	0.440 
380.00 	0.462 
379.00 	0.484 
378.00 	0.505 
377.00 	0.528 
376.00 	0.551 
375.00 	0.574 
374.00 	0.597 
373.00 	0.621 
372.00 	0.644 
371.00 	0.667 
370.00 	0.690 
369.00 	0.714 
368.00 	0.736 
367.00 	0.760 
366.00 	0.783 
365.00 	0.805 
364.00 	0.829 
363.00 	0.850 
362.00 	0.871 
361.00 	0.918 
360.00 	0.936 
359.00 	0.957 
358.00 	0.974 
357.00 	0.991 
356.00 	1.007 
355.00 	1.023 
354.00 	1.026 
353.00 	1.034 
352.00 	1.045 
351.00 	1.060 
350.00 	1.071 
349.00 	1.082 
348.00 	1.093 
347.00 	1.102 
346.00 	1.108 
345.00 	1.110 
344.00 	1.100 
343.00 	1.096 
342.00 	1.092 
341.00 	1.090 
340.00 	1.085 
339.00 	1.079 
338.00 	1.069 
337.00 	1.060 
336.00 	1.048 
335.00 	1.025 
334.00 	1.012 
333.00 	0.995 
332.00 	0.978 
331.00 	0.960 
330.00 	0.940 
329.00 	0.920 
328.00 	0.898 
327.00 	0.876 
326.00 	0.853 
325.00 	0.826 
324.00 	0.800 
323.00 	0.772 
322.00 	0.747 
321.00 	0.722 
320.00 	0.697 
319.00 	0.672 
318.00 	0.647 
317.00 	0.624 
316.00 	0.599 
315.00 	0.577 
314.00 	0.554 
313.00 	0.531 
312.00 	0.509 
311.00 	0.487 
310.00 	0.467 
309.00 	0.447 
308.00 	0.430 
307.00 	0.413 
306.00 	0.396 
305.00 	0.381 
304.00 	0.366 
303.00 	0.352 
302.00 	0.339 
301.00 	0.327 
300.00 	0.316 
299.00 	0.306 
298.00 	0.296 
297.00 	0.288 
296.00 	0.279 
295.00 	0.271 
294.00 	0.265 
293.00 	0.259 
292.00 	0.253 
291.00 	0.249 
290.00 	0.245 
289.00 	0.243 
288.00 	0.240 
287.00 	0.238 
286.00 	0.235 
285.00 	0.234 
284.00 	0.233 
283.00 	0.233 
282.00 	0.235 
281.00 	0.237 
280.00 	0.239 
279.00 	0.242 
278.00 	0.246 
277.00 	0.250 
276.00 	0.254 
275.00 	0.260 
274.00 	0.266 
273.00 	0.273 
272.00 	0.282 
271.00 	0.292 
270.00 	0.302 
269.00 	0.314 
268.00 	0.327 
267.00 	0.341 
266.00 	0.359 
265.00 	0.379 
264.00 	0.403 
263.00 	0.433 
262.00 	0.469 
261.00 	0.512 
260.00 	0.562 
259.00 	0.622 
258.00 	0.691 
257.00 	0.771 
256.00 	0.860 
255.00 	0.954 
254.00 	1.051 
253.00 	1.149 
252.00 	1.243 
251.00 	1.326 
250.00 	1.396 
249.00 	1.473 
248.00 	1.531 
247.00 	1.584 
246.00 	1.628 
245.00 	1.662 
244.00 	1.698 
243.00 	1.725 
242.00 	1.750 
241.00 	1.768 
240.00 	1.780 
239.00 	1.788 
238.00 	1.789 
237.00 	1.793 
236.00 	1.797 
235.00 	1.794 
234.00 	1.796 
233.00 	1.788 
232.00 	1.784 
231.00 	1.784 
230.00 	1.779 
229.00 	1.770 
228.00 	1.763 
227.00 	1.757 
226.00 	1.745 
225.00 	1.739 
224.00 	1.733 
223.00 	1.724 
222.00 	1.707 
221.00 	1.696 
220.00 	1.686 
219.00 	1.678 
218.00 	1.667 
217.00 	1.650 
216.00 	1.626 
215.00 	1.602 
214.00 	1.575 
213.00 	1.551 
212.00 	1.522 
211.00 	1.477 
210.00 	1.427 
209.00 	1.371 
208.00 	1.299 
207.00 	1.207 
206.00 	1.080 
205.00 	0.918 
204.00 	0.748 
203.00 	0.535 
202.00 	0.287 
201.00 	0.038 
200.00 	-0.202 
199.00 	-0.383 
198.00 	-0.447 
197.00 	-0.422 
196.00 	-0.331 
195.00 	-0.273 
194.00 	-0.130 
193.00 	-0.024 
192.00 	0.103 
191.00 	0.238 
190.00 	0.372 
