nm    	Abs   
500.00 	0.081 
499.00 	0.082 
498.00 	0.081 
497.00 	0.081 
496.00 	0.082 
495.00 	0.082 
494.00 	0.082 
493.00 	0.082 
492.00 	0.083 
491.00 	0.083 
490.00 	0.083 
489.00 	0.085 
488.00 	0.084 
487.00 	0.083 
486.00 	0.084 
485.00 	0.085 
484.00 	0.084 
483.00 	0.085 
482.00 	0.085 
481.00 	0.086 
480.00 	0.086 
479.00 	0.086 
478.00 	0.088 
477.00 	0.088 
476.00 	0.088 
475.00 	0.089 
474.00 	0.089 
473.00 	0.090 
472.00 	0.090 
471.00 	0.091 
470.00 	0.092 
469.00 	0.092 
468.00 	0.093 
467.00 	0.094 
466.00 	0.094 
465.00 	0.095 
464.00 	0.096 
463.00 	0.097 
462.00 	0.098 
461.00 	0.099 
460.00 	0.100 
459.00 	0.101 
458.00 	0.103 
457.00 	0.104 
456.00 	0.106 
455.00 	0.106 
454.00 	0.108 
453.00 	0.109 
452.00 	0.110 
451.00 	0.111 
450.00 	0.112 
449.00 	0.113 
448.00 	0.114 
447.00 	0.115 
446.00 	0.117 
445.00 	0.116 
444.00 	0.118 
443.00 	0.118 
442.00 	0.119 
441.00 	0.120 
440.00 	0.120 
439.00 	0.121 
438.00 	0.123 
437.00 	0.123 
436.00 	0.125 
435.00 	0.126 
434.00 	0.127 
433.00 	0.129 
432.00 	0.131 
431.00 	0.133 
430.00 	0.134 
429.00 	0.136 
428.00 	0.139 
427.00 	0.142 
426.00 	0.144 
425.00 	0.148 
424.00 	0.150 
423.00 	0.154 
422.00 	0.159 
421.00 	0.163 
420.00 	0.169 
419.00 	0.174 
418.00 	0.180 
417.00 	0.186 
416.00 	0.193 
415.00 	0.200 
414.00 	0.208 
413.00 	0.216 
412.00 	0.225 
411.00 	0.234 
410.00 	0.244 
409.00 	0.255 
408.00 	0.265 
407.00 	0.277 
406.00 	0.288 
405.00 	0.300 
404.00 	0.313 
403.00 	0.325 
402.00 	0.338 
401.00 	0.352 
400.00 	0.365 
399.00 	0.379 
398.00 	0.391 
397.00 	0.406 
396.00 	0.420 
395.00 	0.433 
394.00 	0.447 
393.00 	0.462 
392.00 	0.477 
391.00 	0.492 
390.00 	0.507 
389.00 	0.522 
388.00 	0.537 
387.00 	0.550 
386.00 	0.566 
385.00 	0.580 
384.00 	0.595 
383.00 	0.609 
382.00 	0.624 
381.00 	0.639 
380.00 	0.653 
379.00 	0.667 
378.00 	0.680 
377.00 	0.693 
376.00 	0.705 
375.00 	0.717 
