nm    	Abs  
500.00 	0.015 
499.00 	0.015 
498.00 	0.015 
497.00 	0.016 
496.00 	0.016 
495.00 	0.016 
494.00 	0.016 
493.00 	0.016 
492.00 	0.017 
491.00 	0.017 
490.00 	0.017 
489.00 	0.018 
488.00 	0.018 
487.00 	0.018 
486.00 	0.018 
485.00 	0.019 
484.00 	0.019 
483.00 	0.019 
482.00 	0.020 
481.00 	0.020 
480.00 	0.021 
479.00 	0.021 
478.00 	0.022 
477.00 	0.022 
476.00 	0.023 
475.00 	0.024 
474.00 	0.024 
473.00 	0.025 
472.00 	0.026 
471.00 	0.027 
470.00 	0.027 
469.00 	0.029 
468.00 	0.029 
467.00 	0.031 
466.00 	0.031 
465.00 	0.032 
464.00 	0.033 
463.00 	0.034 
462.00 	0.036 
461.00 	0.037 
460.00 	0.038 
459.00 	0.040 
458.00 	0.041 
457.00 	0.042 
456.00 	0.043 
455.00 	0.044 
454.00 	0.046 
453.00 	0.046 
452.00 	0.048 
451.00 	0.048 
450.00 	0.050 
449.00 	0.051 
448.00 	0.052 
447.00 	0.052 
446.00 	0.053 
445.00 	0.054 
444.00 	0.055 
443.00 	0.055 
442.00 	0.056 
441.00 	0.057 
440.00 	0.058 
439.00 	0.059 
438.00 	0.060 
437.00 	0.061 
436.00 	0.062 
435.00 	0.064 
434.00 	0.065 
433.00 	0.066 
432.00 	0.068 
431.00 	0.070 
430.00 	0.071 
429.00 	0.074 
428.00 	0.076 
427.00 	0.079 
426.00 	0.082 
425.00 	0.085 
424.00 	0.089 
423.00 	0.092 
422.00 	0.097 
421.00 	0.101 
420.00 	0.106 
419.00 	0.110 
418.00 	0.116 
417.00 	0.123 
416.00 	0.130 
415.00 	0.138 
414.00 	0.147 
413.00 	0.155 
412.00 	0.164 
411.00 	0.174 
410.00 	0.184 
409.00 	0.194 
408.00 	0.206 
407.00 	0.218 
406.00 	0.232 
405.00 	0.246 
404.00 	0.261 
403.00 	0.276 
402.00 	0.290 
401.00 	0.304 
400.00 	0.318 
399.00 	0.332 
398.00 	0.348 
397.00 	0.365 
396.00 	0.382 
395.00 	0.401 
394.00 	0.419 
393.00 	0.438 
392.00 	0.455 
391.00 	0.472 
390.00 	0.490 
389.00 	0.509 
388.00 	0.529 
387.00 	0.548 
386.00 	0.569 
385.00 	0.590 
384.00 	0.612 
383.00 	0.634 
382.00 	0.655 
381.00 	0.674 
380.00 	0.693 
379.00 	0.714 
378.00 	0.734 
377.00 	0.754 
376.00 	0.774 
375.00 	0.794 
374.00 	0.813 
373.00 	0.831 
372.00 	0.848 
371.00 	0.864 
370.00 	0.878 
369.00 	0.894 
368.00 	0.909 
367.00 	0.923 
366.00 	0.937 
365.00 	0.953 
364.00 	0.965 
363.00 	0.977 
362.00 	0.989 
361.00 	1.007 
360.00 	1.018 
359.00 	1.029 
358.00 	1.040 
357.00 	1.048 
356.00 	1.057 
355.00 	1.064 
354.00 	1.070 
353.00 	1.075 
352.00 	1.079 
351.00 	1.083 
350.00 	1.085 
349.00 	1.086 
348.00 	1.087 
347.00 	1.084 
346.00 	1.081 
345.00 	1.075 
344.00 	1.069 
343.00 	1.060 
342.00 	1.051 
341.00 	1.040 
340.00 	1.029 
339.00 	1.015 
338.00 	0.999 
337.00 	0.982 
336.00 	0.963 
335.00 	0.942 
334.00 	0.923 
333.00 	0.902 
332.00 	0.881 
331.00 	0.860 
330.00 	0.838 
329.00 	0.816 
328.00 	0.792 
327.00 	0.766 
326.00 	0.742 
325.00 	0.716 
324.00 	0.688 
323.00 	0.661 
322.00 	0.635 
321.00 	0.611 
320.00 	0.587 
319.00 	0.564 
318.00 	0.540 
317.00 	0.515 
