nm    	Abs   
500.00 	0.099 
499.00 	0.100 
498.00 	0.099 
497.00 	0.100 
496.00 	0.100 
495.00 	0.100 
494.00 	0.100 
493.00 	0.100 
492.00 	0.100 
491.00 	0.100 
490.00 	0.101 
489.00 	0.102 
488.00 	0.102 
487.00 	0.102 
486.00 	0.102 
485.00 	0.103 
484.00 	0.103 
483.00 	0.102 
482.00 	0.103 
481.00 	0.104 
480.00 	0.104 
479.00 	0.104 
478.00 	0.105 
477.00 	0.106 
476.00 	0.106 
475.00 	0.106 
474.00 	0.107 
473.00 	0.107 
472.00 	0.107 
471.00 	0.108 
470.00 	0.109 
469.00 	0.109 
468.00 	0.111 
467.00 	0.112 
466.00 	0.111 
465.00 	0.112 
464.00 	0.113 
463.00 	0.114 
462.00 	0.114 
461.00 	0.116 
460.00 	0.117 
459.00 	0.118 
458.00 	0.119 
457.00 	0.121 
456.00 	0.122 
455.00 	0.123 
454.00 	0.124 
453.00 	0.125 
452.00 	0.126 
451.00 	0.127 
450.00 	0.129 
449.00 	0.129 
448.00 	0.130 
447.00 	0.131 
446.00 	0.132 
445.00 	0.132 
444.00 	0.132 
443.00 	0.133 
442.00 	0.133 
441.00 	0.134 
440.00 	0.135 
439.00 	0.136 
438.00 	0.137 
437.00 	0.138 
436.00 	0.139 
435.00 	0.140 
434.00 	0.140 
433.00 	0.141 
432.00 	0.142 
431.00 	0.144 
430.00 	0.144 
429.00 	0.146 
428.00 	0.147 
427.00 	0.148 
426.00 	0.150 
425.00 	0.152 
424.00 	0.154 
423.00 	0.155 
422.00 	0.157 
421.00 	0.159 
420.00 	0.162 
419.00 	0.165 
418.00 	0.169 
417.00 	0.171 
416.00 	0.173 
415.00 	0.176 
414.00 	0.181 
413.00 	0.184 
412.00 	0.188 
411.00 	0.193 
410.00 	0.198 
409.00 	0.203 
408.00 	0.208 
407.00 	0.214 
406.00 	0.220 
405.00 	0.226 
404.00 	0.234 
403.00 	0.240 
402.00 	0.247 
401.00 	0.255 
400.00 	0.263 
399.00 	0.271 
398.00 	0.280 
397.00 	0.289 
396.00 	0.299 
395.00 	0.308 
394.00 	0.319 
393.00 	0.331 
392.00 	0.342 
391.00 	0.354 
390.00 	0.366 
389.00 	0.380 
388.00 	0.393 
387.00 	0.406 
386.00 	0.420 
385.00 	0.433 
384.00 	0.447 
383.00 	0.462 
382.00 	0.477 
381.00 	0.491 
380.00 	0.505 
379.00 	0.519 
378.00 	0.533 
377.00 	0.548 
376.00 	0.561 
375.00 	0.575 
374.00 	0.589 
373.00 	0.602 
372.00 	0.615 
371.00 	0.627 
370.00 	0.639 
369.00 	0.650 
368.00 	0.662 
367.00 	0.673 
366.00 	0.684 
365.00 	0.694 
364.00 	0.705 
363.00 	0.714 
362.00 	0.724 
361.00 	0.738 
360.00 	0.745 
359.00 	0.752 
358.00 	0.758 
357.00 	0.765 
356.00 	0.771 
355.00 	0.777 
354.00 	0.782 
353.00 	0.786 
352.00 	0.791 
351.00 	0.794 
350.00 	0.797 
349.00 	0.799 
348.00 	0.800 
347.00 	0.801 
346.00 	0.801 
345.00 	0.800 
344.00 	0.798 
343.00 	0.797 
342.00 	0.794 
341.00 	0.790 
340.00 	0.786 
339.00 	0.779 
338.00 	0.772 
337.00 	0.766 
336.00 	0.758 
335.00 	0.750 
334.00 	0.741 
333.00 	0.731 
332.00 	0.721 
331.00 	0.710 
330.00 	0.699 
329.00 	0.687 
328.00 	0.672 
327.00 	0.659 
326.00 	0.645 
325.00 	0.635 
324.00 	0.615 
323.00 	0.599 
322.00 	0.583 
321.00 	0.567 
320.00 	0.551 
319.00 	0.536 
318.00 	0.520 
317.00 	0.504 
316.00 	0.489 
315.00 	0.473 
314.00 	0.458 
313.00 	0.442 
312.00 	0.427 
311.00 	0.412 
310.00 	0.399 
309.00 	0.387 
308.00 	0.375 
307.00 	0.363 
306.00 	0.351 
305.00 	0.341 
304.00 	0.331 
303.00 	0.321 
302.00 	0.312 
301.00 	0.304 
300.00 	0.296 
299.00 	0.289 
298.00 	0.282 
297.00 	0.276 
296.00 	0.270 
295.00 	0.266 
294.00 	0.261 
293.00 	0.257 
292.00 	0.254 
291.00 	0.251 
290.00 	0.249 
289.00 	0.246 
288.00 	0.244 
287.00 	0.243 
286.00 	0.240 
285.00 	0.240 
284.00 	0.238 
283.00 	0.239 
282.00 	0.240 
281.00 	0.241 
280.00 	0.243 
279.00 	0.244 
278.00 	0.247 
277.00 	0.249 
276.00 	0.252 
275.00 	0.255 
274.00 	0.259 
273.00 	0.264 
272.00 	0.269 
271.00 	0.275 
270.00 	0.280 
269.00 	0.287 
268.00 	0.294 
267.00 	0.303 
266.00 	0.315 
265.00 	0.328 
264.00 	0.344 
263.00 	0.364 
262.00 	0.387 
261.00 	0.413 
260.00 	0.445 
259.00 	0.482 
258.00 	0.526 
257.00 	0.576 
256.00 	0.628 
255.00 	0.679 
254.00 	0.730 
253.00 	0.773 
252.00 	0.809 
251.00 	0.835 
250.00 	0.860 
249.00 	0.878 
248.00 	0.890 
247.00 	0.901 
246.00 	0.908 
245.00 	0.910 
244.00 	0.911 
243.00 	0.910 
242.00 	0.907 
241.00 	0.900 
240.00 	0.893 
239.00 	0.885 
238.00 	0.874 
237.00 	0.865 
236.00 	0.853 
235.00 	0.841 
234.00 	0.831 
233.00 	0.821 
232.00 	0.812 
231.00 	0.801 
230.00 	0.794 
229.00 	0.785 
228.00 	0.775 
227.00 	0.767 
226.00 	0.763 
225.00 	0.758 
224.00 	0.756 
223.00 	0.755 
222.00 	0.755 
221.00 	0.754 
220.00 	0.752 
219.00 	0.751 
218.00 	0.748 
217.00 	0.741 
216.00 	0.730 
215.00 	0.714 
214.00 	0.697 
213.00 	0.673 
212.00 	0.643 
211.00 	0.608 
210.00 	0.563 
209.00 	0.507 
208.00 	0.431 
207.00 	0.337 
206.00 	0.213 
205.00 	0.058 
204.00 	-0.110 
203.00 	-0.321 
202.00 	-0.574 
201.00 	-0.829 
200.00 	-1.065 
199.00 	-1.240 
198.00 	-1.307 
197.00 	-1.285 
196.00 	-1.187 
195.00 	-1.109 
194.00 	-0.962 
193.00 	-0.811 
192.00 	-0.654 
191.00 	-0.485 
190.00 	-0.287 
