nm    	Abs  
500.00 	0.054 
499.00 	0.055 
498.00 	0.054 
497.00 	0.055 
496.00 	0.056 
495.00 	0.056 
494.00 	0.055 
493.00 	0.056 
492.00 	0.056 
491.00 	0.056 
490.00 	0.056 
489.00 	0.057 
488.00 	0.057 
487.00 	0.056 
486.00 	0.057 
485.00 	0.058 
484.00 	0.058 
483.00 	0.058 
482.00 	0.059 
481.00 	0.059 
480.00 	0.059 
479.00 	0.059 
478.00 	0.060 
477.00 	0.060 
476.00 	0.060 
475.00 	0.061 
474.00 	0.062 
473.00 	0.062 
472.00 	0.063 
471.00 	0.063 
470.00 	0.064 
469.00 	0.065 
468.00 	0.065 
467.00 	0.066 
466.00 	0.066 
465.00 	0.067 
464.00 	0.069 
463.00 	0.069 
462.00 	0.070 
461.00 	0.071 
460.00 	0.073 
459.00 	0.074 
458.00 	0.074 
457.00 	0.076 
456.00 	0.077 
455.00 	0.078 
454.00 	0.080 
453.00 	0.080 
452.00 	0.081 
451.00 	0.082 
450.00 	0.084 
449.00 	0.084 
448.00 	0.085 
447.00 	0.086 
446.00 	0.087 
445.00 	0.087 
444.00 	0.088 
443.00 	0.088 
442.00 	0.089 
441.00 	0.089 
440.00 	0.090 
439.00 	0.091 
438.00 	0.092 
437.00 	0.093 
436.00 	0.094 
435.00 	0.095 
434.00 	0.096 
433.00 	0.097 
432.00 	0.098 
431.00 	0.100 
430.00 	0.101 
429.00 	0.102 
428.00 	0.104 
427.00 	0.106 
426.00 	0.108 
425.00 	0.110 
424.00 	0.112 
423.00 	0.115 
422.00 	0.118 
421.00 	0.121 
420.00 	0.124 
419.00 	0.127 
418.00 	0.131 
417.00 	0.136 
416.00 	0.139 
415.00 	0.144 
414.00 	0.149 
413.00 	0.154 
412.00 	0.160 
411.00 	0.167 
410.00 	0.173 
409.00 	0.180 
408.00 	0.187 
407.00 	0.195 
406.00 	0.203 
405.00 	0.211 
404.00 	0.220 
403.00 	0.229 
402.00 	0.238 
401.00 	0.249 
400.00 	0.259 
399.00 	0.270 
398.00 	0.280 
397.00 	0.293 
396.00 	0.305 
395.00 	0.316 
394.00 	0.329 
393.00 	0.342 
392.00 	0.357 
391.00 	0.371 
390.00 	0.386 
389.00 	0.402 
388.00 	0.417 
387.00 	0.432 
386.00 	0.449 
385.00 	0.465 
384.00 	0.481 
383.00 	0.499 
382.00 	0.517 
381.00 	0.535 
380.00 	0.552 
379.00 	0.570 
378.00 	0.587 
377.00 	0.604 
376.00 	0.620 
375.00 	0.638 
374.00 	0.654 
373.00 	0.670 
372.00 	0.686 
371.00 	0.703 
370.00 	0.717 
369.00 	0.733 
368.00 	0.748 
367.00 	0.762 
366.00 	0.774 
365.00 	0.788 
364.00 	0.801 
363.00 	0.814 
362.00 	0.827 
361.00 	0.857 
360.00 	0.868 
359.00 	0.879 
358.00 	0.889 
357.00 	0.899 
