nm    	Abs   
500.00 	0.126 
499.00 	0.127 
498.00 	0.126 
497.00 	0.127 
496.00 	0.129 
495.00 	0.129 
494.00 	0.130 
493.00 	0.132 
492.00 	0.133 
491.00 	0.134 
490.00 	0.135 
489.00 	0.137 
488.00 	0.137 
487.00 	0.137 
486.00 	0.140 
485.00 	0.141 
484.00 	0.143 
483.00 	0.144 
482.00 	0.146 
481.00 	0.148 
480.00 	0.149 
479.00 	0.151 
478.00 	0.153 
477.00 	0.154 
476.00 	0.157 
475.00 	0.159 
474.00 	0.161 
473.00 	0.163 
472.00 	0.166 
471.00 	0.168 
470.00 	0.170 
469.00 	0.173 
468.00 	0.175 
467.00 	0.179 
466.00 	0.181 
465.00 	0.185 
464.00 	0.189 
463.00 	0.192 
462.00 	0.195 
461.00 	0.198 
460.00 	0.202 
459.00 	0.206 
458.00 	0.209 
457.00 	0.214 
456.00 	0.218 
455.00 	0.222 
454.00 	0.227 
453.00 	0.230 
452.00 	0.233 
451.00 	0.237 
450.00 	0.240 
449.00 	0.244 
448.00 	0.247 
447.00 	0.250 
446.00 	0.253 
445.00 	0.255 
444.00 	0.258 
443.00 	0.260 
442.00 	0.262 
441.00 	0.264 
440.00 	0.266 
439.00 	0.269 
438.00 	0.271 
437.00 	0.273 
436.00 	0.275 
435.00 	0.277 
434.00 	0.278 
433.00 	0.279 
432.00 	0.281 
431.00 	0.282 
430.00 	0.283 
429.00 	0.285 
428.00 	0.286 
427.00 	0.287 
426.00 	0.287 
425.00 	0.288 
424.00 	0.287 
423.00 	0.288 
422.00 	0.288 
421.00 	0.289 
420.00 	0.288 
419.00 	0.287 
418.00 	0.287 
417.00 	0.286 
416.00 	0.286 
415.00 	0.285 
414.00 	0.284 
413.00 	0.282 
412.00 	0.281 
411.00 	0.279 
410.00 	0.277 
409.00 	0.275 
408.00 	0.273 
407.00 	0.272 
406.00 	0.270 
405.00 	0.268 
404.00 	0.267 
403.00 	0.265 
402.00 	0.262 
401.00 	0.260 
400.00 	0.256 
399.00 	0.254 
398.00 	0.251 
397.00 	0.247 
396.00 	0.245 
395.00 	0.241 
394.00 	0.238 
393.00 	0.235 
392.00 	0.232 
391.00 	0.229 
390.00 	0.227 
389.00 	0.224 
388.00 	0.221 
387.00 	0.217 
386.00 	0.215 
385.00 	0.212 
384.00 	0.209 
383.00 	0.206 
382.00 	0.205 
381.00 	0.202 
380.00 	0.199 
379.00 	0.197 
378.00 	0.195 
