nm    	Abs   
500.00 	0.102 
499.00 	0.103 
498.00 	0.103 
497.00 	0.104 
496.00 	0.106 
495.00 	0.107 
494.00 	0.106 
493.00 	0.107 
492.00 	0.109 
491.00 	0.109 
490.00 	0.111 
489.00 	0.113 
488.00 	0.114 
487.00 	0.115 
486.00 	0.116 
485.00 	0.117 
484.00 	0.118 
483.00 	0.120 
482.00 	0.122 
481.00 	0.124 
480.00 	0.125 
479.00 	0.126 
478.00 	0.128 
477.00 	0.129 
476.00 	0.132 
475.00 	0.134 
474.00 	0.136 
473.00 	0.138 
472.00 	0.140 
471.00 	0.143 
470.00 	0.145 
469.00 	0.147 
468.00 	0.151 
467.00 	0.154 
466.00 	0.156 
465.00 	0.159 
464.00 	0.163 
463.00 	0.165 
462.00 	0.169 
461.00 	0.173 
460.00 	0.177 
459.00 	0.180 
458.00 	0.184 
457.00 	0.188 
456.00 	0.191 
455.00 	0.195 
454.00 	0.199 
453.00 	0.203 
452.00 	0.206 
451.00 	0.209 
450.00 	0.214 
449.00 	0.216 
448.00 	0.219 
447.00 	0.222 
446.00 	0.225 
445.00 	0.227 
444.00 	0.229 
443.00 	0.231 
442.00 	0.233 
441.00 	0.236 
440.00 	0.238 
439.00 	0.240 
438.00 	0.242 
437.00 	0.244 
436.00 	0.245 
435.00 	0.246 
434.00 	0.247 
433.00 	0.249 
432.00 	0.251 
431.00 	0.252 
430.00 	0.253 
429.00 	0.255 
428.00 	0.255 
427.00 	0.255 
426.00 	0.256 
425.00 	0.257 
424.00 	0.257 
423.00 	0.258 
422.00 	0.257 
421.00 	0.256 
420.00 	0.257 
419.00 	0.256 
418.00 	0.256 
417.00 	0.255 
416.00 	0.253 
415.00 	0.252 
414.00 	0.251 
413.00 	0.250 
412.00 	0.248 
411.00 	0.247 
410.00 	0.245 
409.00 	0.242 
408.00 	0.241 
407.00 	0.239 
406.00 	0.237 
405.00 	0.235 
404.00 	0.234 
403.00 	0.231 
402.00 	0.228 
401.00 	0.225 
400.00 	0.222 
399.00 	0.219 
398.00 	0.217 
397.00 	0.214 
396.00 	0.211 
395.00 	0.208 
394.00 	0.205 
393.00 	0.202 
392.00 	0.199 
391.00 	0.195 
390.00 	0.192 
389.00 	0.190 
388.00 	0.187 
387.00 	0.184 
386.00 	0.182 
385.00 	0.178 
384.00 	0.175 
383.00 	0.172 
382.00 	0.169 
381.00 	0.167 
380.00 	0.164 
379.00 	0.163 
378.00 	0.160 
377.00 	0.158 
376.00 	0.155 
375.00 	0.153 
374.00 	0.151 
373.00 	0.148 
372.00 	0.147 
371.00 	0.145 
370.00 	0.143 
369.00 	0.142 
368.00 	0.140 
367.00 	0.139 
366.00 	0.137 
365.00 	0.135 
364.00 	0.135 
363.00 	0.133 
362.00 	0.132 
361.00 	0.157 
360.00 	0.157 
359.00 	0.157 
358.00 	0.155 
357.00 	0.155 
356.00 	0.154 
355.00 	0.153 
354.00 	0.153 
353.00 	0.152 
352.00 	0.151 
351.00 	0.151 
350.00 	0.151 
349.00 	0.151 
348.00 	0.151 
347.00 	0.150 
346.00 	0.151 
345.00 	0.150 
344.00 	0.150 
343.00 	0.151 
342.00 	0.152 
341.00 	0.152 
340.00 	0.153 
339.00 	0.152 
338.00 	0.153 
337.00 	0.152 
336.00 	0.153 
335.00 	0.152 
334.00 	0.152 
333.00 	0.153 
332.00 	0.153 
331.00 	0.153 
330.00 	0.152 
329.00 	0.154 
328.00 	0.154 
327.00 	0.154 
326.00 	0.156 
325.00 	0.156 
324.00 	0.157 
323.00 	0.158 
322.00 	0.159 
321.00 	0.160 
320.00 	0.160 
319.00 	0.163 
318.00 	0.164 
317.00 	0.166 
316.00 	0.170 
315.00 	0.172 
314.00 	0.176 
313.00 	0.180 
312.00 	0.184 
311.00 	0.190 
310.00 	0.196 
309.00 	0.204 
308.00 	0.213 
307.00 	0.222 
306.00 	0.233 
305.00 	0.243 
304.00 	0.254 
303.00 	0.265 
302.00 	0.276 
301.00 	0.286 
300.00 	0.297 
299.00 	0.308 
298.00 	0.319 
297.00 	0.330 
296.00 	0.341 
295.00 	0.352 
294.00 	0.361 
293.00 	0.369 
292.00 	0.376 
291.00 	0.380 
290.00 	0.384 
289.00 	0.387 
288.00 	0.390 
287.00 	0.392 
286.00 	0.394 
285.00 	0.394 
284.00 	0.396 
283.00 	0.397 
282.00 	0.400 
281.00 	0.404 
280.00 	0.408 
279.00 	0.411 
278.00 	0.410 
277.00 	0.407 
276.00 	0.408 
275.00 	0.414 
274.00 	0.424 
273.00 	0.437 
272.00 	0.451 
271.00 	0.465 
270.00 	0.480 
269.00 	0.497 
268.00 	0.516 
267.00 	0.536 
266.00 	0.559 
265.00 	0.581 
264.00 	0.604 
263.00 	0.626 
262.00 	0.645 
261.00 	0.662 
260.00 	0.677 
259.00 	0.691 
258.00 	0.702 
257.00 	0.715 
256.00 	0.727 
255.00 	0.740 
254.00 	0.755 
253.00 	0.773 
252.00 	0.795 
251.00 	0.819 
250.00 	0.847 
249.00 	0.877 
248.00 	0.910 
247.00 	0.947 
246.00 	0.984 
245.00 	1.022 
244.00 	1.062 
243.00 	1.102 
242.00 	1.141 
