nm    	Abs  
500.00 	0.085 
499.00 	0.086 
498.00 	0.086 
497.00 	0.087 
496.00 	0.087 
495.00 	0.088 
494.00 	0.089 
493.00 	0.090 
492.00 	0.092 
491.00 	0.093 
490.00 	0.094 
489.00 	0.096 
488.00 	0.097 
487.00 	0.098 
486.00 	0.100 
485.00 	0.102 
484.00 	0.102 
483.00 	0.104 
482.00 	0.106 
481.00 	0.107 
480.00 	0.109 
479.00 	0.111 
478.00 	0.113 
477.00 	0.114 
476.00 	0.116 
475.00 	0.118 
474.00 	0.120 
473.00 	0.122 
472.00 	0.125 
471.00 	0.128 
470.00 	0.130 
469.00 	0.133 
468.00 	0.136 
467.00 	0.139 
466.00 	0.141 
465.00 	0.144 
464.00 	0.148 
463.00 	0.151 
462.00 	0.155 
461.00 	0.160 
460.00 	0.164 
459.00 	0.168 
458.00 	0.172 
457.00 	0.176 
456.00 	0.180 
455.00 	0.183 
454.00 	0.187 
453.00 	0.191 
452.00 	0.193 
451.00 	0.197 
450.00 	0.202 
449.00 	0.205 
448.00 	0.209 
447.00 	0.214 
446.00 	0.217 
445.00 	0.219 
444.00 	0.221 
443.00 	0.223 
442.00 	0.225 
441.00 	0.226 
440.00 	0.228 
439.00 	0.230 
438.00 	0.231 
437.00 	0.233 
436.00 	0.235 
435.00 	0.237 
434.00 	0.237 
433.00 	0.239 
432.00 	0.241 
431.00 	0.242 
430.00 	0.244 
429.00 	0.246 
428.00 	0.247 
427.00 	0.247 
426.00 	0.248 
425.00 	0.249 
424.00 	0.248 
423.00 	0.247 
422.00 	0.248 
421.00 	0.249 
420.00 	0.248 
419.00 	0.247 
418.00 	0.247 
417.00 	0.247 
416.00 	0.245 
415.00 	0.244 
414.00 	0.244 
413.00 	0.242 
412.00 	0.239 
411.00 	0.238 
410.00 	0.236 
409.00 	0.234 
408.00 	0.232 
407.00 	0.230 
406.00 	0.228 
405.00 	0.225 
404.00 	0.223 
403.00 	0.221 
402.00 	0.218 
401.00 	0.215 
400.00 	0.212 
399.00 	0.209 
398.00 	0.206 
397.00 	0.202 
396.00 	0.199 
395.00 	0.196 
394.00 	0.192 
393.00 	0.190 
392.00 	0.186 
391.00 	0.183 
390.00 	0.180 
389.00 	0.177 
388.00 	0.174 
387.00 	0.170 
386.00 	0.168 
385.00 	0.165 
384.00 	0.162 
383.00 	0.158 
382.00 	0.156 
381.00 	0.153 
380.00 	0.150 
379.00 	0.148 
378.00 	0.146 
377.00 	0.143 
376.00 	0.141 
375.00 	0.139 
374.00 	0.137 
373.00 	0.134 
372.00 	0.132 
371.00 	0.130 
370.00 	0.128 
369.00 	0.127 
368.00 	0.124 
367.00 	0.123 
366.00 	0.121 
365.00 	0.120 
364.00 	0.120 
363.00 	0.119 
362.00 	0.117 
361.00 	0.134 
360.00 	0.133 
359.00 	0.132 
358.00 	0.131 
357.00 	0.131 
356.00 	0.130 
355.00 	0.130 
354.00 	0.129 
353.00 	0.127 
352.00 	0.126 
351.00 	0.125 
350.00 	0.125 
349.00 	0.124 
348.00 	0.124 
347.00 	0.124 
346.00 	0.125 
345.00 	0.124 
344.00 	0.125 
343.00 	0.125 
342.00 	0.125 
341.00 	0.125 
340.00 	0.125 
339.00 	0.125 
338.00 	0.125 
337.00 	0.125 
336.00 	0.126 
335.00 	0.125 
334.00 	0.125 
333.00 	0.126 
332.00 	0.126 
331.00 	0.126 
330.00 	0.127 
329.00 	0.127 
328.00 	0.127 
327.00 	0.128 
326.00 	0.129 
325.00 	0.129 
324.00 	0.131 
323.00 	0.132 
322.00 	0.133 
321.00 	0.135 
320.00 	0.136 
319.00 	0.138 
318.00 	0.139 
317.00 	0.141 
316.00 	0.144 
315.00 	0.146 
314.00 	0.150 
313.00 	0.154 
312.00 	0.159 
311.00 	0.166 
