nm    	Abs   
500.00 	0.223 
499.00 	0.227 
498.00 	0.229 
497.00 	0.235 
496.00 	0.239 
495.00 	0.244 
494.00 	0.248 
493.00 	0.254 
492.00 	0.259 
491.00 	0.264 
490.00 	0.269 
489.00 	0.276 
488.00 	0.281 
487.00 	0.286 
486.00 	0.291 
485.00 	0.296 
484.00 	0.300 
483.00 	0.303 
482.00 	0.307 
481.00 	0.310 
480.00 	0.313 
479.00 	0.316 
478.00 	0.319 
477.00 	0.321 
476.00 	0.324 
475.00 	0.326 
474.00 	0.328 
473.00 	0.330 
472.00 	0.333 
471.00 	0.336 
470.00 	0.338 
469.00 	0.341 
468.00 	0.344 
467.00 	0.347 
466.00 	0.350 
465.00 	0.353 
464.00 	0.357 
463.00 	0.360 
462.00 	0.364 
461.00 	0.368 
460.00 	0.371 
459.00 	0.374 
458.00 	0.375 
457.00 	0.377 
456.00 	0.378 
455.00 	0.378 
454.00 	0.379 
453.00 	0.379 
452.00 	0.378 
451.00 	0.376 
450.00 	0.377 
449.00 	0.375 
448.00 	0.372 
447.00 	0.371 
446.00 	0.371 
445.00 	0.368 
444.00 	0.367 
443.00 	0.365 
442.00 	0.363 
441.00 	0.359 
440.00 	0.358 
439.00 	0.356 
438.00 	0.354 
437.00 	0.352 
436.00 	0.351 
435.00 	0.350 
434.00 	0.347 
433.00 	0.345 
432.00 	0.342 
431.00 	0.340 
430.00 	0.336 
429.00 	0.334 
428.00 	0.332 
427.00 	0.328 
426.00 	0.326 
425.00 	0.322 
424.00 	0.318 
423.00 	0.314 
422.00 	0.312 
421.00 	0.310 
420.00 	0.305 
419.00 	0.302 
418.00 	0.299 
417.00 	0.294 
416.00 	0.291 
415.00 	0.288 
414.00 	0.285 
413.00 	0.281 
412.00 	0.278 
411.00 	0.275 
410.00 	0.271 
409.00 	0.267 
408.00 	0.264 
407.00 	0.261 
406.00 	0.258 
405.00 	0.255 
404.00 	0.252 
403.00 	0.249 
402.00 	0.245 
401.00 	0.242 
400.00 	0.238 
399.00 	0.235 
398.00 	0.232 
397.00 	0.229 
396.00 	0.227 
395.00 	0.225 
394.00 	0.222 
393.00 	0.219 
392.00 	0.216 
391.00 	0.213 
390.00 	0.211 
389.00 	0.209 
388.00 	0.207 
387.00 	0.204 
386.00 	0.203 
385.00 	0.201 
384.00 	0.199 
383.00 	0.197 
382.00 	0.195 
381.00 	0.194 
380.00 	0.193 
379.00 	0.192 
378.00 	0.191 
377.00 	0.190 
376.00 	0.188 
375.00 	0.187 
374.00 	0.187 
373.00 	0.185 
372.00 	0.185 
371.00 	0.185 
370.00 	0.184 
369.00 	0.184 
368.00 	0.183 
367.00 	0.183 
366.00 	0.181 
365.00 	0.181 
364.00 	0.181 
363.00 	0.180 
362.00 	0.180 
361.00 	0.211 
360.00 	0.211 
359.00 	0.211 
358.00 	0.211 
357.00 	0.211 
356.00 	0.211 
355.00 	0.211 
354.00 	0.210 
353.00 	0.210 
352.00 	0.210 
351.00 	0.210 
350.00 	0.211 
349.00 	0.211 
348.00 	0.211 
347.00 	0.211 
346.00 	0.212 
345.00 	0.211 
344.00 	0.211 
343.00 	0.212 
342.00 	0.213 
341.00 	0.213 
340.00 	0.214 
339.00 	0.214 
338.00 	0.214 
337.00 	0.214 
336.00 	0.215 
335.00 	0.215 
334.00 	0.216 
333.00 	0.216 
332.00 	0.217 
331.00 	0.217 
330.00 	0.218 
329.00 	0.218 
328.00 	0.219 
327.00 	0.220 
326.00 	0.221 
325.00 	0.222 
324.00 	0.223 
323.00 	0.223 
322.00 	0.225 
321.00 	0.226 
320.00 	0.227 
319.00 	0.229 
318.00 	0.231 
317.00 	0.233 
316.00 	0.235 
315.00 	0.237 
314.00 	0.240 
313.00 	0.242 
312.00 	0.247 
311.00 	0.251 
310.00 	0.255 
309.00 	0.259 
308.00 	0.265 
307.00 	0.269 
306.00 	0.274 
305.00 	0.280 
304.00 	0.286 
303.00 	0.293 
302.00 	0.299 
301.00 	0.305 
300.00 	0.311 
299.00 	0.318 
298.00 	0.325 
297.00 	0.333 
296.00 	0.342 
295.00 	0.351 
294.00 	0.360 
293.00 	0.370 
292.00 	0.380 
291.00 	0.392 
290.00 	0.404 
289.00 	0.417 
288.00 	0.432 
287.00 	0.447 
286.00 	0.462 
285.00 	0.478 
284.00 	0.495 
283.00 	0.512 
