nm    	Abs   
500.00 	0.163 
499.00 	0.166 
498.00 	0.165 
497.00 	0.166 
496.00 	0.167 
495.00 	0.168 
494.00 	0.169 
493.00 	0.171 
492.00 	0.172 
491.00 	0.173 
490.00 	0.173 
489.00 	0.166 
488.00 	0.168 
487.00 	0.170 
486.00 	0.174 
485.00 	0.176 
484.00 	0.178 
483.00 	0.178 
482.00 	0.181 
481.00 	0.182 
480.00 	0.184 
479.00 	0.187 
478.00 	0.190 
477.00 	0.191 
476.00 	0.192 
475.00 	0.194 
474.00 	0.187 
473.00 	0.192 
472.00 	0.196 
471.00 	0.199 
470.00 	0.202 
469.00 	0.205 
468.00 	0.208 
467.00 	0.211 
466.00 	0.214 
465.00 	0.218 
464.00 	0.222 
463.00 	0.226 
462.00 	0.229 
461.00 	0.233 
460.00 	0.236 
459.00 	0.232 
458.00 	0.239 
457.00 	0.244 
456.00 	0.249 
455.00 	0.253 
454.00 	0.258 
453.00 	0.261 
452.00 	0.265 
451.00 	0.269 
450.00 	0.273 
449.00 	0.276 
448.00 	0.279 
447.00 	0.282 
446.00 	0.284 
445.00 	0.285 
444.00 	0.281 
443.00 	0.281 
442.00 	0.285 
441.00 	0.287 
440.00 	0.291 
439.00 	0.295 
438.00 	0.297 
437.00 	0.294 
436.00 	0.290 
435.00 	0.295 
434.00 	0.297 
433.00 	0.300 
432.00 	0.302 
431.00 	0.303 
430.00 	0.304 
429.00 	0.293 
428.00 	0.298 
427.00 	0.300 
426.00 	0.301 
425.00 	0.302 
424.00 	0.303 
423.00 	0.303 
422.00 	0.296 
421.00 	0.297 
420.00 	0.297 
419.00 	0.297 
418.00 	0.296 
417.00 	0.296 
416.00 	0.294 
415.00 	0.293 
414.00 	0.292 
413.00 	0.290 
412.00 	0.289 
411.00 	0.288 
410.00 	0.286 
409.00 	0.284 
408.00 	0.275 
407.00 	0.272 
406.00 	0.272 
405.00 	0.271 
404.00 	0.269 
403.00 	0.267 
402.00 	0.265 
401.00 	0.263 
400.00 	0.260 
399.00 	0.257 
398.00 	0.253 
397.00 	0.251 
396.00 	0.249 
395.00 	0.246 
394.00 	0.243 
393.00 	0.240 
392.00 	0.236 
391.00 	0.226 
390.00 	0.224 
389.00 	0.223 
388.00 	0.221 
387.00 	0.218 
386.00 	0.217 
385.00 	0.214 
384.00 	0.211 
383.00 	0.208 
382.00 	0.206 
381.00 	0.203 
380.00 	0.201 
379.00 	0.199 
378.00 	0.197 
377.00 	0.195 
376.00 	0.193 
375.00 	0.191 
374.00 	0.186 
373.00 	0.181 
372.00 	0.180 
371.00 	0.178 
370.00 	0.177 
369.00 	0.177 
368.00 	0.175 
367.00 	0.175 
366.00 	0.173 
365.00 	0.172 
364.00 	0.172 
363.00 	0.170 
362.00 	0.169 
361.00 	0.193 
360.00 	0.192 
359.00 	0.191 
358.00 	0.190 
357.00 	0.190 
356.00 	0.189 
355.00 	0.189 
354.00 	0.189 
353.00 	0.189 
352.00 	0.188 
351.00 	0.188 
350.00 	0.188 
349.00 	0.187 
348.00 	0.187 
347.00 	0.186 
346.00 	0.186 
345.00 	0.186 
344.00 	0.186 
343.00 	0.186 
342.00 	0.186 
341.00 	0.185 
340.00 	0.185 
339.00 	0.184 
338.00 	0.185 
337.00 	0.185 
336.00 	0.185 
335.00 	0.185 
334.00 	0.186 
333.00 	0.186 
332.00 	0.186 
331.00 	0.186 
330.00 	0.187 
329.00 	0.187 
328.00 	0.186 
327.00 	0.187 
326.00 	0.187 
325.00 	0.188 
324.00 	0.189 
323.00 	0.190 
322.00 	0.191 
321.00 	0.192 
320.00 	0.193 
319.00 	0.194 
318.00 	0.196 
317.00 	0.197 
316.00 	0.199 
315.00 	0.202 
314.00 	0.205 
313.00 	0.209 
312.00 	0.214 
311.00 	0.219 
310.00 	0.226 
309.00 	0.233 
308.00 	0.241 
307.00 	0.249 
306.00 	0.257 
305.00 	0.266 
304.00 	0.275 
303.00 	0.283 
302.00 	0.293 
301.00 	0.301 
