nm    	Abs  
500.00 	0.067 
499.00 	0.069 
498.00 	0.069 
497.00 	0.069 
496.00 	0.071 
495.00 	0.071 
494.00 	0.072 
493.00 	0.074 
492.00 	0.075 
491.00 	0.077 
490.00 	0.078 
489.00 	0.080 
488.00 	0.081 
487.00 	0.081 
486.00 	0.083 
485.00 	0.084 
484.00 	0.085 
483.00 	0.087 
482.00 	0.089 
481.00 	0.090 
480.00 	0.092 
479.00 	0.094 
478.00 	0.097 
477.00 	0.098 
476.00 	0.100 
475.00 	0.102 
474.00 	0.104 
473.00 	0.106 
472.00 	0.108 
471.00 	0.111 
470.00 	0.114 
469.00 	0.116 
468.00 	0.119 
467.00 	0.123 
466.00 	0.125 
465.00 	0.129 
464.00 	0.133 
463.00 	0.136 
462.00 	0.139 
461.00 	0.143 
460.00 	0.147 
459.00 	0.150 
458.00 	0.154 
457.00 	0.159 
456.00 	0.162 
455.00 	0.166 
454.00 	0.170 
453.00 	0.173 
452.00 	0.177 
451.00 	0.181 
450.00 	0.185 
449.00 	0.187 
448.00 	0.190 
447.00 	0.193 
446.00 	0.195 
445.00 	0.197 
444.00 	0.200 
443.00 	0.202 
442.00 	0.205 
441.00 	0.207 
440.00 	0.209 
439.00 	0.211 
438.00 	0.213 
437.00 	0.215 
436.00 	0.217 
435.00 	0.218 
434.00 	0.219 
433.00 	0.221 
432.00 	0.222 
431.00 	0.224 
430.00 	0.225 
429.00 	0.226 
428.00 	0.227 
427.00 	0.228 
426.00 	0.228 
425.00 	0.229 
424.00 	0.229 
423.00 	0.228 
422.00 	0.229 
421.00 	0.228 
420.00 	0.228 
419.00 	0.227 
418.00 	0.227 
417.00 	0.226 
416.00 	0.225 
415.00 	0.224 
414.00 	0.222 
413.00 	0.221 
412.00 	0.218 
411.00 	0.217 
410.00 	0.214 
409.00 	0.212 
408.00 	0.210 
407.00 	0.209 
406.00 	0.207 
405.00 	0.204 
404.00 	0.202 
403.00 	0.200 
402.00 	0.197 
401.00 	0.194 
400.00 	0.191 
399.00 	0.187 
398.00 	0.184 
397.00 	0.181 
396.00 	0.179 
395.00 	0.176 
394.00 	0.173 
393.00 	0.170 
392.00 	0.167 
391.00 	0.163 
390.00 	0.159 
389.00 	0.156 
388.00 	0.153 
387.00 	0.149 
386.00 	0.148 
385.00 	0.145 
384.00 	0.142 
383.00 	0.139 
382.00 	0.137 
381.00 	0.133 
380.00 	0.131 
379.00 	0.129 
378.00 	0.127 
377.00 	0.123 
376.00 	0.121 
375.00 	0.120 
374.00 	0.117 
373.00 	0.116 
372.00 	0.113 
371.00 	0.112 
370.00 	0.108 
369.00 	0.108 
368.00 	0.106 
367.00 	0.104 
366.00 	0.102 
365.00 	0.102 
364.00 	0.100 
363.00 	0.099 
362.00 	0.097 
361.00 	0.111 
360.00 	0.110 
359.00 	0.109 
358.00 	0.108 
357.00 	0.108 
356.00 	0.107 
355.00 	0.105 
354.00 	0.105 
353.00 	0.104 
352.00 	0.103 
351.00 	0.102 
350.00 	0.103 
349.00 	0.102 
348.00 	0.102 
347.00 	0.102 
346.00 	0.102 
345.00 	0.101 
344.00 	0.101 
343.00 	0.101 
342.00 	0.101 
341.00 	0.101 
340.00 	0.102 
339.00 	0.102 
338.00 	0.102 
337.00 	0.102 
336.00 	0.102 
335.00 	0.101 
334.00 	0.102 
333.00 	0.102 
332.00 	0.102 
331.00 	0.103 
330.00 	0.103 
329.00 	0.102 
328.00 	0.103 
