nm    	Abs   
500.00 	0.129 
499.00 	0.130 
498.00 	0.130 
497.00 	0.131 
496.00 	0.131 
495.00 	0.131 
494.00 	0.132 
493.00 	0.134 
492.00 	0.133 
491.00 	0.134 
490.00 	0.135 
489.00 	0.134 
488.00 	0.135 
487.00 	0.136 
486.00 	0.137 
485.00 	0.138 
484.00 	0.138 
483.00 	0.138 
482.00 	0.138 
481.00 	0.139 
480.00 	0.139 
479.00 	0.140 
478.00 	0.141 
477.00 	0.142 
476.00 	0.141 
475.00 	0.142 
474.00 	0.142 
473.00 	0.143 
472.00 	0.143 
471.00 	0.144 
470.00 	0.144 
469.00 	0.144 
468.00 	0.145 
467.00 	0.145 
466.00 	0.146 
465.00 	0.146 
464.00 	0.147 
463.00 	0.147 
462.00 	0.147 
461.00 	0.148 
460.00 	0.149 
459.00 	0.150 
458.00 	0.151 
457.00 	0.152 
456.00 	0.152 
455.00 	0.152 
454.00 	0.153 
453.00 	0.154 
452.00 	0.154 
451.00 	0.155 
450.00 	0.156 
449.00 	0.156 
448.00 	0.156 
447.00 	0.157 
446.00 	0.157 
445.00 	0.158 
444.00 	0.158 
443.00 	0.158 
442.00 	0.157 
441.00 	0.158 
440.00 	0.159 
439.00 	0.160 
438.00 	0.160 
437.00 	0.160 
436.00 	0.161 
435.00 	0.160 
434.00 	0.160 
433.00 	0.161 
432.00 	0.162 
431.00 	0.162 
430.00 	0.162 
429.00 	0.162 
428.00 	0.162 
427.00 	0.163 
426.00 	0.164 
425.00 	0.165 
424.00 	0.164 
423.00 	0.165 
422.00 	0.165 
421.00 	0.166 
420.00 	0.166 
419.00 	0.167 
418.00 	0.167 
417.00 	0.168 
416.00 	0.169 
415.00 	0.171 
414.00 	0.171 
413.00 	0.171 
412.00 	0.172 
411.00 	0.173 
410.00 	0.174 
409.00 	0.176 
408.00 	0.177 
407.00 	0.179 
406.00 	0.179 
405.00 	0.181 
404.00 	0.183 
403.00 	0.185 
402.00 	0.187 
401.00 	0.189 
400.00 	0.191 
399.00 	0.192 
398.00 	0.195 
397.00 	0.198 
396.00 	0.201 
395.00 	0.205 
394.00 	0.208 
393.00 	0.211 
392.00 	0.214 
391.00 	0.218 
390.00 	0.222 
389.00 	0.227 
388.00 	0.231 
387.00 	0.235 
386.00 	0.239 
385.00 	0.245 
384.00 	0.249 
383.00 	0.256 
382.00 	0.261 
381.00 	0.266 
380.00 	0.271 
379.00 	0.277 
378.00 	0.282 
377.00 	0.288 
376.00 	0.295 
375.00 	0.301 
374.00 	0.306 
373.00 	0.312 
372.00 	0.318 
371.00 	0.325 
370.00 	0.331 
369.00 	0.338 
368.00 	0.345 
367.00 	0.350 
366.00 	0.355 
365.00 	0.363 
364.00 	0.370 
363.00 	0.376 
362.00 	0.383 
361.00 	0.409 
360.00 	0.414 
359.00 	0.420 
358.00 	0.425 
357.00 	0.430 
356.00 	0.435 
355.00 	0.441 
354.00 	0.446 
353.00 	0.450 
352.00 	0.455 
351.00 	0.458 
350.00 	0.461 
349.00 	0.464 
348.00 	0.467 
347.00 	0.469 
346.00 	0.472 
345.00 	0.473 
344.00 	0.473 
343.00 	0.472 
342.00 	0.473 
341.00 	0.472 
340.00 	0.470 
339.00 	0.468 
338.00 	0.464 
337.00 	0.460 
336.00 	0.457 
335.00 	0.454 
334.00 	0.449 
333.00 	0.445 
332.00 	0.440 
331.00 	0.434 
330.00 	0.429 
329.00 	0.422 
328.00 	0.415 
327.00 	0.408 
326.00 	0.402 
325.00 	0.395 
324.00 	0.388 
323.00 	0.380 
322.00 	0.373 
321.00 	0.365 
320.00 	0.358 
319.00 	0.351 
318.00 	0.344 
317.00 	0.338 
316.00 	0.331 
315.00 	0.324 
314.00 	0.318 
313.00 	0.311 
312.00 	0.306 
311.00 	0.300 
310.00 	0.295 
309.00 	0.289 
308.00 	0.284 
307.00 	0.279 
306.00 	0.275 
305.00 	0.273 
304.00 	0.269 
303.00 	0.265 
302.00 	0.262 
301.00 	0.259 
300.00 	0.256 
299.00 	0.254 
298.00 	0.253 
297.00 	0.251 
296.00 	0.249 
295.00 	0.248 
294.00 	0.246 
293.00 	0.246 
292.00 	0.245 
291.00 	0.244 
290.00 	0.244 
289.00 	0.243 
288.00 	0.244 
287.00 	0.244 
286.00 	0.245 
285.00 	0.245 
284.00 	0.247 
283.00 	0.247 
282.00 	0.249 
281.00 	0.251 
280.00 	0.253 
279.00 	0.255 
278.00 	0.258 
277.00 	0.261 
276.00 	0.264 
275.00 	0.265 
274.00 	0.269 
273.00 	0.273 
272.00 	0.277 
271.00 	0.282 
270.00 	0.286 
269.00 	0.291 
268.00 	0.295 
267.00 	0.302 
266.00 	0.309 
265.00 	0.317 
264.00 	0.326 
263.00 	0.336 
262.00 	0.346 
261.00 	0.358 
260.00 	0.372 
259.00 	0.388 
258.00 	0.405 
257.00 	0.425 
256.00 	0.445 
255.00 	0.466 
254.00 	0.487 
253.00 	0.509 
252.00 	0.528 
251.00 	0.545 
250.00 	0.560 
249.00 	0.574 
248.00 	0.586 
247.00 	0.597 
246.00 	0.608 
245.00 	0.618 
244.00 	0.627 
243.00 	0.635 
242.00 	0.642 
241.00 	0.648 
240.00 	0.654 
239.00 	0.661 
238.00 	0.670 
237.00 	0.681 
236.00 	0.693 
235.00 	0.709 
234.00 	0.728 
233.00 	0.749 
