nm    	Abs  
500.00 	0.086 
499.00 	0.085 
498.00 	0.086 
497.00 	0.088 
496.00 	0.087 
495.00 	0.087 
494.00 	0.088 
493.00 	0.088 
492.00 	0.088 
491.00 	0.090 
490.00 	0.090 
489.00 	0.090 
488.00 	0.090 
487.00 	0.091 
486.00 	0.091 
485.00 	0.091 
484.00 	0.092 
483.00 	0.093 
482.00 	0.092 
481.00 	0.093 
480.00 	0.094 
479.00 	0.094 
478.00 	0.094 
477.00 	0.096 
476.00 	0.096 
475.00 	0.096 
474.00 	0.096 
473.00 	0.096 
472.00 	0.096 
471.00 	0.098 
470.00 	0.098 
469.00 	0.098 
468.00 	0.098 
467.00 	0.098 
466.00 	0.098 
465.00 	0.099 
464.00 	0.100 
463.00 	0.100 
462.00 	0.100 
461.00 	0.100 
460.00 	0.100 
459.00 	0.101 
458.00 	0.101 
457.00 	0.103 
456.00 	0.103 
455.00 	0.103 
454.00 	0.103 
453.00 	0.104 
452.00 	0.104 
451.00 	0.105 
450.00 	0.106 
449.00 	0.105 
448.00 	0.106 
447.00 	0.106 
446.00 	0.105 
445.00 	0.105 
444.00 	0.106 
443.00 	0.107 
442.00 	0.107 
441.00 	0.107 
440.00 	0.107 
439.00 	0.107 
438.00 	0.107 
437.00 	0.108 
436.00 	0.109 
435.00 	0.108 
434.00 	0.109 
433.00 	0.108 
432.00 	0.108 
431.00 	0.108 
430.00 	0.109 
429.00 	0.110 
428.00 	0.110 
427.00 	0.110 
426.00 	0.109 
425.00 	0.110 
424.00 	0.110 
423.00 	0.111 
422.00 	0.111 
421.00 	0.111 
420.00 	0.111 
419.00 	0.112 
418.00 	0.113 
417.00 	0.113 
416.00 	0.114 
415.00 	0.114 
414.00 	0.114 
413.00 	0.114 
412.00 	0.117 
411.00 	0.117 
410.00 	0.118 
409.00 	0.119 
408.00 	0.119 
407.00 	0.120 
406.00 	0.122 
405.00 	0.123 
404.00 	0.124 
403.00 	0.126 
402.00 	0.128 
401.00 	0.128 
400.00 	0.130 
399.00 	0.132 
398.00 	0.134 
397.00 	0.137 
396.00 	0.139 
395.00 	0.142 
394.00 	0.143 
393.00 	0.146 
392.00 	0.149 
391.00 	0.153 
390.00 	0.156 
389.00 	0.159 
388.00 	0.164 
387.00 	0.167 
386.00 	0.170 
385.00 	0.175 
384.00 	0.178 
383.00 	0.184 
382.00 	0.189 
381.00 	0.193 
380.00 	0.197 
379.00 	0.202 
378.00 	0.206 
377.00 	0.211 
376.00 	0.217 
375.00 	0.223 
374.00 	0.228 
373.00 	0.234 
372.00 	0.239 
371.00 	0.244 
370.00 	0.250 
369.00 	0.255 
368.00 	0.261 
367.00 	0.268 
366.00 	0.273 
365.00 	0.279 
364.00 	0.285 
363.00 	0.291 
362.00 	0.296 
361.00 	0.323 
360.00 	0.328 
359.00 	0.334 
358.00 	0.340 
357.00 	0.345 
356.00 	0.350 
355.00 	0.356 
354.00 	0.360 
353.00 	0.365 
352.00 	0.370 
351.00 	0.374 
350.00 	0.378 
349.00 	0.382 
348.00 	0.385 
347.00 	0.387 
346.00 	0.390 
345.00 	0.392 
344.00 	0.392 
343.00 	0.393 
342.00 	0.393 
341.00 	0.392 
340.00 	0.390 
339.00 	0.390 
338.00 	0.387 
337.00 	0.384 
336.00 	0.381 
335.00 	0.376 
334.00 	0.372 
333.00 	0.368 
332.00 	0.363 
331.00 	0.358 
330.00 	0.352 
329.00 	0.346 
328.00 	0.340 
327.00 	0.334 
326.00 	0.327 
325.00 	0.321 
324.00 	0.314 
323.00 	0.308 
322.00 	0.301 
321.00 	0.294 
320.00 	0.288 
319.00 	0.281 
318.00 	0.274 
317.00 	0.268 
316.00 	0.262 
315.00 	0.256 
314.00 	0.250 
313.00 	0.245 
312.00 	0.240 
311.00 	0.234 
310.00 	0.229 
309.00 	0.225 
308.00 	0.220 
307.00 	0.216 
306.00 	0.212 
305.00 	0.209 
304.00 	0.205 
303.00 	0.203 
302.00 	0.200 
301.00 	0.198 
300.00 	0.196 
299.00 	0.194 
298.00 	0.192 
297.00 	0.190 
296.00 	0.189 
295.00 	0.188 
294.00 	0.186 
293.00 	0.186 
292.00 	0.185 
291.00 	0.185 
290.00 	0.185 
289.00 	0.185 
288.00 	0.186 
287.00 	0.186 
286.00 	0.187 
285.00 	0.188 
284.00 	0.189 
283.00 	0.189 
282.00 	0.190 
281.00 	0.192 
280.00 	0.194 
279.00 	0.197 
278.00 	0.199 
277.00 	0.202 
276.00 	0.205 
275.00 	0.208 
274.00 	0.211 
273.00 	0.215 
272.00 	0.219 
271.00 	0.223 
270.00 	0.228 
269.00 	0.233 
268.00 	0.238 
267.00 	0.244 
266.00 	0.251 
265.00 	0.258 
264.00 	0.268 
263.00 	0.277 
262.00 	0.289 
261.00 	0.301 
260.00 	0.316 
259.00 	0.332 
258.00 	0.350 
257.00 	0.371 
256.00 	0.393 
255.00 	0.416 
254.00 	0.441 
253.00 	0.467 
252.00 	0.491 
251.00 	0.514 
250.00 	0.536 
249.00 	0.556 
248.00 	0.577 
247.00 	0.599 
246.00 	0.619 
245.00 	0.639 
244.00 	0.660 
243.00 	0.682 
242.00 	0.703 
241.00 	0.725 
240.00 	0.747 
239.00 	0.774 
238.00 	0.804 
237.00 	0.839 
236.00 	0.882 
235.00 	0.932 
234.00 	0.993 
233.00 	1.067 
232.00 	1.155 
231.00 	1.253 
230.00 	1.360 
229.00 	1.488 
228.00 	1.622 
227.00 	1.773 
226.00 	1.927 
225.00 	2.055 
224.00 	2.183 
223.00 	2.234 
222.00 	2.277 
221.00 	2.307 
220.00 	2.308 
219.00 	2.318 
218.00 	2.315 
217.00 	2.294 
216.00 	2.298 
215.00 	2.283 
214.00 	2.268 
213.00 	2.273 
212.00 	2.299 
211.00 	2.236 
210.00 	2.172 
209.00 	2.122 
208.00 	2.072 
207.00 	1.997 
206.00 	1.915 
205.00 	1.787 
204.00 	1.622 
203.00 	1.468 
202.00 	1.297 
201.00 	1.059 
200.00 	0.740 
199.00 	0.594 
198.00 	0.427 
197.00 	0.449 
196.00 	0.352 
195.00 	0.405 
194.00 	0.371 
193.00 	0.372 
192.00 	0.384 
191.00 	0.357 
190.00 	0.361 
