nm    	Abs   
500.00 	0.120 
499.00 	0.120 
498.00 	0.120 
497.00 	0.121 
496.00 	0.121 
495.00 	0.122 
494.00 	0.122 
493.00 	0.123 
492.00 	0.123 
491.00 	0.123 
490.00 	0.123 
489.00 	0.124 
488.00 	0.123 
487.00 	0.124 
486.00 	0.124 
485.00 	0.126 
484.00 	0.126 
483.00 	0.127 
482.00 	0.127 
481.00 	0.128 
480.00 	0.128 
479.00 	0.129 
478.00 	0.129 
477.00 	0.130 
476.00 	0.129 
475.00 	0.129 
474.00 	0.130 
473.00 	0.131 
472.00 	0.131 
471.00 	0.133 
470.00 	0.133 
469.00 	0.133 
468.00 	0.133 
467.00 	0.134 
466.00 	0.134 
465.00 	0.134 
464.00 	0.134 
463.00 	0.135 
462.00 	0.135 
461.00 	0.136 
460.00 	0.137 
459.00 	0.137 
458.00 	0.138 
457.00 	0.139 
456.00 	0.139 
455.00 	0.139 
454.00 	0.140 
453.00 	0.140 
452.00 	0.140 
451.00 	0.141 
450.00 	0.142 
449.00 	0.142 
448.00 	0.142 
447.00 	0.144 
446.00 	0.144 
445.00 	0.144 
444.00 	0.144 
443.00 	0.144 
442.00 	0.143 
441.00 	0.144 
440.00 	0.145 
439.00 	0.144 
438.00 	0.145 
437.00 	0.146 
436.00 	0.146 
435.00 	0.146 
434.00 	0.146 
433.00 	0.147 
432.00 	0.146 
431.00 	0.146 
430.00 	0.147 
429.00 	0.146 
428.00 	0.146 
427.00 	0.147 
426.00 	0.148 
425.00 	0.148 
424.00 	0.148 
423.00 	0.149 
422.00 	0.148 
421.00 	0.148 
420.00 	0.149 
419.00 	0.149 
418.00 	0.150 
417.00 	0.151 
416.00 	0.151 
415.00 	0.152 
414.00 	0.152 
413.00 	0.152 
412.00 	0.153 
411.00 	0.154 
410.00 	0.155 
409.00 	0.156 
408.00 	0.157 
407.00 	0.158 
406.00 	0.159 
405.00 	0.160 
404.00 	0.161 
403.00 	0.162 
402.00 	0.163 
401.00 	0.165 
400.00 	0.167 
399.00 	0.168 
398.00 	0.170 
397.00 	0.172 
396.00 	0.174 
395.00 	0.176 
394.00 	0.178 
393.00 	0.180 
392.00 	0.183 
391.00 	0.187 
390.00 	0.189 
389.00 	0.192 
388.00 	0.196 
387.00 	0.199 
386.00 	0.201 
385.00 	0.205 
384.00 	0.209 
383.00 	0.214 
382.00 	0.218 
381.00 	0.222 
380.00 	0.226 
379.00 	0.231 
378.00 	0.234 
377.00 	0.239 
376.00 	0.245 
375.00 	0.250 
374.00 	0.254 
373.00 	0.260 
372.00 	0.265 
371.00 	0.269 
370.00 	0.274 
369.00 	0.280 
