nm    	Abs   
500.00 	0.109 
499.00 	0.109 
498.00 	0.110 
497.00 	0.111 
496.00 	0.111 
495.00 	0.112 
494.00 	0.112 
493.00 	0.113 
492.00 	0.113 
491.00 	0.114 
490.00 	0.114 
489.00 	0.115 
488.00 	0.115 
487.00 	0.116 
486.00 	0.116 
485.00 	0.116 
484.00 	0.117 
483.00 	0.117 
482.00 	0.117 
481.00 	0.118 
480.00 	0.119 
479.00 	0.119 
478.00 	0.120 
477.00 	0.121 
476.00 	0.121 
475.00 	0.120 
474.00 	0.121 
473.00 	0.122 
472.00 	0.121 
471.00 	0.122 
470.00 	0.122 
469.00 	0.122 
468.00 	0.123 
467.00 	0.124 
466.00 	0.124 
465.00 	0.124 
464.00 	0.125 
463.00 	0.126 
462.00 	0.126 
461.00 	0.126 
460.00 	0.126 
459.00 	0.127 
458.00 	0.128 
457.00 	0.128 
456.00 	0.129 
455.00 	0.130 
454.00 	0.130 
453.00 	0.131 
452.00 	0.132 
451.00 	0.133 
450.00 	0.133 
449.00 	0.133 
448.00 	0.134 
447.00 	0.134 
446.00 	0.134 
445.00 	0.134 
444.00 	0.135 
443.00 	0.135 
442.00 	0.134 
441.00 	0.135 
440.00 	0.135 
439.00 	0.136 
438.00 	0.136 
437.00 	0.137 
436.00 	0.137 
435.00 	0.137 
434.00 	0.138 
433.00 	0.138 
432.00 	0.138 
431.00 	0.138 
430.00 	0.139 
429.00 	0.139 
428.00 	0.138 
427.00 	0.139 
426.00 	0.140 
425.00 	0.140 
424.00 	0.140 
423.00 	0.141 
422.00 	0.142 
421.00 	0.142 
420.00 	0.143 
419.00 	0.143 
418.00 	0.144 
417.00 	0.144 
416.00 	0.145 
415.00 	0.146 
414.00 	0.146 
413.00 	0.147 
412.00 	0.148 
411.00 	0.149 
410.00 	0.150 
409.00 	0.152 
408.00 	0.153 
407.00 	0.154 
406.00 	0.156 
405.00 	0.158 
404.00 	0.158 
403.00 	0.160 
402.00 	0.163 
401.00 	0.164 
400.00 	0.167 
399.00 	0.169 
398.00 	0.172 
397.00 	0.175 
396.00 	0.177 
395.00 	0.181 
394.00 	0.184 
393.00 	0.187 
392.00 	0.191 
391.00 	0.195 
390.00 	0.199 
389.00 	0.202 
388.00 	0.207 
387.00 	0.212 
386.00 	0.216 
385.00 	0.222 
384.00 	0.227 
383.00 	0.233 
382.00 	0.238 
381.00 	0.243 
380.00 	0.249 
379.00 	0.254 
378.00 	0.260 
377.00 	0.267 
376.00 	0.272 
375.00 	0.279 
374.00 	0.284 
373.00 	0.291 
372.00 	0.298 
371.00 	0.304 
370.00 	0.310 
369.00 	0.316 
368.00 	0.323 
367.00 	0.330 
366.00 	0.336 
365.00 	0.342 
364.00 	0.349 
363.00 	0.354 
362.00 	0.361 
361.00 	0.390 
360.00 	0.396 
359.00 	0.402 
358.00 	0.408 
357.00 	0.413 
356.00 	0.418 
355.00 	0.424 
354.00 	0.429 
353.00 	0.434 
352.00 	0.438 
351.00 	0.443 
350.00 	0.447 
349.00 	0.450 
348.00 	0.454 
347.00 	0.455 
346.00 	0.458 
345.00 	0.458 
344.00 	0.459 
343.00 	0.458 
342.00 	0.458 
341.00 	0.457 
340.00 	0.455 
339.00 	0.453 
338.00 	0.449 
337.00 	0.446 
336.00 	0.441 
335.00 	0.436 
334.00 	0.431 
333.00 	0.426 
332.00 	0.420 
331.00 	0.414 
330.00 	0.407 
329.00 	0.400 
328.00 	0.392 
327.00 	0.385 
326.00 	0.377 
325.00 	0.369 
324.00 	0.362 
323.00 	0.354 
322.00 	0.346 
321.00 	0.339 
320.00 	0.331 
319.00 	0.324 
318.00 	0.315 
317.00 	0.309 
316.00 	0.301 
315.00 	0.295 
314.00 	0.289 
313.00 	0.283 
312.00 	0.277 
311.00 	0.270 
310.00 	0.264 
309.00 	0.258 
308.00 	0.253 
307.00 	0.249 
306.00 	0.245 
305.00 	0.241 
304.00 	0.238 
303.00 	0.235 
302.00 	0.231 
301.00 	0.229 
300.00 	0.226 
299.00 	0.223 
298.00 	0.221 
297.00 	0.220 
296.00 	0.218 
295.00 	0.217 
294.00 	0.216 
293.00 	0.215 
292.00 	0.213 
291.00 	0.213 
290.00 	0.212 
289.00 	0.212 
288.00 	0.213 
287.00 	0.214 
286.00 	0.214 
285.00 	0.214 
284.00 	0.215 
283.00 	0.215 
282.00 	0.217 
281.00 	0.219 
280.00 	0.221 
279.00 	0.224 
278.00 	0.226 
277.00 	0.229 
276.00 	0.231 
275.00 	0.234 
274.00 	0.238 
273.00 	0.242 
272.00 	0.247 
271.00 	0.252 
270.00 	0.257 
269.00 	0.262 
268.00 	0.267 
267.00 	0.274 
266.00 	0.282 
265.00 	0.291 
264.00 	0.301 
263.00 	0.313 
262.00 	0.326 
261.00 	0.340 
260.00 	0.356 
259.00 	0.375 
258.00 	0.396 
257.00 	0.421 
256.00 	0.446 
255.00 	0.473 
254.00 	0.502 
253.00 	0.530 
252.00 	0.557 
251.00 	0.583 
250.00 	0.608 
249.00 	0.631 
248.00 	0.653 
247.00 	0.675 
246.00 	0.696 
245.00 	0.717 
244.00 	0.738 
243.00 	0.760 
242.00 	0.781 
241.00 	0.802 
240.00 	0.822 
239.00 	0.845 
238.00 	0.871 
237.00 	0.901 
236.00 	0.937 
235.00 	0.978 
234.00 	1.026 
233.00 	1.083 
232.00 	1.150 
231.00 	1.219 
230.00 	1.294 
229.00 	1.370 
228.00 	1.452 
227.00 	1.530 
226.00 	1.589 
225.00 	1.638 
224.00 	1.667 
223.00 	1.691 
222.00 	1.692 
221.00 	1.689 
220.00 	1.682 
219.00 	1.673 
218.00 	1.660 
217.00 	1.651 
216.00 	1.638 
215.00 	1.616 
214.00 	1.606 
213.00 	1.580 
212.00 	1.548 
211.00 	1.514 
210.00 	1.470 
209.00 	1.418 
208.00 	1.355 
207.00 	1.276 
206.00 	1.174 
205.00 	1.040 
204.00 	0.901 
203.00 	0.709 
202.00 	0.478 
201.00 	0.221 
200.00 	-0.048 
199.00 	-0.278 
198.00 	-0.386 
197.00 	-0.408 
196.00 	-0.303 
195.00 	-0.241 
194.00 	-0.185 
193.00 	-0.083 
192.00 	0.020 
191.00 	0.120 
190.00 	0.191 
