nm    	Abs  
500.00 	0.080 
499.00 	0.080 
498.00 	0.081 
497.00 	0.082 
496.00 	0.082 
495.00 	0.082 
494.00 	0.083 
493.00 	0.084 
492.00 	0.083 
491.00 	0.085 
490.00 	0.085 
489.00 	0.085 
488.00 	0.086 
487.00 	0.087 
486.00 	0.087 
485.00 	0.088 
484.00 	0.089 
483.00 	0.089 
482.00 	0.089 
481.00 	0.090 
480.00 	0.091 
479.00 	0.091 
478.00 	0.091 
477.00 	0.093 
476.00 	0.092 
475.00 	0.093 
474.00 	0.093 
473.00 	0.094 
472.00 	0.094 
471.00 	0.095 
470.00 	0.095 
469.00 	0.095 
468.00 	0.096 
467.00 	0.097 
466.00 	0.097 
465.00 	0.098 
464.00 	0.098 
463.00 	0.099 
462.00 	0.099 
461.00 	0.100 
460.00 	0.100 
459.00 	0.100 
458.00 	0.101 
457.00 	0.102 
456.00 	0.101 
455.00 	0.102 
454.00 	0.103 
453.00 	0.104 
452.00 	0.104 
451.00 	0.105 
450.00 	0.105 
449.00 	0.105 
448.00 	0.105 
447.00 	0.106 
446.00 	0.106 
445.00 	0.106 
444.00 	0.106 
443.00 	0.107 
442.00 	0.107 
441.00 	0.107 
440.00 	0.108 
439.00 	0.108 
438.00 	0.108 
437.00 	0.108 
436.00 	0.109 
435.00 	0.109 
434.00 	0.109 
433.00 	0.110 
432.00 	0.110 
431.00 	0.110 
430.00 	0.111 
429.00 	0.111 
428.00 	0.111 
427.00 	0.112 
426.00 	0.112 
425.00 	0.112 
424.00 	0.112 
423.00 	0.114 
422.00 	0.115 
421.00 	0.115 
420.00 	0.116 
419.00 	0.116 
418.00 	0.117 
417.00 	0.117 
416.00 	0.119 
415.00 	0.119 
414.00 	0.120 
413.00 	0.121 
412.00 	0.122 
411.00 	0.123 
410.00 	0.124 
409.00 	0.125 
408.00 	0.127 
407.00 	0.128 
406.00 	0.130 
405.00 	0.132 
404.00 	0.133 
403.00 	0.135 
402.00 	0.138 
401.00 	0.140 
400.00 	0.143 
399.00 	0.145 
398.00 	0.148 
397.00 	0.151 
396.00 	0.155 
395.00 	0.158 
394.00 	0.162 
393.00 	0.165 
392.00 	0.170 
391.00 	0.175 
390.00 	0.179 
389.00 	0.184 
388.00 	0.190 
387.00 	0.195 
386.00 	0.200 
385.00 	0.206 
384.00 	0.211 
383.00 	0.217 
382.00 	0.224 
381.00 	0.231 
380.00 	0.237 
379.00 	0.243 
378.00 	0.251 
377.00 	0.257 
376.00 	0.264 
375.00 	0.271 
374.00 	0.278 
373.00 	0.285 
372.00 	0.292 
371.00 	0.300 
370.00 	0.307 
369.00 	0.314 
368.00 	0.322 
367.00 	0.330 
366.00 	0.336 
365.00 	0.344 
364.00 	0.351 
363.00 	0.358 
362.00 	0.366 
361.00 	0.384 
360.00 	0.390 
359.00 	0.396 
358.00 	0.403 
357.00 	0.410 
356.00 	0.415 
355.00 	0.422 
354.00 	0.427 
353.00 	0.433 
352.00 	0.438 
351.00 	0.443 
350.00 	0.447 
349.00 	0.450 
348.00 	0.453 
347.00 	0.456 
346.00 	0.458 
345.00 	0.460 
344.00 	0.460 
343.00 	0.460 
342.00 	0.459 
341.00 	0.457 
340.00 	0.454 
339.00 	0.451 
338.00 	0.447 
337.00 	0.442 
336.00 	0.437 
335.00 	0.431 
334.00 	0.425 
333.00 	0.419 
332.00 	0.411 
331.00 	0.404 
330.00 	0.396 
329.00 	0.388 
328.00 	0.380 
327.00 	0.372 
326.00 	0.363 
325.00 	0.354 
324.00 	0.345 
323.00 	0.336 
322.00 	0.326 
321.00 	0.317 
320.00 	0.308 
319.00 	0.300 
318.00 	0.292 
317.00 	0.283 
316.00 	0.276 
315.00 	0.268 
314.00 	0.261 
313.00 	0.252 
312.00 	0.245 
311.00 	0.238 
310.00 	0.232 
309.00 	0.225 
308.00 	0.220 
307.00 	0.214 
306.00 	0.210 
305.00 	0.205 
304.00 	0.201 
303.00 	0.197 
302.00 	0.193 
301.00 	0.190 
300.00 	0.187 
299.00 	0.184 
298.00 	0.182 
297.00 	0.179 
296.00 	0.177 
295.00 	0.176 
294.00 	0.174 
293.00 	0.173 
292.00 	0.172 
291.00 	0.172 
290.00 	0.171 
289.00 	0.171 
288.00 	0.171 
287.00 	0.172 
286.00 	0.172 
285.00 	0.173 
284.00 	0.173 
283.00 	0.174 
282.00 	0.176 
281.00 	0.179 
280.00 	0.180 
279.00 	0.183 
278.00 	0.185 
277.00 	0.189 
276.00 	0.191 
275.00 	0.194 
274.00 	0.198 
273.00 	0.202 
272.00 	0.206 
271.00 	0.211 
270.00 	0.216 
269.00 	0.221 
268.00 	0.227 
267.00 	0.233 
266.00 	0.240 
265.00 	0.249 
264.00 	0.259 
263.00 	0.270 
