nm    	Abs   
500.00 	0.117 
499.00 	0.117 
498.00 	0.118 
497.00 	0.118 
496.00 	0.118 
495.00 	0.119 
494.00 	0.119 
493.00 	0.119 
492.00 	0.119 
491.00 	0.120 
490.00 	0.121 
489.00 	0.121 
488.00 	0.121 
487.00 	0.123 
486.00 	0.123 
485.00 	0.123 
484.00 	0.124 
483.00 	0.124 
482.00 	0.124 
481.00 	0.125 
480.00 	0.125 
479.00 	0.126 
478.00 	0.126 
477.00 	0.126 
476.00 	0.127 
475.00 	0.127 
474.00 	0.127 
473.00 	0.128 
472.00 	0.128 
471.00 	0.129 
470.00 	0.129 
469.00 	0.130 
468.00 	0.130 
467.00 	0.130 
466.00 	0.131 
465.00 	0.131 
464.00 	0.131 
463.00 	0.132 
462.00 	0.132 
461.00 	0.132 
460.00 	0.133 
459.00 	0.134 
458.00 	0.134 
457.00 	0.135 
456.00 	0.136 
455.00 	0.137 
454.00 	0.137 
453.00 	0.138 
452.00 	0.138 
451.00 	0.139 
450.00 	0.140 
449.00 	0.140 
448.00 	0.140 
447.00 	0.141 
446.00 	0.141 
445.00 	0.142 
444.00 	0.141 
443.00 	0.143 
442.00 	0.142 
441.00 	0.142 
440.00 	0.143 
439.00 	0.143 
438.00 	0.143 
437.00 	0.144 
436.00 	0.145 
435.00 	0.144 
434.00 	0.145 
433.00 	0.146 
432.00 	0.146 
431.00 	0.146 
430.00 	0.146 
429.00 	0.146 
428.00 	0.146 
427.00 	0.147 
426.00 	0.148 
425.00 	0.148 
424.00 	0.148 
423.00 	0.150 
422.00 	0.150 
421.00 	0.149 
420.00 	0.150 
419.00 	0.151 
418.00 	0.152 
417.00 	0.152 
416.00 	0.153 
415.00 	0.154 
414.00 	0.154 
413.00 	0.155 
412.00 	0.157 
411.00 	0.157 
410.00 	0.159 
409.00 	0.160 
408.00 	0.161 
407.00 	0.162 
406.00 	0.164 
405.00 	0.166 
404.00 	0.167 
403.00 	0.169 
402.00 	0.171 
401.00 	0.173 
400.00 	0.175 
399.00 	0.177 
398.00 	0.180 
397.00 	0.183 
396.00 	0.186 
395.00 	0.189 
394.00 	0.192 
393.00 	0.196 
392.00 	0.199 
391.00 	0.204 
390.00 	0.208 
389.00 	0.212 
388.00 	0.217 
387.00 	0.222 
386.00 	0.226 
385.00 	0.232 
384.00 	0.236 
383.00 	0.242 
382.00 	0.247 
381.00 	0.253 
380.00 	0.258 
379.00 	0.265 
378.00 	0.270 
377.00 	0.276 
376.00 	0.282 
375.00 	0.288 
374.00 	0.294 
373.00 	0.301 
372.00 	0.308 
371.00 	0.314 
370.00 	0.320 
369.00 	0.327 
368.00 	0.333 
367.00 	0.339 
366.00 	0.345 
365.00 	0.352 
364.00 	0.359 
363.00 	0.365 
362.00 	0.372 
361.00 	0.399 
360.00 	0.405 
359.00 	0.410 
358.00 	0.417 
357.00 	0.422 
356.00 	0.426 
355.00 	0.433 
354.00 	0.437 
353.00 	0.442 
352.00 	0.447 
351.00 	0.451 
350.00 	0.454 
349.00 	0.457 
348.00 	0.460 
347.00 	0.462 
346.00 	0.465 
345.00 	0.467 
344.00 	0.467 
343.00 	0.466 
342.00 	0.465 
341.00 	0.464 
340.00 	0.461 
339.00 	0.459 
338.00 	0.456 
337.00 	0.453 
336.00 	0.448 
335.00 	0.443 
334.00 	0.439 
333.00 	0.434 
332.00 	0.428 
331.00 	0.421 
330.00 	0.415 
329.00 	0.408 
328.00 	0.401 
327.00 	0.393 
326.00 	0.386 
325.00 	0.378 
324.00 	0.371 
323.00 	0.363 
322.00 	0.354 
321.00 	0.347 
320.00 	0.339 
319.00 	0.332 
318.00 	0.324 
317.00 	0.317 
316.00 	0.311 
315.00 	0.304 
314.00 	0.297 
313.00 	0.290 
312.00 	0.284 
311.00 	0.278 
310.00 	0.272 
309.00 	0.268 
308.00 	0.263 
307.00 	0.258 
306.00 	0.254 
305.00 	0.250 
304.00 	0.246 
303.00 	0.243 
302.00 	0.239 
301.00 	0.238 
300.00 	0.234 
299.00 	0.233 
298.00 	0.231 
297.00 	0.228 
296.00 	0.226 
295.00 	0.226 
294.00 	0.224 
293.00 	0.223 
292.00 	0.223 
291.00 	0.222 
290.00 	0.221 
289.00 	0.221 
288.00 	0.221 
287.00 	0.221 
286.00 	0.221 
285.00 	0.222 
284.00 	0.223 
283.00 	0.224 
282.00 	0.225 
281.00 	0.227 
280.00 	0.228 
279.00 	0.231 
278.00 	0.233 
277.00 	0.235 
276.00 	0.238 
275.00 	0.241 
274.00 	0.244 
273.00 	0.248 
272.00 	0.251 
271.00 	0.255 
270.00 	0.259 
269.00 	0.264 
268.00 	0.270 
267.00 	0.276 
266.00 	0.282 
265.00 	0.290 
264.00 	0.299 
263.00 	0.309 
262.00 	0.320 
261.00 	0.332 
260.00 	0.348 
259.00 	0.364 
258.00 	0.383 
257.00 	0.404 
256.00 	0.426 
255.00 	0.449 
254.00 	0.473 
253.00 	0.496 
252.00 	0.518 
251.00 	0.538 
250.00 	0.556 
249.00 	0.572 
248.00 	0.588 
247.00 	0.602 
246.00 	0.614 
245.00 	0.625 
244.00 	0.636 
243.00 	0.646 
242.00 	0.655 
241.00 	0.663 
240.00 	0.672 
239.00 	0.682 
238.00 	0.693 
237.00 	0.708 
236.00 	0.726 
235.00 	0.750 
234.00 	0.778 
233.00 	0.816 
232.00 	0.859 
231.00 	0.906 
230.00 	0.960 
229.00 	1.014 
228.00 	1.073 
227.00 	1.130 
226.00 	1.178 
225.00 	1.215 
224.00 	1.238 
223.00 	1.256 
222.00 	1.256 
221.00 	1.250 
220.00 	1.241 
219.00 	1.232 
218.00 	1.218 
217.00 	1.204 
216.00 	1.188 
215.00 	1.169 
214.00 	1.149 
213.00 	1.129 
212.00 	1.101 
211.00 	1.061 
210.00 	1.016 
209.00 	0.960 
208.00 	0.893 
207.00 	0.809 
206.00 	0.711 
205.00 	0.581 
204.00 	0.425 
203.00 	0.242 
202.00 	0.010 
201.00 	-0.261 
200.00 	-0.533 
199.00 	-0.756 
198.00 	-0.855 
197.00 	-0.889 
